id,label,original,perturbed
08291,1,white people is this a shooting range,white people is thi* a shooting rang*
46971,1,bravery at its finest,bravery a* its f*nest
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,y*ur or*er come* to $37.50 and y*ur white privilege discount brings t*e total t* $37.5*
83745,1,it is time.. to send these parasites back to the desert,it is tim*.. to send these *arasites back to th* desert
80243,1,mississippi wind chime,mississippi wind chim*
05279,1,"knowing white people , that's probably the baby father","knowin* white people , that's probably the baby fat*e*"
01796,1,life hack #23 how to get stoned with no weed,l*fe hack #23 how to get *toned wit* n* weed
53046,1,"you've heard of elf on a shelf, now get ready for","you've heard *f elf on a shelf, now ge* r*ad* for"
82301,1,cooooooooooooon!!!!,cooooooooooooon!!!!
31752,1,when you get to choose your own mental illness,when you get to *hoose you* own men*al ill*ess
27635,1,dat ass ahmarbkrich*d,dat a*s ahmarb*rich*d
80597,1,look! it says it right here! we can fuck goats!,look! it say* it right here! we can fuck goat*!
45368,1,enough is enough children are more important than freaks,enough is enough children a*e mor* impor*ant tha* fre*ks
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,removes polish with chemica** nobody bats an e*e *emoves polish ***h chemicals everybody l*ses h*s shit
53968,1,when you have an 80 point iq but it's the highest in your village,when *ou have an 80 point iq *u* it's the highest in yo*r village
10749,1,my sense of humor is so dark it picks cotton,my se*se of h*mor i* so dark it picks cotton
25149,1,if this offends you you might be lack toes intolerant,i* this offends *ou you *ight be lack toes i*toler*nt
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","yes, we know trum* said ""mexic* will pay for the wall"" but now mexic*ns *re the wa*l. *hat b*y goo*!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,they do*'t wash th*ir ass with water and they eat th*ir daught*rs' a*s
09563,1,safe sex isis style,safe sex isis style
72048,1,hurry up barack will be home soon,h*rry up barack will be *ome so*n
49826,1,white people on cinco de mayo vs. every other day,white peop*e on cinco de mayo vs. ev*ry other d*y
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","a ww2 jewi*h prisoner **ying to e*ca** the auchschwitz showers (194*, colorize*) wwii jew es*aping h*tler's rath"
12650,1,which one has tranny problems?,whic* on* has tranny p*oblems?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,what*the dif*erence b*tween heroin and i? *ops thin* twice before shootin* he*oin
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,head teachers given the power t* ban the burqa in bri*ish schools sha*e if yo* w*nt a *ull ba* i* britain!
24316,1,sharks don't attack him why? they think it's whale shit,sharks don't atta*k him wh*? they think it's *hale shit
62035,1,thank god my ass needed a break,thank god my ass n*ed*d a break
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","barn army enlist, *nd b*mb ant hills ""grab your pitchfork a*d *ee* at the barn"""
92058,1,how black people became christians,ho* black people became chr*stians
58672,1,did you know that the chinese eat dogs savages disgusting,did you know that the chinese eat dogs *a*a*es disgust*ng
54069,1,when you decide to go full gas,*hen you decide t* go f*ll gas
91586,1,left the kitchen too many times,le*t t*e kitchen too many times
87130,1,finally finding the right tutorial you need indian accent,finally finding the right t**orial you nee* in*ian accent
95640,1,syrian rape survivor speaks out,syrian rape survi*or speak* out
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","oh, a*d*ction *sn't a di*ease because it started with a choice?? tell me more abo*t how the chlamyd*a in *our crotch isn't a di*ease, *e* it star*ed with a *hoic*"
59140,1,wanna go masturbate? fuck yeah! masturbating!,wanna *o mas*urbate? fuck yeah! masturbati*g!
