id,label,original,perturbed
08291,1,white people is this a shooting range,**ite peo**e is thi* a *hoo*ing range
46971,1,bravery at its finest,*rave** at its *inest
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,y*u* o**e* comes to $37.*0 and your *hite privilege discount bri*gs t*e total to $*7.5*
83745,1,it is time.. to send these parasites back to the desert,i* *s time.. to se*d these par*sites *ac* to t*e des*r*
80243,1,mississippi wind chime,m*ssissippi w*nd *him*
05279,1,"knowing white people , that's probably the baby father","k**wing white *eop*e , that's pr*bably **e baby fat**r"
01796,1,life hack #23 how to get stoned with no weed,life *a*k #23 how to get st*ned *ith ** weed
53046,1,"you've heard of elf on a shelf, now get ready for","you'*e h*a*d of elf on a **elf, now get r**dy for"
82301,1,cooooooooooooon!!!!,c*oooooooooo*on!!!!
31752,1,when you get to choose your own mental illness,when *ou get to *h*os* *ou* *w* mental illn*ss
27635,1,dat ass ahmarbkrich*d,dat ass a**arbkric***
80597,1,look! it says it right here! we can fuck goats!,look! it sa** it right here! we ca* fuc* goat*!
45368,1,enough is enough children are more important than freaks,enou** is e**ugh **ildren are more impo*tant *han *reak*
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,removes polish wi*h chemicals nobod* bats a* *ye r*mo**s pol*s* with ch*mic**s ev*ry*o*y l*ses his s*i*
53968,1,when you have an 80 point iq but it's the highest in your village,*hen yo* h**e an *0 po**t iq b** it's t*e highest in your vi**age
10749,1,my sense of humor is so dark it picks cotton,m* sense *f humo* *s so dar* it pi**s cotton
25149,1,if this offends you you might be lack toes intolerant,*f this of*end* yo* y*u migh* be *ack toes *ntolera*t
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","*es, we *no* tru*p said ""*exico will pay for t** wall"" bu* n*w *e*icans *re the wall. that boy good!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,t*e* *on't wash their ass with *ater *nd they ea* the*r *aug*t**s' ass
09563,1,safe sex isis style,sa** sex isis sty*e
72048,1,hurry up barack will be home soon,*urry up barac* w*l* b* home *oon
49826,1,white people on cinco de mayo vs. every other day,white pe*ple *n *in*o de **yo vs. eve*y other *ay
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","a ww2 j*wis* pri*o*er try*n* to e*cap* the auchsch*itz showe** (19*3, color*z*d) wwii je* escaping *itl*r's ra*h"
12650,1,which one has tranny problems?,whi*h o*e *as tranny pro*lems?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,whatsthe dif**renc* be*ween hero*n a*d i? cop* thin* t**ce before sh*ot*n* her*in
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,hea* teach**s *i*e* t** *ower to ban th* burqa in **iti** **h*ols share if you wan* a full ban *n *ritain!
24316,1,sharks don't attack him why? they think it's whale shit,s*ar** don'* at*ack him why? they th*** it's wha*e shi*
62035,1,thank god my ass needed a break,t*a** god my **s ne*ded a break
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","barn army e*list, and bo*b ant hill* ""g*ab you* pitchf*rk and ***t at *he *arn"""
92058,1,how black people became christians,*o* bl*ck p*ople b*came chri*tians
58672,1,did you know that the chinese eat dogs savages disgusting,*id y*u know th*t the chin*se eat d*gs sa*age* di**usti*g
54069,1,when you decide to go full gas,when *ou de***e t* go full gas
91586,1,left the kitchen too many times,*ef* the **tchen too *any times
87130,1,finally finding the right tutorial you need indian accent,fi*a*ly fin*ing the right *ut*rial yo* ne*d india* a*cent
95640,1,syrian rape survivor speaks out,sy*ia* r*pe survivo* spe*ks out
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","oh, ad*ictio* *sn't a disease because *t starte* with a choice?? tell ** mo** *b*ut ho* the ch**my**a i* your crotc* isn't * d*seas*, y** it st*r*ed with a choice"
59140,1,wanna go masturbate? fuck yeah! masturbating!,wan*a go m**t*rbat*? fu*k *eah! masturba*ing!
13647,1,she said girls run the world... so i told her get back in the kitchen,she said girls run the world... so i told he* get b*c* in the *i*c**n
65832,1,why love one but eat the other ? i don't get it,why lov* on* but e*t *he ot*e* ? i *on't ge* it
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,i* t*is gets 1k li*e* i'll pos* to islam how w* see *u*lims how *usl*ms se* us
40982,1,and just like that... this sandwich maker doubles as ironing board,a*d just l*ke that... th*s sandwi*h ma*er doubl*s *s **oning *oard
43275,1,my husband is always pushing me around... and talking behind my back,my husband i* alw*ys p*shin* me *round... and t*lking behind ** *ac*
12973,1,someone added to much soap to the dishwasher again,someone a*ded t* much *o*p to *he di*hwasher a*a**
74350,1,a head diaper is required when you have shit for brains,a head diap** is r*quired w*en you have sh*t for bra*n*
02478,1,must..resist...urge to.. kill whitey.,must..***ist...*rge to.. kill w*itey.
51607,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,49 p*ople were killed at c*ristchu*** mu*lim 49 peopl* *ere kille* at ch**s*church m*sq*es mus*im
65403,1,money is evil give it to us,money is ev*l *ive it to u*
29750,1,this cat is getting raped tonight,this ca* is g*t*ing ra*ed *oni*ht
26547,1,that's the way allah allah i like it,t*at's **e way al*ah al*ah i like it
02143,1,"doesnt have food, water, electricity proud of nuclear weapons","does*t have food, *ater, electricity *ro*d *f nu*l*ar wea*ons"
68192,1,scientist are working hard to cure them all,s***ntist a*e working hard to *ure *hem all
52603,1,feeling kinda cute might steal your shit later.. idk,fe*ling kinda *u*e *ight *teal your *hi* l*te*.. idk
05349,0,normal day in a islamic country,n*rmal d*y *n * islamic c*untry
06491,1,tranny for sale,*ran*y for sale
74013,1,"nurse: yes sir, we are having mashed potatoes today alzheimer's patient: i don't remember asking you a god damn thing","nurse: y*s *ir, we are having mas*e* p*tatoes today alzheim**'s pa*ient: i don't reme*be* as**** yo* a g*d d*m* *hing"
27485,1,thats the way allah allah i like it!!!,**ats t*e way all*h allah i l*ke it!!!
13026,1,under the name of multiculturalism we let terrorist into this country,u***r t*e *ame of mu*ticul*uralism we le* ter*orist *nto t**s country
17265,0,meanwhile in baltimore,me*nwh*le in *a*timore
91405,0,wears rag on her head so her brother husband doesnt want to molest her,wears rag on her **ad so he* br**her *usb*nd *oes** wan* to mol*st he*
14026,1,told girlfriend that mom is deaf so speak loud and slow told mom that girlfriend is retarded,to*d girlf*ie** th*t *om is d*** so spea* l*ud a*d sl*w tol* mom that girlfriend i* retard*d
18945,1,when you decide to go full gas,when y*u d*cid* to go full ga*
83920,1,"just under 17 and a half years ago, 19 people were allowed into the us who should not have been all these years later, we are told that the answer to safety is to allow everyone in","jus* under 1* and * *a*f years *g*, 19 *eople were allowed in*o *** us who sh*uld not have be** all these *e*rs *a*er, we *re told that the answer to *afety ** t* allo* e*eryon* in"
83497,0,different types of radicalization,diff**ent types of r*dicali**tion
04569,0,when is the time to eat i am hungry,when is the **me t* e*t i am hu*gry
39607,1,those stupid basterds thought it was a real shower,thos* stupid b*ste*ds *h*ught it was a real *ho*er
