id,label,original,perturbed
08291,1,white people is this a shooting range,*hi*e *eople *s **is * ***otin* ran**
46971,1,bravery at its finest,br**er* ** i*s *i*est
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,**u* ord** c*mes *o $37.50 **d *o** **ite ***vile** *isc*unt *r*ngs the *otal to $**.5*
83745,1,it is time.. to send these parasites back to the desert,*t i* time.. to *en* t***e *a*asit** b*ck *o *** de*ert
80243,1,mississippi wind chime,mi*s****ppi wi*d chi**
05279,1,"knowing white people , that's probably the baby father","k*o*ing ****e *eopl* , that's pr**ably th* *a** *a*her"
01796,1,life hack #23 how to get stoned with no weed,*if* ha** #*3 *ow to *et ****e* wi** no *eed
53046,1,"you've heard of elf on a shelf, now get ready for","you'*e *ea*d *f e*f on * s*e*f, no* g*t **a*y for"
82301,1,cooooooooooooon!!!!,coo**o*oooo***n!!!!
31752,1,when you get to choose your own mental illness,**en *ou get *o ch*o*e *ou* ow* m****l *l*n*ss
27635,1,dat ass ahmarbkrich*d,*** **s ahmarbkric***
80597,1,look! it says it right here! we can fuck goats!,**ok! it s*ys *t righ* h**e! w* can f*c* g*ats!
45368,1,enough is enough children are more important than freaks,e*ou*h is en***h *h*ld**n are m**e impor**nt t**n *re*ks
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,r*m**** p*li*h w**h *h*mi*als no*od* *ats a* *ye r*m*v** pol*sh *ith c*e*ic**s e*eryb*dy **ses *is sh**
53968,1,when you have an 80 point iq but it's the highest in your village,w*en you *a** an 80 p*int iq *ut it'* t*e ***he** *n *our vill***
10749,1,my sense of humor is so dark it picks cotton,my sens* of *umo* *s *o *a** ** **ck* cotto*
25149,1,if this offends you you might be lack toes intolerant,if **is off***s *** you **gh* be lack *oe* i*t*le***t
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","**s, we *now t**mp **i* ""mex*co wi*l *ay *or the w**l"" *u* n*w me*ica*s ar* t** **l*. t*** b** *oo*!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,**ey *on't w**h their a*s **th *a*er *nd **e* *** *he*r da*ght**s' *ss
09563,1,safe sex isis style,*af* se* ***s st*le
72048,1,hurry up barack will be home soon,h**r* up *a*a** *ill be h**e so*n
49826,1,white people on cinco de mayo vs. every other day,w**t* peo*le on ci*co de **yo *s. e**** ot*er day
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","a *w2 jew*s* pris**e* t**i*g to escape **e au*h*c*w*** s***er* (**43, *o**riz**) wwi* *** *scaping *it***'s r*th"
12650,1,which one has tranny problems?,wh**h o*e ha* t***ny prob***s?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,w**t*t*e d*ffe*e**e be**e** her*in *** i? c*ps th*nk t**c* before *h*oti*g h*r**n
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,h**d *e**her* *iven *he *ow** to **n **e *urq* i* **it*** s**ools sh*r* i* you *ant a *ull ban *n b*i**in!
24316,1,sharks don't attack him why? they think it's whale shit,*h*r*s do*'t *t*a*k *im why? th*y th*nk *t's w**le s**t
62035,1,thank god my ass needed a break,t*a*k **d my *s* ne*d*d a br**k
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","bar* *rmy enl*st, *** bom* a** h*ll* ""g*a* y*u* ****h**** *nd m**t at the barn"""
92058,1,how black people became christians,**w ***ck p***le **came christ*ans
58672,1,did you know that the chinese eat dogs savages disgusting,*id you *n*w ***t the ch*n*s* *at dog* **v*g*s di**ustin*
54069,1,when you decide to go full gas,*he* you d***de ** g* fu*l gas
91586,1,left the kitchen too many times,*e*t the **t*h*n too m*ny **me*
87130,1,finally finding the right tutorial you need indian accent,*ina*ly **n**** t*e right **t*r*a* *o* nee* i*di*n *cc*nt
95640,1,syrian rape survivor speaks out,syr*a* *a** *u*v*v*r *p*aks ou*
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","*h, **di*ti*n i*n'* a *isease *ec**se *t ****ted wi*h * *h*ic*?? te*l me ***e ab*u* how *he chlam*di* i* your **o*** *sn't * dise*se, yet ** sta**ed wi*h a choic*"
59140,1,wanna go masturbate? fuck yeah! masturbating!,w*nna go *as**r*at*? fuc* ye*h! *ast**ba**n*!
13647,1,she said girls run the world... so i told her get back in the kitchen,s** *a*d girls **n t*e w*r*d... ** * t*** h*r g** back in th* kit*he*
65832,1,why love one but eat the other ? i don't get it,wh* lov* on* bu* e*t t*e *th*r ? * ***'* ge* it
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,** *h** g*ts *k like* i'll po*t t* i*l** *ow we se* *uslim* *ow mu*li*s *** us
40982,1,and just like that... this sandwich maker doubles as ironing board,and ju** *i*e t**t... t*i* s*nd**c* m*ke* doubl*s ** i*o*i** bo*rd
43275,1,my husband is always pushing me around... and talking behind my back,my *usb*n* is *l*ays pu*hin* m* **ou*d... *nd ***kin* *e**nd my ba*k
12973,1,someone added to much soap to the dishwasher again,s*meone ***ed to much s**p t* t*e *i*hwas*** a****
74350,1,a head diaper is required when you have shit for brains,* h*ad di*p** is re**i*** w*en *ou **** s*it *o* bra*ns
02478,1,must..resist...urge to.. kill whitey.,****..*e***t...urge to.. kil* wh*tey.
51607,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,*9 pe**le we** ki*l** *t ch*i**churc* musl** ** ****l* *e*e killed a* *hri*tc*urch m*s***s *usl*m
65403,1,money is evil give it to us,*on** is **i* g*ve it t* us
29750,1,this cat is getting raped tonight,**i* ca* *s g**tin* ra*e* to**ght
26547,1,that's the way allah allah i like it,**at'* the wa* *llah *llah * li** **
02143,1,"doesnt have food, water, electricity proud of nuclear weapons","d*esn* *a*e f**d, wat*r, el*c***ci** proud ** nucl**r weapo*s"
68192,1,scientist are working hard to cure them all,**i*nt*s* *re *ork*n* *ard ** c*re th*m all
52603,1,feeling kinda cute might steal your shit later.. idk,fe*ling k**d* *u*e *i*ht s**al yo*r *h*t l*te*.. i*k
05349,0,normal day in a islamic country,**r*al **y in a *s***ic cou*try
06491,1,tranny for sale,tr***y *o* sale
74013,1,"nurse: yes sir, we are having mashed potatoes today alzheimer's patient: i don't remember asking you a god damn thing","nur**: *e* ***, w* a*e hav*ng *ashe* *otatoes tod*y al*he*mer'* *a***nt: i *o*'t *emember **k*ng y*u * g** d*mn t*i*g"
27485,1,thats the way allah allah i like it!!!,t*a** **e w*y al*a* allah i li*e i*!!!
13026,1,under the name of multiculturalism we let terrorist into this country,un**r *h* nam* ** *******ltu*ali*m w* l*t ter*o**st i*to this coun*r*
17265,0,meanwhile in baltimore,**an*hile in b*l**mo*e
91405,0,wears rag on her head so her brother husband doesnt want to molest her,we**s *a* on h*r **ad ** h** **other h*sb*n* d*esnt *a*t *o *olest he*
14026,1,told girlfriend that mom is deaf so speak loud and slow told mom that girlfriend is retarded,t*ld gi*lfr*e*d ***t *om i* d*af so ****k l**d and ***w **l* mom that gi**fri*nd i* *et****d
18945,1,when you decide to go full gas,w*** you de***e *o g* *ull gas
83920,1,"just under 17 and a half years ago, 19 people were allowed into the us who should not have been all these years later, we are told that the answer to safety is to allow everyone in","*u*t un*er *7 a** a h*** *e**s ***, 19 p*op*e w*r* a*lo*e* into t*e u* who *hou*d n*t h*v* **en **l *hese y**rs later, *e a*e t*** t*** *h* an*we* ** s***ty is to allo* e**r***e in"
83497,0,different types of radicalization,dif*e*e** *ype* of radi*a*iza***n
04569,0,when is the time to eat i am hungry,*he* ** the t*me to *at * a* hu*g**
39607,1,those stupid basterds thought it was a real shower,t*o** s*u**d basterds *h*ug*t *t was a r*a* s**w*r
09715,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,i star*** * ***i*ess *hat s*l** landmines *is*u*s*d a* *r**er ma*s.. ..pro*h*t* *re *o*ng th**ug* th* r***
01925,1,i am not racist i just don't like brown sugar,* *m not **c*** i jus* *o*'t like b*o** sugar
94813,0,thats the way allah allah i like it!!!,t***s the *ay alla* *llah * like **!!!
29437,1,what can happen if you eat wheaties for 38 years,*h*t *** **p*e* i* you eat ***aties for 3* year*
95038,0,when you take these pics we think about cumming in your mouth,wh** *o* *ake these *ics *e *hi** ab**t cum**** in y*** mo*t*
64891,1,lebanon: before muslims after muslims but don't worry! after islam takes over there'll be a golden age.. apparently,*eb****: bef*re mu***ms ****r m***im* *u* don't worry! *f*er isl*m ***es ov*r *here'*l *e a *olden *ge.. apparen*ly
63280,1,so you're never going to forgive the germans because of the holocaust? same,*o *o*'r* n***r g*ing to *orgive *** germ*n* becaus* o* t*e h***c**st? *am*
17682,1,give them what they deserve kill them all,gi*e *he* what th** des*r*e *ill *he* **l
84510,1,bartender: how about a nice 12 yr old? him: boy or girl?,*a*te*der: h** *b*u* a n*c* 12 y* old? *im: bo* *r **rl?
28690,0,if you're gonna talk shit about someone... you better make sure they aren't crazier than you are,** *ou're *on** t**k *hit ***ut *o*eon*... *ou b**te* make sur* th** *re*'t **a*i*r than *ou a**
03567,1,potato is my favorite color of the alphabet,p**a*o *s my f**o*i*e c*l*r ** th* alphabe*
95830,1,face of terrorism in us,face ** **r*orism ** us
29873,1,who knew that this country is full of white trash,who kne* t*** **** c*untry i* *u*l *f **i** tr*sh
70953,1,"""god's chosen people"" according to the book they wrote","""go*'s *ho*en pe**le"" accor*ing to *h* **ok *h*y wr***"
56124,0,how to cook turkey in usa how to cook turkey in romania,h*w *o c*ok t*rke* ** us* ho* to co** t*r*ey *n roma*ia
10386,1,the book about terrorism,*he *ook a*o** t*r*ori*m
19530,1,they shot the wrong gorilla,*he* sh** t** wro*g g*rill*
94185,1,how a black woman can fight crime,h*w a **a*k wo*** *an f*ght **i**
48370,1,72 virgins are ready to get fucked up,7* virgins a** **a** ** g*t f*cked up
74058,0,he made millions of children homeless,h* *ade mil*i*ns *f chi**re* h**e**ss
45062,0,me and my kids are going to rob this country blind at the expense of the very people that voted for me. and they're going to love it. believe me! bigly!,m* *** my **d* are g*ing *o *o* this co**try b*ind *t *** e*p*nse *f *he *ery *e*ple *hat vote* *** *e. *n* t**y'*e go**g to *o*e *t. **l***e m*! bigly!
94170,0,when you decide to go full gas,when you *ec*d* to *o **l* g**
04538,0,"bows here, bows there, bows everywhere","b*w* *ere, b*ws there, *o** ev**yw**re"
83946,1,when a white kid shoots up the school the same day you planned to bomb it,**en a wh**e ki* *ho**s *p th* sch*** **e *am* d** *o* planned t* bom* i*
68127,0,all you guys think about is dope,*ll *ou g*** th*n* ab*** is **pe
97453,0,potato is my favorite color of the alphabet,*o*a** *s my *avo***e colo* o* t** *lpha*et
