id,label,original,perturbed
08291,1,white people is this a shooting range,"white people :is this ,a shootin&g range"
46971,1,bravery at its finest,bravery at its; &finest
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,"your; or,de,r comes to $37.5!0 ?and your white* privilege discount br;ings the .total to $37.50"
83745,1,it is time.. to send these parasites back to the desert,"it is time.. to send t;hese pa,rasit?es back t.o th,e desert"
80243,1,mississippi wind chime,*m!ississippi wind chime
05279,1,"knowing white people , that's probably the baby father","knowing ;white pe;ople , that's &probably th,e baby f?ather"
01796,1,life hack #23 how to get stoned with no weed,life hack #2?3 how to g*et ston!ed w.ith no weed
53046,1,"you've heard of elf on a shelf, now get ready for","you'v;e heard *of elf on a shelf,? now g?et ready for"
82301,1,cooooooooooooon!!!!,cooo*oooooooooon!!!!
31752,1,when you get to choose your own mental illness,when !you get to c;hoo:se your own mental &illness
27635,1,dat ass ahmarbkrich*d,dat :ass ahmarbkr&ich*d
80597,1,look! it says it right here! we can fuck goats!,"l?ook! it say,s it right ,here! !we can fuck goats!"
45368,1,enough is enough children are more important than freaks,"enough i:s enough; chi:ldr.en are more impor,tant than freaks"
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,"removes polish with chemica;ls nobody bats an eye re?m.oves !polish with :chem,icals ev*erybo.dy loses hi!s shi,t"
53968,1,when you have an 80 point iq but it's the highest in your village,"when you ha*ve, an 80 point iq& but it!'&s the highest& in your village"
10749,1,my sense of humor is so dark it picks cotton,?my? sense of hum*or is s&o dark it picks cotton
25149,1,if this offends you you might be lack toes intolerant,"if this offends yo,u you *mi*ght be lack to;es intoler?ant"
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","yes,, we know .tru?mp said ;""mex,ico wi&ll pay ;for the wall"" b&ut no;w mexicans are; the wall. that boy good!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,t*h:ey &don't wash &their ass with water and they eat their daughte.r.s' as.s
09563,1,safe sex isis style,safe sex isis s*tyle
72048,1,hurry up barack will be home soon,"h?urry. up barack will be ,home soon"
49826,1,white people on cinco de mayo vs. every other day,white pe;ople on c:inco de mayo vs. every* other da*y
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","a ?ww2 jewish pris,oner trying to es:cape the auchs&chw:it:z showers (1;943, colorized) wwii jew, esc*apin;g? hitler's rath"
12650,1,which one has tranny problems?,w*hich on?e has tran.ny problems?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,"whatsthe diff?erence between heroin and i? .cops thi.n?k twice *before& s*hoo,ting heroin"
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,"he!ad teacher.s given the power t,o ban the bur,qa in b;r&itish schools :share if .you want* a full ban in !britain!"
24316,1,sharks don't attack him why? they think it's whale shit,shar:ks don't attack h.im why;? they *th&ink it's whale shit
62035,1,thank god my ass needed a break,thank god my ass n!eeded a br;ea!k
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","barn ar;my enlist, and :bo.mb a*nt hills ""grab your pitch.fork and meet at. the barn*"""
92058,1,how black people became christians,"how black pe&ople beca,me chr?istians"
58672,1,did you know that the chinese eat dogs savages disgusting,did you? know th;at the ?chinese eat dog:s savages disgustin&g
54069,1,when you decide to go full gas,when you !decide; to go full gas&
91586,1,left the kitchen too many times,:le&f.t the kitchen too many times
87130,1,finally finding the right tutorial you need indian accent,"finally finding the right tutor&ial ,you *ne&ed indian ac?cent"
95640,1,syrian rape survivor speaks out,"?syrian rape surviv,or speak.s out"
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","oh, a:ddi;ction is;n't a di:sease. b.ecause it& sta!rted with a choi:ce?? t?ell me mo&re about how the chlamydi;a in yo;ur crotch isn&'t a disease, yet it started: wi*th a choice"
59140,1,wanna go masturbate? fuck yeah! masturbating!,wa:nna go masturbate? &fuck y*eah! masturbat&ing!
13647,1,she said girls run the world... so i told her get back in the kitchen,she said girls run the worl&d:..... so i told he&r get back; in the kitchen
65832,1,why love one but eat the other ? i don't get it,;why love one but ea:t the other ? i do?n't get it*
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,"if th!is gets 1k, like.s i'l;l pos.t to islam how we see muslims how mus&lims, see us"
40982,1,and just like that... this sandwich maker doubles as ironing board,"a?nd jus*t; like that... this sandwich m*aker do,ubles as *ironing board"
43275,1,my husband is always pushing me around... and talking behind my back,"my husband is alwa&ys pushi,ng me ar,ound... and talking behind? *my back."
12973,1,someone added to much soap to the dishwasher again,&someone added to mu?ch soap to .the dishw&a:sher again
74350,1,a head diaper is required when you have shit for brains,"*a head dia.per is re,quired when you have shi.t for brain;s"
02478,1,must..resist...urge to.. kill whitey.,must..resist...;ur:ge! to.. kill whitey.
51607,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,"4&9 pe!op.le were killed at chr&istchurch muslim 49 people were killed at chris&tchur&ch m.osque,s musli!m"
65403,1,money is evil give it to us,m:oney :is evil give it to us
29750,1,this cat is getting raped tonight,this cat is ?getting. rap:ed tonight
26547,1,that's the way allah allah i like it,"that*'s the way al&lah allah ,i like it"
02143,1,"doesnt have food, water, electricity proud of nuclear weapons","do.esnt ,have food, wat;er, electr!icity p.roud of nuclear we*apons"
68192,1,scientist are working hard to cure them all,"scient?i*st are working hard to cu!re them ,all"
52603,1,feeling kinda cute might steal your shit later.. idk,feeling k!inda :c&ute might s?teal your shit late:r.. idk
05349,0,normal day in a islamic country,normal d*ay in a i?slamic countr?y
06491,1,tranny for sale,tranny: for sale
74013,1,"nurse: yes sir, we are having mashed potatoes today alzheimer's patient: i don't remember asking you a god damn thing","nu&rse: yes sir, we are &having ma&shed ;pota.toes ,today& alzheimer's pati&ent: i don't remember askin,g .you a god da!mn thing"
27485,1,thats the way allah allah i like it!!!,thats? !the way al*lah allah i like it!!!
13026,1,under the name of multiculturalism we let terrorist into this country,"unde?r the name of multic;ulturalism we let te?r,rorist int!o this count,ry"
17265,0,meanwhile in baltimore,mean!w:hile in baltimore
91405,0,wears rag on her head so her brother husband doesnt want to molest her,wears rag* o;n her head !so ;her brother h!usband doesn;t want to molest her!
14026,1,told girlfriend that mom is deaf so speak loud and slow told mom that girlfriend is retarded,told girlfriend th:at mom is deaf so spe&ak l?ou?d and s:low to&ld m*om that girlfr:iend is r?etarded
18945,1,when you decide to go full gas,"when y*ou, decide to? go full gas"
83920,1,"just under 17 and a half years ago, 19 people were allowed into the us who should not have been all these years later, we are told that the answer to safety is to allow everyone in","just !under; 17 and a h,alf ye!ar?s ago, 19 people were* allo.wed ;into the us .who should ?not have ,been a;ll these years later, we are !told that the answ:er to saf:e,ty is to a,llow eve&ryone in"
83497,0,different types of radicalization,dif?ferent t&ypes ;of radicalization
04569,0,when is the time to eat i am hungry,when is the ti*me to eat i& am hu?ngry
39607,1,those stupid basterds thought it was a real shower,tho*se st!upid basterds th:ou&ght it was a real sh?ower
09715,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,"i started a business that sells lan!dmi,nes !di!s.guise;d as prayer mats.. ..prophets &are g?oin,g through the roo&f"
01925,1,i am not racist i just don't like brown sugar,i am not racist i just don;'t like !brown *suga;r
94813,0,thats the way allah allah i like it!!!,!thats; the way allah allah i like? it!!!
29437,1,what can happen if you eat wheaties for 38 years,",what can happen if y!ou ea*t wheaties &for 38 years"
95038,0,when you take these pics we think about cumming in your mouth,"when y;ou t,ake the!se pics we think abou?t cumming .in your mouth."
64891,1,lebanon: before muslims after muslims but don't worry! after islam takes over there'll be a golden age.. apparently,leb.anon:* before !muslim;s aft;er muslims !but don't worry! after *islam take:s* over there'll* be a golden ag&e.. apparently
63280,1,so you're never going to forgive the germans because of the holocaust? same,"so* yo?u'r,e never goi?ng to f!orgive the. germans beca:use of the holocaust? same"
17682,1,give them what they deserve kill them all,"gi:ve them what th*ey deserve k,ill th,em all"
84510,1,bartender: how about a nice 12 yr old? him: boy or girl?,"bart,en.der: how ab*out a nice 12 yr old?? him: boy or !girl?"
28690,0,if you're gonna talk shit about someone... you better make sure they aren't crazier than you are,if you're :gonna talk shit :about !som;eone... you better make sure they are*n&'t? crazie!r than you. are
03567,1,potato is my favorite color of the alphabet,"potat,o is my favorite colo;r of! the :alphabet"
95830,1,face of terrorism in us,face :of terrorism in us;
29873,1,who knew that this country is full of white trash,"who knew that this cou,ntry is full of :white tr?a;sh"
70953,1,"""god's chosen people"" according to the book they wrote","""god's chosen peopl:e"" acc!ordin,g to the bo,ok they *wrote"
56124,0,how to cook turkey in usa how to cook turkey in romania,"how :to cook turkey, in usa h&ow to cook turkey: in *romania"
10386,1,the book about terrorism,the boo:k ab*out terrorism
19530,1,they shot the wrong gorilla,t?hey shot the wrong ?gorilla
94185,1,how a black woman can fight crime,how a. black woman can. f;ight crime
