id,label,original,perturbed
08291,1,white people is this a shooting range,wgkte peiple is this a whootinf tangs
46971,1,bravery at its finest,bravedy at its rineet
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,uour order fomes to $37.50 anc your ahife privioeye diecount brints the tktql to $37.50
83745,1,it is time.. to send these parasites back to the desert,it ix time.. to senc thdse pwrzeites back to thd dezery
80243,1,mississippi wind chime,misaissipli simd chime
05279,1,"knowing white people , that's probably the baby father","knosung shote peoolw , that's probzbly tne baby father"
01796,1,life hack #23 how to get stoned with no weed,life hafj #23 how tp get stlned wjth bo wred
53046,1,"you've heard of elf on a shelf, now get ready for","you'vr heard of elf on z zjelf, now get rewdy rof"
82301,1,cooooooooooooon!!!!,coooopkoookooon!!!!
31752,1,when you get to choose your own mental illness,whrb ypu get tp choode houf owm mental illness
27635,1,dat ass ahmarbkrich*d,dat ass aukarbkficg*d
80597,1,look! it says it right here! we can fuck goats!,look! it says it right hdre! as czm guvk glats!
45368,1,enough is enough children are more important than freaks,enough id enoygh fnildrej are nore importznt than frezis
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,remobes polish with chekicals hobody bats an eye rsmovss polksh wuth fhemicwls eveeybkdg lpssd hos sniy
53968,1,when you have an 80 point iq but it's the highest in your village,qhen you hafr an 80 point iq guf it's thd gighwst in your villqge
10749,1,my sense of humor is so dark it picks cotton,my zemse of humor jz sk dafk it pidks cotton
25149,1,if this offends you you might be lack toes intolerant,if this kffends yiu ylu moght be pack tpex intolerant
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","yes, ws know rrump swid ""necico will pah for thd wall"" byt npw nexixans arr thd wall. tgat bky gkod!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,they don't wash turir zwe with wated and thet eat yhejr dayghters' ass
09563,1,safe sex isis style,safe ses isis sryoe
72048,1,hurry up barack will be home soon,hufru ul barack will be nome sooj
49826,1,white people on cinco de mayo vs. every other day,shitw people oh cinco de mayo vs. sgery orher fay
