id,label,original,perturbed
08291,1,white people is this a shooting range,*hite *eople *s t*is * *h*oting rang*
46971,1,bravery at its finest,br**ery a* i*s f*nest
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,y*u* ord*r comes to $37.50 **d yo** w*ite privile** *isc*unt brings th* *ota* to $*7.50
83745,1,it is time.. to send these parasites back to the desert,*t i* time.. to s*nd these para*i**s *ack to the de*ert
80243,1,mississippi wind chime,mi*si*si*pi wind c*im*
05279,1,"knowing white people , that's probably the baby father","know*ng whit* people , **at's prob*bly the ba** *ather"
01796,1,life hack #23 how to get stoned with no weed,*ife *ack #2* h** to get st*ned wi*h n* weed
53046,1,"you've heard of elf on a shelf, now get ready for","you'v* h*ar* ** *lf *n a shelf, now ge* ready *or"
82301,1,cooooooooooooon!!!!,coo*o*ooooo*oon!!!!
31752,1,when you get to choose your own mental illness,w*en yo* *e* to *hoos* your own *e**al *llness
27635,1,dat ass ahmarbkrich*d,dat ass *hmar*k*ich**
80597,1,look! it says it right here! we can fuck goats!,**ok! i* says i* right *er*! we can fuck *oats!
45368,1,enough is enough children are more important than freaks,enough is *nough *hildren ar* m*re import*n* t*** **ea*s
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,re*oves polish wi*h chemi*a*s *obo*y *at* *n eye *e**v** pol*sh with c**micals *very*od* lo*e* his shit
53968,1,when you have an 80 point iq but it's the highest in your village,*hen *o* ha*e an 80 point iq b*t *t's th* high*** in y*** vi*la**
10749,1,my sense of humor is so dark it picks cotton,** *ense o* h***r is so dark it pick* cot*o*
25149,1,if this offends you you might be lack toes intolerant,*f this *f*end* you y*u **gh* *e la*k t*es intol*r*nt
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","yes, we **ow trump *aid ""*e*i*o *il* pa* for **e w**l"" but now **xi*a*s ar* the wa*l. that *oy *ood!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,th*y don'* wash **eir ass with wate* and t**y e*t *heir da*ght**s' **s
09563,1,safe sex isis style,**fe *ex isis sty*e
72048,1,hurry up barack will be home soon,**r*y *p *a*ack wi*l be *ome soon
49826,1,white people on cinco de mayo vs. every other day,w*i*e *e*ple on c*nco de ma*o vs. e*er* o*her *ay
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","a w*2 je*ish pr**on*r *r*ing to *scape the *uchschw*tz show**s (1943, *ol**ized) ww** *e* esc*pi*g *it*e*'s rath"
12650,1,which one has tranny problems?,which *ne *as *ranny *ro*l*ms?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,whatst*e differ***e betw*e* *ero*n an* *? cops th*n* twic* before *hoot*ng h*roi*
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,**ad tea*hers g*ven the *ower to b*n the *urqa in *ritish sc*ools sha*e if you w*nt a f*ll **n *n *rita**!
24316,1,sharks don't attack him why? they think it's whale shit,sharks *on't at*ac* him w**? they t*ink i*'s *ha*e s*i*
62035,1,thank god my ass needed a break,tha** g*d my as* neede* a b*eak
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","**rn army *nlist, and bo** ant hills ""gr** y*u* *i*ch**rk and **et *t t*e bar*"""
92058,1,how black people became christians,how b*ack peopl* b*came *hris*ians
58672,1,did you know that the chinese eat dogs savages disgusting,di* y*u kno* that *h* chin*s* ea* dogs sa*ages di****ting
54069,1,when you decide to go full gas,w*en y*u dec*d* to go full g*s
91586,1,left the kitchen too many times,*e*t the k*tche* to* m*ny times
87130,1,finally finding the right tutorial you need indian accent,fi*ally findin* th* right *utorial *ou *eed in**a* **cen*
95640,1,syrian rape survivor speaks out,*y*ian rape s***ivor spe*k* out
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","o*, *ddiction isn't a ***ea*e becau*e it st*rte* *it* a c*oice?? tell me more *b*ut how th* ch*amy*i* i* *o*r cr**c* *sn'* a dis*a*e, yet it *tar**d with a choice"
59140,1,wanna go masturbate? fuck yeah! masturbating!,w**na g* mastur*a*e? fuc* y*ah! m*s**rbating!
13647,1,she said girls run the world... so i told her get back in the kitchen,sh* said girls ru* *h* *o**d... s* i t*ld h*r *et *ack in th* kitch*n
65832,1,why love one but eat the other ? i don't get it,wh* lo** *ne b*t eat the *th*r ? i d*n't get *t
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,** this *ets 1k like* i'*l *ost to is**m how *e see mu*l*ms how mus*ims s*e us
40982,1,and just like that... this sandwich maker doubles as ironing board,and ju*t like that... t*** san*wi*h maker doub**s a* ir*n*ng b*ard
43275,1,my husband is always pushing me around... and talking behind my back,my h*s*a*d is a*ways pushin* me arou*d... and t*lki*g beh*n* my back
12973,1,someone added to much soap to the dishwasher again,*omeon* a*de* to *uch so*p *o the dis*wash*r aga*n
74350,1,a head diaper is required when you have shit for brains,a h*ad diaper *s requir*d w**n y*u have ***t *or brains
02478,1,must..resist...urge to.. kill whitey.,mu*t..resi**...urg* to.. *ill whi*e*.
51607,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,4* peo*le were killed a* c**is*church m*slim 4* p*o*le we*e kil*e* a* c*ri*tchurch *osques mu*lim
65403,1,money is evil give it to us,money ** evil giv* it t* us
29750,1,this cat is getting raped tonight,*his c** is gettin* r***d *onight
