id,label,original,perturbed
08291,1,white people is this a shooting range,white peopLe is this a shootIng raNge
46971,1,bravery at its finest,bravery AT its finest
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,your ordeR comes to $37.50 and YoUr White privilege discount brings the toTal to $37.50
83745,1,it is time.. to send these parasites back to the desert,iT is timE.. to send these paraSites bAck to the desert
80243,1,mississippi wind chime,mississiPpi winD chime
05279,1,"knowing white people , that's probably the baby father","Knowing white people , thAt's probaBly the Baby father"
01796,1,life hack #23 how to get stoned with no weed,life Hack #23 how to gEt stOned with no weed
53046,1,"you've heard of elf on a shelf, now get ready for","You've heArd of elf on a sheLf, now get ready for"
82301,1,cooooooooooooon!!!!,cooooooooooooon!!!!
31752,1,when you get to choose your own mental illness,When you get to choose your own mental iLlNEss
27635,1,dat ass ahmarbkrich*d,dat aSs ahmarbKrich*d
80597,1,look! it says it right here! we can fuck goats!,look! it says it right heRe! wE can fuck goats!
45368,1,enough is enough children are more important than freaks,enough is enough children Are More important than frEaKs
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,removEs polish with chemicals Nobody bats an eye removes poLish wiTh Chemicals everybody Loses hIs shiT
53968,1,when you have an 80 point iq but it's the highest in your village,When you havE an 80 point iq but it's the higHest in your villaGe
10749,1,my sense of humor is so dark it picks cotton,my sense of humor is so dArk it piCks cotton
25149,1,if this offends you you might be lack toes intolerant,if this OffendS you you mighT be lack toes intoleRant
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","yes, we know tRump said ""mexico wiLL pay fOr the wAll"" but now mexicans are The wall. tHat boy good!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,they don't wash theIR Ass with water anD they eat their dauGHters' ass
09563,1,safe sex isis style,safe sex isIs style
72048,1,hurry up barack will be home soon,hurry up barack will be home sOon
49826,1,white people on cinco de mayo vs. every other day,whiTe people on cinco de mayo vs. every other day
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","a ww2 jewish prisoner trying to eScape THe auchschwitz sHowers (1943, colOrIzed) wwii jew escaping Hitler's ratH"
12650,1,which one has tranny problems?,Which oNe Has tranny problems?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,whatsthe difference between heroin aNd i? Cops think TwIce befOre shootIng Heroin
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,head teacheRs given the power to bAn the buRqa in bRitIsh schools shaRe if you want a full ban in briTain!
24316,1,sharks don't attack him why? they think it's whale shit,sharks dOn'T attack him why? they thInk it's Whale shit
62035,1,thank god my ass needed a break,thaNk god my asS needed a break
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","bArn army enList, and boMb ant hilLs ""grab your Pitchfork and mEet at the barn"""
92058,1,how black people became christians,how black PeopLe became chRistians
58672,1,did you know that the chinese eat dogs savages disgusting,did you Know that thE chinese eat doGs saVages disgusting
54069,1,when you decide to go full gas,wHen you DEcide to go full gas
91586,1,left the kitchen too many times,left the kitchen too many TimEs
87130,1,finally finding the right tutorial you need indian accent,finally finDIng the right tuTorial you need indiaN accent
95640,1,syrian rape survivor speaks out,syRian rape survivor SpeAks out
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","oh, addictioN isn't a diseaSe Because It started with a cHOiCe?? tell me moRE about how the chlAmydia in your crotch isn't A disease, yet It sTarTed with a choice"
59140,1,wanna go masturbate? fuck yeah! masturbating!,wanna go masturbate? Fuck yeah! mastuRbatIng!
13647,1,she said girls run the world... so i told her get back in the kitchen,she said gIrls run the wOrLd... so I tolD her get back in the kitchen
65832,1,why love one but eat the other ? i don't get it,why lovE one but eat the oTher ? i don'T get it
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,if this getS 1k likes i'll post to iSlam hOw we see muslims HoW muslims see uS
40982,1,and just like that... this sandwich maker doubles as ironing board,And just liKe that... this sanDwicH maker doubles as ironing board
43275,1,my husband is always pushing me around... and talking behind my back,my husband is always pushinG me around... aNd taLkInG behind mY back
12973,1,someone added to much soap to the dishwasher again,someone AdDed to muCh soap to The dishwashEr again
74350,1,a head diaper is required when you have shit for brains,a head diaPeR is requirEd when you have sHit for brains
02478,1,must..resist...urge to.. kill whitey.,must..resist...urgE to.. kIll whItey.
51607,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,49 people were kIlled at cHRiStchurch muslim 49 peoPle were killeD at christchurch mOsques muSlim
65403,1,money is evil give it to us,money is eviL give it to us
29750,1,this cat is getting raped tonight,tHiS cat is getting raped Tonight
26547,1,that's the way allah allah i like it,that's The way allah alLah i lIke it
02143,1,"doesnt have food, water, electricity proud of nuclear weapons","doesnt have food, waTer, electricity proud of nuCLear weApons"
68192,1,scientist are working hard to cure them all,scieNtist aRe working hard to cUre them all
52603,1,feeling kinda cute might steal your shit later.. idk,FeelinG Kinda cute might steAl yoUr shit later.. idk
05349,0,normal day in a islamic country,Normal Day in a islamic counTry
06491,1,tranny for sale,tranny for salE
74013,1,"nurse: yes sir, we are having mashed potatoes today alzheimer's patient: i don't remember asking you a god damn thing","nursE: yes sir, we arE havIng maShed potatoEs today alzheimer'S patient: i doN't remember asKing You a god damn tHing"
27485,1,thats the way allah allah i like it!!!,thaTs the way allah allah i Like it!!!
13026,1,under the name of multiculturalism we let terrorist into this country,under the name of MUlticulturaliSm we let terrorist into thIs countrY
17265,0,meanwhile in baltimore,meanwhiLe in baltimore
91405,0,wears rag on her head so her brother husband doesnt want to molest her,wEars rAg oN her head So her brother husbanD doeSnt want to molest her
14026,1,told girlfriend that mom is deaf so speak loud and slow told mom that girlfriend is retarded,told giRlFriend that mom iS deaf so speak loud anD sLow toLd mom tHat girlfriend Is retarded
18945,1,when you decide to go full gas,when you dEciDe to go Full gas
83920,1,"just under 17 and a half years ago, 19 people were allowed into the us who should not have been all these years later, we are told that the answer to safety is to allow everyone in","juST under 17 and a half Years ago, 19 peOple were allowed into the uS who shoUld not have been all ThesE years LateR, we arE told that the answer to sAfEty is to allow eVeryone IN"
83497,0,different types of radicalization,diffErent Types of radicAlization
04569,0,when is the time to eat i am hungry,when is the time tO eat i am HungRy
39607,1,those stupid basterds thought it was a real shower,those stupid basterds Thought It waS a real shower
09715,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,i started a bUsiNess that sells landmines disgUised as prAyer mats.. ..pRophets aRe gOIng through the roof
01925,1,i am not racist i just don't like brown sugar,i am not racist I just don't lIke brown Sugar
94813,0,thats the way allah allah i like it!!!,thats the way aLLah allah i lIke it!!!
29437,1,what can happen if you eat wheaties for 38 years,what can happen if yOu eat wheaties For 38 years
95038,0,when you take these pics we think about cumming in your mouth,wHen you take these pIcs we thInk about cumming In yoUr mouTh
64891,1,lebanon: before muslims after muslims but don't worry! after islam takes over there'll be a golden age.. apparently,lebanOn: beFore muslims aFter muslims but don'T worrY! after iSlAm takes over there'll be a golden age.. apparentlY
63280,1,so you're never going to forgive the germans because of the holocaust? same,so you're nevEr goinG to forGive the germans becAuse of the hoLoCaust? same
17682,1,give them what they deserve kill them all,give them WhaT they deserve kilL them all
84510,1,bartender: how about a nice 12 yr old? him: boy or girl?,bartender: hoW aboUt a Nice 12 yr old? him: boy or gIrl?
28690,0,if you're gonna talk shit about someone... you better make sure they aren't crazier than you are,if you'Re gonna talk shiT aboUt sOmEone... you betTer make suRe they aren't crazier than you are
03567,1,potato is my favorite color of the alphabet,potAto Is my fAvorite cOlor of the alphabet
95830,1,face of terrorism in us,Face of terRorism in us
29873,1,who knew that this country is full of white trash,who knew tHAt this couNtry iS full of white trash
70953,1,"""god's chosen people"" according to the book they wrote","""god's cHosen peopLe"" according to The book they wrote"
56124,0,how to cook turkey in usa how to cook turkey in romania,how to cook tURkey iN usa hOw to cook turkey in romania
10386,1,the book about terrorism,the boOk abouT terrorism
19530,1,they shot the wrong gorilla,they ShOt the wrong gorilla
94185,1,how a black woman can fight crime,how a black womaN Can fight crime
48370,1,72 virgins are ready to get fucked up,72 virgins are rEady to get fuCKed up
74058,0,he made millions of children homeless,he madE MIllions of children homeless
45062,0,me and my kids are going to rob this country blind at the expense of the very people that voted for me. and they're going to love it. believe me! bigly!,mE and mY kids are going To rob thIs counTry bLind at the expeNse of the very people that voted for me. and they're going to love it. bElIeve ME! bIgly!
94170,0,when you decide to go full gas,When yOu decide to go full gas
04538,0,"bows here, bows there, bows everywhere","Bows herE, bows there, bows everywhere"
83946,1,when a white kid shoots up the school the same day you planned to bomb it,when a whIte kid shoots uP the schoOl the same day you planned to bomb IT
68127,0,all you guys think about is dope,all you gUys think aBout is dOpe
97453,0,potato is my favorite color of the alphabet,potato is MY FavorIte color of the alphabet
39578,1,one of the bullets they dug out of a victim from the orland gay night club shooting!,oNe of the bulLets they dug out of a victiM from the orland gay night club shOotinG!
49360,0,who wants ice cream me me me,who WantS ice cream me me me
