id,label,original,perturbed
08291,1,white people is this a shooting range,white poeple is this a shooting range
46971,1,bravery at its finest,bravery at its finets
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,your order comes to $37.50 and your white privilege discoun tbrings the total to $37.50
83745,1,it is time.. to send these parasites back to the desert,it is time. .to send these parasites back to the desert
80243,1,mississippi wind chime,mississippi wind cihme
05279,1,"knowing white people , that's probably the baby father","knowing white people , tha'ts probably the baby father"
01796,1,life hack #23 how to get stoned with no weed,ilfe hack #23 how to get stoned with no weed
53046,1,"you've heard of elf on a shelf, now get ready for","yuo've heard of elf on a shelf, now get ready for"
82301,1,cooooooooooooon!!!!,cooooooooooooon!!!!
31752,1,when you get to choose your own mental illness,when you get ot choose your own mental illness
27635,1,dat ass ahmarbkrich*d,dat ass ahmarbkrihc*d
80597,1,look! it says it right here! we can fuck goats!,loko! it says it right here! we can fuck goats!
45368,1,enough is enough children are more important than freaks,enough is enough children are more important tahn freaks
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,ermoves polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit
53968,1,when you have an 80 point iq but it's the highest in your village,when you have an 80 point iq but it's the hihgest in your village
10749,1,my sense of humor is so dark it picks cotton,my sense of humor i sso dark it picks cotton
25149,1,if this offends you you might be lack toes intolerant,if this offedns you you might be lack toes intolerant
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","yes, we know trump said ""mexico will pay for the wall"" but now mexicansa re the wall. that boy good!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,they don't wash their ass with water and they eat their dauhgters' ass
09563,1,safe sex isis style,safe sxe isis style
72048,1,hurry up barack will be home soon,hurry up barack will eb home soon
49826,1,white people on cinco de mayo vs. every other day,white people on cinco de mayo vs. everyo ther day
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colroized) wwii jew escaping hitler's rath"
12650,1,which one has tranny problems?,whcih one has tranny problems?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,whattshe difference between heroin and i? cops think twice before shooting heroin
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,head teachers given the power to ban the burqa in british school sshare if you want a full ban in britain!
24316,1,sharks don't attack him why? they think it's whale shit,sharks don't attack himw hy? they think it's whale shit
62035,1,thank god my ass needed a break,thank gdo my ass needed a break
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","barn army enlist, and bomb ant hills ""grab your pitchforka nd meet at the barn"""
92058,1,how black people became christians,how black peopleb ecame christians
58672,1,did you know that the chinese eat dogs savages disgusting,idd you know that the chinese eat dogs savages disgusting
54069,1,when you decide to go full gas,whe nyou decide to go full gas
91586,1,left the kitchen too many times,left hte kitchen too many times
87130,1,finally finding the right tutorial you need indian accent,finally findingt he right tutorial you need indian accent
95640,1,syrian rape survivor speaks out,syrianr ape survivor speaks out
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","oh, addiction isn't a disease because it started with a choice?? tell me more about how teh chlamydia in your crotch isn't a disease, yet it started with a choice"
