id,label,original,perturbed
08291,1,white people is this a shooting range,wHITE peopLE IS This A SHOoTing RaNGe
46971,1,bravery at its finest,BrAvERY at its fIneSt
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,YOUr OrdER COMeS To $37.50 ANd your WHite PrIVILeGE DIScOunt bringS The tOtal TO $37.50
83745,1,it is time.. to send these parasites back to the desert,It is Time.. tO sENd thEsE pARASIteS BacK TO THE DEsErt
80243,1,mississippi wind chime,miSsIssIPPI wINd ChimE
05279,1,"knowing white people , that's probably the baby father","KnowINg whITE peOPLE , ThAT's PrObaBly thE bABy fATHeR"
01796,1,life hack #23 how to get stoned with no weed,LifE HacK #23 hOw to get STONEd WiTh No wEED
53046,1,"you've heard of elf on a shelf, now get ready for","yOU'vE HEARd OF eLf oN a ShElf, noW GeT reAdy fOr"
82301,1,cooooooooooooon!!!!,coOoOoOOOOOoOon!!!!
31752,1,when you get to choose your own mental illness,WheN YOU GEt To cHoOSe YoUR own mEntal ILLness
27635,1,dat ass ahmarbkrich*d,dat AsS ahMARBkRIch*D
80597,1,look! it says it right here! we can fuck goats!,LOOK! IT says It riGhT HERe! We CAn FucK goats!
45368,1,enough is enough children are more important than freaks,enouGh iS EnOUgh cHiLDReN are MOrE ImpORtAnT thAn FreAKS
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,REmOveS polisH with cHeMICAlS NOBoDY baTs AN eye reMoVeS pOLISh with cHeMicALS EVEryBody LoseS HiS sHit
53968,1,when you have an 80 point iq but it's the highest in your village,wHEn yOU hAve AN 80 POInT IQ but iT'S tHE HIgHEsT in Your viLLage
10749,1,my sense of humor is so dark it picks cotton,My SEnSe of HUMOR iS so DARK it piCkS cotToN
25149,1,if this offends you you might be lack toes intolerant,if this oFFEndS YOU YoU mIGHT Be LAck Toes InTOlErANt
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","yES, WE knoW truMp SAid ""MeXiCo WILl pAy FoR THe WAll"" BUT Now MExicaNS Are the WalL. thaT BOY GoOd!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,tHey DON'T wasH TheiR Ass WiTh WaTeR and ThEY Eat ThEIr DAUgHTErs' ASs
09563,1,safe sex isis style,Safe SEX iSiS sTYLe
72048,1,hurry up barack will be home soon,huRry UP baRAck WILl Be HoME SOoN
49826,1,white people on cinco de mayo vs. every other day,wHITe PEopLe on CINcO De maYO Vs. EveRy otHER Day
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","A Ww2 jeWIsh PrIsONEr tryinG to esCaPe thE aUChscHWitz SHOweRS (1943, COLORiZed) WwIi jEW escAPINg HITleR'S ratH"
12650,1,which one has tranny problems?,WHicH onE hAs tRANNY pRobleMs?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,WHaTsThe diFFEReNcE BetWEEn hErOIN AND I? COps ThInK tWIcE BeforE shooTiNG heRoin
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,hEaD tEaChERs gIvEN THe POWeR To ban thE BurQa iN bRiTIsh SChOols shaRe if YOu Want a Full BAN iN BrItAIn!
24316,1,sharks don't attack him why? they think it's whale shit,SHaRKs Don'T aTtACk HIm WhY? theY tHiNk It's WhAlE ShIt
62035,1,thank god my ass needed a break,thanK God My aSS nEEDed a BreAK
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","BARN aRmY eNlIsT, And BoMb ANT hILlS ""GraB your PiTcHfOrk aND meeT at tHe baRN"""
92058,1,how black people became christians,hOW bLACk PEOPLE becaME chrIstiAnS
58672,1,did you know that the chinese eat dogs savages disgusting,Did you knOw ThaT The CHiNeSE eAT DoGs SAVaGeS DIsgusTInG
54069,1,when you decide to go full gas,WHeN yoU dECIde to gO fULl GAS
91586,1,left the kitchen too many times,lEFt thE kItCHEN too maNY tImEs
87130,1,finally finding the right tutorial you need indian accent,fInAllY FIndINg THe rigHt TutORIaL YOU NEEd indian ACcENt
95640,1,syrian rape survivor speaks out,SYRiAn rape suRVivOr SPEAks OuT
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","oH, aDdICtIon isN'T A dIseaSe beCAUse IT sTARTeD WiTh a cHoIcE?? tell ME MOrE about HoW THE cHlAmydia iN YOur CrotcH IsN't A DIsEAse, Yet IT sTArtED wITH A cHoicE"
59140,1,wanna go masturbate? fuck yeah! masturbating!,WanNa gO MasTurbaTe? fUCK YEah! MASTUrbatinG!
13647,1,she said girls run the world... so i told her get back in the kitchen,sHE sAID girLs rUn THE worlD... SO i TOlD hEr geT BACk In ThE Kitchen
65832,1,why love one but eat the other ? i don't get it,whY LOVe one bUT eAT tHe oTHer ? I DON't gEt IT
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,IF tHiS GEts 1k LikEs I'll POsT To IslAm HoW wE seE muSLIMS how mUsLIms sEE us
40982,1,and just like that... this sandwich maker doubles as ironing board,aNd juST LikE thAt... THIs SaNdwIch makEr dOUBLES aS iRoning bOARD
43275,1,my husband is always pushing me around... and talking behind my back,my HUSBANd IS alwayS pUSHiNg mE AroUnd... AnD tAlking BehInD My bACK
12973,1,someone added to much soap to the dishwasher again,SomEOnE AdDeD to mUCh soap To tHE disHwASHeR AGaiN
74350,1,a head diaper is required when you have shit for brains,a heAd DiApER is rEquired WHEn YOu hAVE shIT FoR BRainS
02478,1,must..resist...urge to.. kill whitey.,mUsT..ReSIST...urge tO.. kill wHitEY.
51607,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,49 peOPLe wERE KILLEd AT chriStcHurCH MuslIM 49 PEoplE WERe KIlled At ChRIsTChuRcH mOsqUeS MUsLim
65403,1,money is evil give it to us,MONEy is evIl gIvE it To uS
29750,1,this cat is getting raped tonight,thIs CAT is gettiNG rapEd ToNIGHt
26547,1,that's the way allah allah i like it,tHaT'S the WaY aLlaH AlLah i LIkE IT
02143,1,"doesnt have food, water, electricity proud of nuclear weapons","dOeSnT HavE fOod, WaTEr, ELectRiCITY pRouD Of nUCleAR WeaPoNs"
68192,1,scientist are working hard to cure them all,sCIeNtIst ARe WoRkInG Hard tO cURe tHEm ALL
52603,1,feeling kinda cute might steal your shit later.. idk,fEElINg kinDa CuTe MiGHT STeAl your ShIT LAter.. IdK
05349,0,normal day in a islamic country,nOrMAL day in a isLaMiC COuNTRY
06491,1,tranny for sale,trAnny FoR saLE
74013,1,"nurse: yes sir, we are having mashed potatoes today alzheimer's patient: i don't remember asking you a god damn thing","nUrSE: yes Sir, WE aRe HAVIng masheD POTAtoeS TODaY ALZHeimEr's patiENT: i DoN't REmEmbeR askinG YOu A God DAmN THiNg"
27485,1,thats the way allah allah i like it!!!,ThaTS THe WAy aLlah alLaH I lIke IT!!!
13026,1,under the name of multiculturalism we let terrorist into this country,uNdEr THe nAme OF muLticUlturALISM We lEt TERrOriST InTo thIS CoUNtrY
17265,0,meanwhile in baltimore,MeANwHiLE iN bALtimorE
91405,0,wears rag on her head so her brother husband doesnt want to molest her,WEarS rAG On HeR heAD So HER BRoTHEr Husband doesnt wANt TO MOlEST her
14026,1,told girlfriend that mom is deaf so speak loud and slow told mom that girlfriend is retarded,ToLd gIRlFRiENd that moM IS DEAf So SPEaK LoUd aNd sLow tOLD MOM That GIRlFrieND IS retardeD
18945,1,when you decide to go full gas,when YoU DeCIDe To Go FULl gAS
83920,1,"just under 17 and a half years ago, 19 people were allowed into the us who should not have been all these years later, we are told that the answer to safety is to allow everyone in","jUST under 17 and a haLF yEARs AGo, 19 PEople wErE allOwED iNTo THe us wHO SHOULd NoT hAve BeEN aLl THESE yEars lATeR, wE aRE tolD that THE aNSWeR tO saFEty IS To alLOw eVERYone in"
83497,0,different types of radicalization,DIFfeRent tYPeS Of RAdIcalIZATion
04569,0,when is the time to eat i am hungry,WHEN is ThE TImE tO eaT I aM hunGry
39607,1,those stupid basterds thought it was a real shower,ThoSE STUpid baSteRDS THOughT it wAs A reAl ShOwER
09715,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,I StArTED a busINESs THat SeLLs LaNDMineS dISGuIsED As praYer mATs.. ..prOPheTs aRe gOinG throUGh tHE ROoF
01925,1,i am not racist i just don't like brown sugar,i AM noT RAciSt i jUsT dON't like brOwN SugaR
94813,0,thats the way allah allah i like it!!!,THats tHe Way alLah aLLaH I LIKe it!!!
29437,1,what can happen if you eat wheaties for 38 years,whAT CAn hapPEN iF yoU EaT WhEaties FOr 38 YeARs
95038,0,when you take these pics we think about cumming in your mouth,whEN you TakE tHese Pics We tHINK AbOUT CummINg iN YOur MoUtH
64891,1,lebanon: before muslims after muslims but don't worry! after islam takes over there'll be a golden age.. apparently,LeBAnon: bEfoRe MuslimS afteR MusLiMs BUT DoN't wORRY! after isLaM taKEs Over tHerE'll Be a gOLdEN AGE.. apPAReNTlY
