id,label,original,perturbed
08291,1,white people is this a shooting range,whtie pepole is this a shooting arnge
46971,1,bravery at its finest,braevry at istf inest
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,yuor orde rcomes to $37.50a nd your white privilege discount brings the total to $37.50
83745,1,it is time.. to send these parasites back to the desert,ti is time.. ot send these parasites abck to the desert
80243,1,mississippi wind chime,mississippiw nid chime
05279,1,"knowing white people , that's probably the baby father","knowing whtie people , that's porbably the baby fatehr"
01796,1,life hack #23 how to get stoned with no weed,ilfe hack #23 how to ge tstoned with now eed
53046,1,"you've heard of elf on a shelf, now get ready for","you've heard of elf on a shlef, nwo get ready ofr"
82301,1,cooooooooooooon!!!!,ocoooooooooooon!!!!
31752,1,when you get to choose your own mental illness,whe nyou get to choose your own emntal illenss
27635,1,dat ass ahmarbkrich*d,dat ass ahmarkbirchd*
80597,1,look! it says it right here! we can fuck goats!,look! it sasy it rgiht here! we can fuck gaots!
45368,1,enough is enough children are more important than freaks,enough is enough childre nare more importnat thanf reaks
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,removes polish with chemiclas nobody bats an eye removes ploish with chemicals everybody lsoes his shit
53968,1,when you have an 80 point iq but it's the highest in your village,wehn you have an8 0 point i qbut it's the highest in your village
10749,1,my sense of humor is so dark it picks cotton,my sense of huomr i sos dark it picks cotton
25149,1,if this offends you you might be lack toes intolerant,if this ofefnds you you might be lack otes intoelrant
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","yes, we know trump sai d""mexico will pay for teh wall"" but now mexicans are the wall. that oby good!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,they don't wash their ass with water nad they aet their daughter's ass
09563,1,safe sex isis style,saef sex isiss ytle
72048,1,hurry up barack will be home soon,hrury up barackw il lbe home soon
49826,1,white people on cinco de mayo vs. every other day,hwite peopl eon cinco ed mayo vs. every other day
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","a ww2 jewish prisoner tryingt o escape the aucshchwitz showers (1943, colorized) wwii jew ecsaping hitler's rath"
12650,1,which one has tranny problems?,which oneh as trnayn problems?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,whatsthe difefrence between hreoin and ?i cops think twice before shooting heroin
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,head teachers gievn the power to ban the burqa in british schoosl share i fyou want a full ban in britain!
24316,1,sharks don't attack him why? they think it's whale shit,sharks don't tatcak him why? they htink it's whale shit
62035,1,thank god my ass needed a break,than kgod my ass needed a braek
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","barn army enlits, and bobm ant hills ""grab your pitchfork and meet at the bar""n"
92058,1,how black people became christians,how blac kpeopleb ceame christians
58672,1,did you know that the chinese eat dogs savages disgusting,idd you know that the chinese eatd gos savages disgusting
54069,1,when you decide to go full gas,when yo udecdie to go fullg as
91586,1,left the kitchen too many times,left tehk itchen too amny times
87130,1,finally finding the right tutorial you need indian accent,finall yfinding the right uttoria lyou need indian accent
95640,1,syrian rape survivor speaks out,sryian rape survivor spaesk out
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","oh, addiction isn't a diseaes because it started with a choice?? tell me more abuot how th echlamydia in your crotch isn't a disease, yet it started with a choice"
59140,1,wanna go masturbate? fuck yeah! masturbating!,wanna og masturbate? fuc kyaeh! masturbating!
13647,1,she said girls run the world... so i told her get back in the kitchen,she said girls run the worl.d.. so i told her getb ack in the kitcehn
65832,1,why love one but eat the other ? i don't get it,why love oneb ut eat theo ther ?  idon't get it
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,if this gets 1k ilkes i'llp ost to islam howw e see muslims how muslims see us
40982,1,and just like that... this sandwich maker doubles as ironing board,and ujst like that... this sandwich make rdoubles as rioning board
43275,1,my husband is always pushing me around... and talking behind my back,my husbnad is laways pushing me around... and talking behind my bcak
12973,1,someone added to much soap to the dishwasher again,someone added to much soap to hte diswhasehr again
74350,1,a head diaper is required when you have shit for brains,a hea ddiaper is required when you have shi tfor rbains
02478,1,must..resist...urge to.. kill whitey.,umts..resist...urge to.. kill whitey.
51607,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,49 people were killed a tchristchurch muslim 94 people were killed at christcuhrch mosques muslim
65403,1,money is evil give it to us,omney i sevil giev it to us
29750,1,this cat is getting raped tonight,this cat is gettnig rpaed tonigth
26547,1,that's the way allah allah i like it,htat's the way allah lalha i like it
02143,1,"doesnt have food, water, electricity proud of nuclear weapons","doesn thave food, water, electricity porud of nuclear weapnos"
68192,1,scientist are working hard to cure them all,sicentist aer working hard to cure the mall
52603,1,feeling kinda cute might steal your shit later.. idk,feeling kinda cute might steal yuor shti latre.. idk
05349,0,normal day in a islamic country,nromald ay in a islamic counrty
06491,1,tranny for sale,trnan yfors ale
74013,1,"nurse: yes sir, we are having mashed potatoes today alzheimer's patient: i don't remember asking you a god damn thing","nurse: yes sir, we are having msahe dpotatoes today alzheimer'sp atient: i don't remember asking you a god damn thing"
27485,1,thats the way allah allah i like it!!!,htats hte way allah allah i liek it!!!
13026,1,under the name of multiculturalism we let terrorist into this country,under the name of mulituclturalism we let terrorist into this coutnry
17265,0,meanwhile in baltimore,meanwhile inb altiomer
91405,0,wears rag on her head so her brother husband doesnt want to molest her,wearsr ag onh er head so her brother husband doesnt want to molest hre
14026,1,told girlfriend that mom is deaf so speak loud and slow told mom that girlfriend is retarded,told girlfriend that mmo is deaf so speak loud and slow told omm thta girlfriend is retarded
18945,1,when you decide to go full gas,when you dceid eto go ufll gas
83920,1,"just under 17 and a half years ago, 19 people were allowed into the us who should not have been all these years later, we are told that the answer to safety is to allow everyone in","just under 17 and a half years ago, 19 people were alolwed int othe us who should not have been all these years later, we are told that the answer to safety is to allow everyone ni"
83497,0,different types of radicalization,differentt ypse of radicailzation
04569,0,when is the time to eat i am hungry,when is the timet o eat i mah ungry
39607,1,those stupid basterds thought it was a real shower,those stupidb asetrds thought ti was a real shower
09715,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,i started a business that sells landmines disguised as pryaer mats.. ..prophets rae going htrough the roof
01925,1,i am not racist i just don't like brown sugar,i am not raicst i just dont' likeb rown sugar
94813,0,thats the way allah allah i like it!!!,thats the waya llah allah i liek it!!!
29437,1,what can happen if you eat wheaties for 38 years,whatc na happen if you eat wheateis for 38 years
95038,0,when you take these pics we think about cumming in your mouth,when you take these pics we htink about ucmming in your omuth
64891,1,lebanon: before muslims after muslims but don't worry! after islam takes over there'll be a golden age.. apparently,lebanon: before muslims afetr mulsims but odn't worry! after islam takes over there'll be a golden age.. apparently
63280,1,so you're never going to forgive the germans because of the holocaust? same,so you're never going to forgive the germasn because of th eholocasut? same
17682,1,give them what they deserve kill them all,give them what hte ydeserve klil them all
84510,1,bartender: how about a nice 12 yr old? him: boy or girl?,bratender: how about a nice 12 yr old?h im: boy or gir?l
28690,0,if you're gonna talk shit about someone... you better make sure they aren't crazier than you are,if you're gonna talk shit about smoenoe... you better make sure they raen't crazier than you are
03567,1,potato is my favorite color of the alphabet,potato is my favorit ecloor oft he alphabet
95830,1,face of terrorism in us,face fo terrorism niu s
29873,1,who knew that this country is full of white trash,who knewt hat this countryi s full of wihte trash
70953,1,"""god's chosen people"" according to the book they wrote","""god's chosen people"" cacordnig to the book they wrote"
56124,0,how to cook turkey in usa how to cook turkey in romania,how to cook turkey in usa how to coo kturkye in romnaia
10386,1,the book about terrorism,the book baotu terorrism
19530,1,they shot the wrong gorilla,they shott he wron ggorlila
94185,1,how a black woman can fight crime,how a blackw oman can figth rcime
48370,1,72 virgins are ready to get fucked up,72 virgin srae reayd to get fucked up
74058,0,he made millions of children homeless,he mad emlilions of childre nhomeless
45062,0,me and my kids are going to rob this country blind at the expense of the very people that voted for me. and they're going to love it. believe me! bigly!,me and my kids are gonig to rob this conutry blind at the expense oft he very people that voted for me. and they're going to love it. believe me! bigly!
94170,0,when you decide to go full gas,when you decide ot go ufll gas
04538,0,"bows here, bows there, bows everywhere","bows hree, obw sthere, bows everywhere"
83946,1,when a white kid shoots up the school the same day you planned to bomb it,when a white kid sohots up the scholo the same day you plnaned to bomb it
68127,0,all you guys think about is dope,all you gusy htink about is doep
97453,0,potato is my favorite color of the alphabet,potato is my favroitec olor of the alphbaet
39578,1,one of the bullets they dug out of a victim from the orland gay night club shooting!,one of the bulletst hey dug out o fa victim from the orland gay night clu bshooting!
49360,0,who wants ice cream me me me,hwo watns ice cream me m eme
87034,0,you don't need a parachute to go skydiving twice you need a parachute to go skydiving twice,oyu don't need a parachute to go skydiving twiec you need a parachute tog o skydiving twice
06123,1,a group of men,a gruopo f mne
17028,1,"feeling bored, let's go to a mosque","feeling bored, lets' got o a moqsue"
42903,0,those stupid basterds thought it was a real shower,those stupdi basetrds thought it was a real shwoer
71680,1,muslim strip club,msulim srtip culb
24135,0,good night keep your butthole tight,good nightk eep yuor buttholet ight
32875,0,if he wears number one he's most likely the fastes on the team,if he wears number on ehe's most likely thef atses on the team
79085,1,today we are making vegetable soup,today we are maknig vegetables uop
61872,1,don't be a fool it is a bomb,dont'b e a folo it is a bomb
30579,0,white power!,hwit epoewr!
62504,0,we've taken this country! now fuck off! we're taking it back!,we've taken this cuontry! nowf uck off! we're taking it bcak!
43810,1,how to cook turkey in usa how to cook turkey in romania,how to cook tureky in usa ohw to cook turkeyi n romania
19730,1,jamal is practicing for class sport,jamal is practicign forc alss sport
37420,0,like lebanon terrorism can destroy a beautiful country,like lebanon etrroris mcan destroy a beautiful coutnry
82509,0,72 virgins are ready to get fucked up,7 2virgnis are reday to get fucked up
96284,1,welcome to melbourne,welcomet om elbuorne
97068,1,these hitler jokes are rude anne frankly i don't care,these hitelr joke sare rude anne frankly i dont' care
03214,0,bartender: how about a nice 12 yr old? him: boy or girl?,batrender: hwo about a nice 12 yr ol?d him: boy or girl?
23810,1,these aren't people,thes eraen'tp eople
91836,1,one of my 5 boyfriends slept with another girl i'll never trust men again!,one o fmy 5 boyfriends slept wiht another girl i'll nevert rust men again!
05126,1,can you smell what the reich is cooking,acn you smell whatt h ereich is cooking
76092,0,everybody is afraid of gangs,everybod yis afraido f gansg
64072,1,trump said immigrants come here to steal your wife is a great example she stole my speech,trump said immigrants coem here tos teal your wife is a great example hse stole my speech
91058,1,get in loser we're invading poland,get i nloesrw e're invading poland
21643,0,haha pig man is peeing standing up,haha pig man is epeing stnading pu
19523,0,they see them rollin.... they hating..,they se ethem rollin.... they hatnig..
32691,1,this is how muslims celebrate new year,this is howm uslims celebraten e wyear
87169,1,albanians talking photo with a porn star,laabnians talking photo with a porn satr
92738,1,"they are the best in basketball because they can steal, shoot and run","they are teh best in basketball becasue they can steal, shoo tand run"
53027,0,putting bows on your pet,uptting bows no yourp et
27195,0,there's a reason we keep the beer in the bottom of the cooler,there'sa  resaon we keep the beer int he bottom of the cooler
43910,1,i just started a company selling landmines that look like prayer mats prophets are going through the roof,i just started a compnay selling landmines that look lik eprayer mats prophets aer going through the roof
05213,0,the families of the hillsborough tragedy were denied legal aid.... but shamima begum gets it to fight for her uk citizenship our system is a sick joke! - martin costello,the families of the hillsborough tragedy were denied legal aid.... but shamim abegum gest it to fight for her uk citizenship our system is a sick joke! - martin costello
