id,label,original,perturbed
08291,1,white people is this a shooting range,white people is thia shooting rang
46971,1,bravery at its finest,brvey at its finest
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,your orer comes to 37.50 andyur whit privilege discoun bring the ttal to $37.50
83745,1,it is time.. to send these parasites back to the desert,t is time.. to send these arasitesback tothe deert
80243,1,mississippi wind chime,mississippi windchim
05279,1,"knowing white people , that's probably the baby father","knowing white peoe , thats probably thebabyfather"
01796,1,life hack #23 how to get stoned with no weed,life hack #2 how toget oned with no weed
53046,1,"you've heard of elf on a shelf, now get ready for","yo've heard of lf n a shef, now get ready for"
82301,1,cooooooooooooon!!!!,coooooooooooon!!!!
31752,1,when you get to choose your own mental illness,when you get tochose yourown mental illess
27635,1,dat ass ahmarbkrich*d,da as ahmarbkrich*d
80597,1,look! it says it right here! we can fuck goats!,look! it says it rigt here wecan fuckgoats!
45368,1,enough is enough children are more important than freaks,nogh is enough hildren are more imortant than freak
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,rmovs poish with hmicls nobody bats an eye removes polish wthchemicas everybodyloses his shit
53968,1,when you have an 80 point iq but it's the highest in your village,wen you aven 80 pont iq butit's the highest in your village
10749,1,my sense of humor is so dark it picks cotton,my sense of umor is s dark t picks ctton
25149,1,if this offends you you might be lack toes intolerant,if thi offendsyou you might b lak tos intolerant
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","yes, we know trump said mxicowill py fo the wll"" ut nowmexicans are thewall. that boy good!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,hey don't wash their ass it wtr and they eat teir daughers' ass
09563,1,safe sex isis style,safe sex isis styl
72048,1,hurry up barack will be home soon,hurry upbarack wil b home soon
49826,1,white people on cinco de mayo vs. every other day,white people on cico de mayo vs. every othr d
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath",a w2 jewish risoner ring to escape te auchschwitz howers 1943 colorized) wwiijew escaping hilers rath
12650,1,which one has tranny problems?,which one hastranny prblms?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,watsthe differnce between roin and i? cops think twice beore shooting eoi
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,ead tachers given the power o ban the burqa i british schoos share if you want a fllban ibritain
24316,1,sharks don't attack him why? they think it's whale shit,shark on't attac him why? they think it' whale shi
62035,1,thank god my ass needed a break,thank god m assneededa break
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","arn army enlis, and bomb nt hills ""grabyour pitchfor and meet at te ban"""
92058,1,how black people became christians,howblack people beame chrisians
58672,1,did you know that the chinese eat dogs savages disgusting,did you know at the chnese eat dogs savages disgstig
54069,1,when you decide to go full gas,when you ecid to go ful gas
91586,1,left the kitchen too many times,lft the kitchen too man time
87130,1,finally finding the right tutorial you need indian accent,finally fiding the right tutorial yu eed inian acent
95640,1,syrian rape survivor speaks out,srian rape survior speas out
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","oh, adicton isn't a isease becaue it started wi a choie??tell memore abou how the chlamydia inyourcrotch isn'ta disease, t it startedwith a choice"
59140,1,wanna go masturbate? fuck yeah! masturbating!,wanna go masturbate? fuck yeh! matubatig!
13647,1,she said girls run the world... so i told her get back in the kitchen,she said irls run the world.. so i toldhr get back in thekithen
65832,1,why love one but eat the other ? i don't get it,why love one but at the other?i don't ge it
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,if this gets 1k ikesi'll post to islam how wese uslims how uslims se us
40982,1,and just like that... this sandwich maker doubles as ironing board,and just ik that... tis sandwichmaer doubles as ironng board
43275,1,my husband is always pushing me around... and talking behind my back, husband is aways pushig me around... and taking bhind my back
12973,1,someone added to much soap to the dishwasher again,someone addedto much sop o the dishwaheragain
74350,1,a head diaper is required when you have shit for brains,head diaper is required hen you havehit for brains
02478,1,must..resist...urge to.. kill whitey.,must..rist...urgeto.. kill whitey.
51607,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,49eople wer illed atchristchurh muslim 49 people ere killed t christchurch mosques musli
65403,1,money is evil give it to us,mony is eil give it to us
29750,1,this cat is getting raped tonight,this cat is gettng aed tonight
26547,1,that's the way allah allah i like it,thats the way alah alah i like it
02143,1,"doesnt have food, water, electricity proud of nuclear weapons","doest have food, wter,elecricity prud of nuclear weaons"
68192,1,scientist are working hard to cure them all,scientist areworking hard t cur thm all
52603,1,feeling kinda cute might steal your shit later.. idk,feeing knda cute mightsteal you shit latr.. idk
05349,0,normal day in a islamic country,normal day in a slamic cotry
06491,1,tranny for sale,tranny for sae
74013,1,"nurse: yes sir, we are having mashed potatoes today alzheimer's patient: i don't remember asking you a god damn thing","nure: yes sir, we re having mashedptatoe today alheimer's patiet:i don't emember skng you a god damn thing"
27485,1,thats the way allah allah i like it!!!,thats the way llah allah  lik it!!!
13026,1,under the name of multiculturalism we let terrorist into this country,under te nameof multiculturalism we let terrorist itothi countr
17265,0,meanwhile in baltimore,meanwhile n baltimre
91405,0,wears rag on her head so her brother husband doesnt want to molest her,wearsrag on her had s her bother husbad doesnt wan to molst her
14026,1,told girlfriend that mom is deaf so speak loud and slow told mom that girlfriend is retarded,old girlfriend that mom is deaf so speak lud a slow tld om thatgirlfried is retrded
18945,1,when you decide to go full gas,hn you decide to go ful gas
83920,1,"just under 17 and a half years ago, 19 people were allowed into the us who should not have been all these years later, we are told that the answer to safety is to allow everyone in","ust uder 17 and a hal ears ago, 1 people were allowd into the us wh should not hve been all these year later, we reold tat the answer o safty i to allw everyonein"
83497,0,different types of radicalization,differen types of radiclizatin
04569,0,when is the time to eat i am hungry,wen is the ime to eat i am hngry
39607,1,those stupid basterds thought it was a real shower,tse supi baterds thought it was a real shower
09715,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,i started a uines that sels landminesdisguised as prayer mt. .prophet are going through the roof
01925,1,i am not racist i just don't like brown sugar,iam not racist i jst do't likebrown sugar
94813,0,thats the way allah allah i like it!!!,thats th wy allah allah i lke it!!!
29437,1,what can happen if you eat wheaties for 38 years,what cn happen if you eat wheies for 38 ears
95038,0,when you take these pics we think about cumming in your mouth,whenyu tae thes pi we think about cumming in your mouth
64891,1,lebanon: before muslims after muslims but don't worry! after islam takes over there'll be a golden age.. apparently,ebanon: before muslim after muslimsbutdon't orry! ater ilam tak over therell be a glden age.. apparently
63280,1,so you're never going to forgive the germans because of the holocaust? same,so you're nver going tforgie the germans bcase of th holocaust? same
17682,1,give them what they deserve kill them all,give em what they deserve killthem ll
84510,1,bartender: how about a nice 12 yr old? him: boy or girl?,bartender: how about a nie  yr old? him: oy o girl?
28690,0,if you're gonna talk shit about someone... you better make sure they aren't crazier than you are,ifyo're gonna talk shit bout someone... yu better makesure hey aren't crazier than yure
03567,1,potato is my favorite color of the alphabet,poato is myfavrite colo of the alphabet
95830,1,face of terrorism in us,fe of terrorism in us
29873,1,who knew that this country is full of white trash,who knewthatthis cuntry s full of white trash
70953,1,"""god's chosen people"" according to the book they wrote","""god's hosen peple"" according to thebook hey wroe"
56124,0,how to cook turkey in usa how to cook turkey in romania,hw to cook trkey in usa how t cook turey in romnia
10386,1,the book about terrorism,th book about trrorism
19530,1,they shot the wrong gorilla,they shot the wong gorila
94185,1,how a black woman can fight crime,ow a black woman ca fght crime
48370,1,72 virgins are ready to get fucked up,7 virgis are eady to get fucked up
74058,0,he made millions of children homeless,he mde millions of childrenhomless
45062,0,me and my kids are going to rob this country blind at the expense of the very people that voted for me. and they're going to love it. believe me! bigly!,me and  kids are going o rob th cotry blind a the expense of the vey pope that vted for me. nd they're going to love t. elieve me! bigly!
94170,0,when you decide to go full gas,he you decde to go full gas
04538,0,"bows here, bows there, bows everywhere","ows here, bos ther, bows everywhere"
83946,1,when a white kid shoots up the school the same day you planned to bomb it,whn a hite kid shots up the schoo the sae day yu planne to bomb it
68127,0,all you guys think about is dope,all yu guys hnk about is dope
97453,0,potato is my favorite color of the alphabet,potato is my favorie colr f thealphabet
39578,1,one of the bullets they dug out of a victim from the orland gay night club shooting!,one of the bulles they du out ofa victim from the orlan gy night clubsootng!
49360,0,who wants ice cream me me me,who wants iceceam me me me
87034,0,you don't need a parachute to go skydiving twice you need a parachute to go skydiving twice,you don't need a paachutto go skydivig twice you ed a prachute o go skydiving wice
06123,1,a group of men,a grou of men
17028,1,"feeling bored, let's go to a mosque","eeling bred,let's go to a mosque"
42903,0,those stupid basterds thought it was a real shower,tho stupid baterds touht it was a real shower
71680,1,muslim strip club,muslim stripclub
24135,0,good night keep your butthole tight,good nit keep your butthol tight
32875,0,if he wears number one he's most likely the fastes on the team,if hewears nuber ne hes most likly the fastes on th team
79085,1,today we are making vegetable soup,toda we are making vegetabl sou
61872,1,don't be a fool it is a bomb,don't be a foolit is  bomb
30579,0,white power!,white power
62504,0,we've taken this country! now fuck off! we're taking it back!,we've take this countr! ow fuck off! 're taking it bak!
43810,1,how to cook turkey in usa how to cook turkey in romania,how to cook tuey in usa how tocook trkey in romnia
19730,1,jamal is practicing for class sport,jamal is praticig for class sort
37420,0,like lebanon terrorism can destroy a beautiful country,like lebanonterrorim can desoy  beautiful country
82509,0,72 virgins are ready to get fucked up,7 virgins are read to get fcked up
96284,1,welcome to melbourne,welcome to melboue
97068,1,these hitler jokes are rude anne frankly i don't care,thse hitler joe are rude anne frakly i don't are
03214,0,bartender: how about a nice 12 yr old? him: boy or girl?,bateder: how abou anice 12 yr old? him: boy or grl?
23810,1,these aren't people,these arent people
91836,1,one of my 5 boyfriends slept with another girl i'll never trust men again!,o of y 5 boyfriends lept with another girli'll never trst men aain!
05126,1,can you smell what the reich is cooking,can yu smell what th reich is coking
76092,0,everybody is afraid of gangs,everybodyis araid of gangs
64072,1,trump said immigrants come here to steal your wife is a great example she stole my speech,tump said immigrans come here to stel yor wifei a greatexample she stole my spech
91058,1,get in loser we're invading poland,get in lose we'e invding poland
21643,0,haha pig man is peeing standing up,haha pg ma is peeing tanding up
19523,0,they see them rollin.... they hating..,they see themollin... they hating..
32691,1,this is how muslims celebrate new year,this isow muslims clebrate new year
87169,1,albanians talking photo with a porn star,albnians talkingphoto with a orn tar
92738,1,"they are the best in basketball because they can steal, shoot and run","they are he best in bsketball beause thy can steal, shot and ru"
53027,0,putting bows on your pet,uttingbows on your pet
27195,0,there's a reason we keep the beer in the bottom of the cooler,her's a reason we kep the eer in the bottom of the oolr
43910,1,i just started a company selling landmines that look like prayer mats prophets are going through the roof,i jut starte  company selling landines tat look lik prayer mts prophets are ing hrough the roof
05213,0,the families of the hillsborough tragedy were denied legal aid.... but shamima begum gets it to fight for her uk citizenship our system is a sick joke! - martin costello,the familiesof he hillborouh tragedy were denied legl aid.... but shamim begum gs it to fght fo her uk citizeship our sstem i a sic joke!- martin ostello
73945,0,jamal is holding a gun,jamalis hlding a gun
56207,1,we broke up but she said we could still be cousins,we boke p butshe said w could till be cousins
68459,1,family trip in mexico,family trp in mexio
63175,0,"if i was uncircumcised i'd hide candy in my dick skin so when a girl about to suck me up, she has a pleasant surprise.. oh my god, skittles","if i was uncircmcisedi'd hide candy in my dick skin o we a girl bot to suck me up, he has a leasant surprise.. oh my god, skis"
82945,0,be careful who you call ugly in highschool,be careful who you cal ugl n hghschool
34975,0,what if the only reason mary got pregnant... is because god is gay and needed a surrogate,what f the oy reason mary got pregnant... s ecasegod isgay and needed a surrogate
61973,1,what do alcoholics and necrophiliacs have in common they both love to crack open a cold one.,what do alcoholic ad nerophilacs aven common theyboth lov to crack open a cold one.
16420,0,abnormal vs normal,abnormal vs nrmal
73069,1,immigration invasion learn the difference,immigratin invaion lean the dfference
47056,1,illegal aliens are not welcome,llegal aliens are ot wlcome
56428,0,if the shocker don't rock her spock her,i the hocker don't rock her pock her
54206,0,you can smell disgust and hate from this photo,you an smell disgust and te fom this photo
93172,0,this is a terrorist,this is a terorist
56980,0,coffee isn't helping get the jumper cables,coffee isnt helpin get the jmpr cables
79615,0,what women think men want what men really want,wat women think en wat what men reallywant
38047,0,"""stupid bitch"" is not a race","""stupid itch"" is not a rac"
94560,1,and for my next class project!,and for my next clas rojec!
96250,0,i'm going home i'm russian,i'm going ome i'm russia
28951,0,if the brim of your hat is flat and has a sticker on it i automatically assume you're a complete tool,if te brim of yourat is flat and has a sticer on iti atomaially assme you're  complete tool
27614,0,maybe if you think before you act you'd be treated better,may f you thin before you act you'd be treated btter
04857,1,...even the dumb jews know that! trump is a racist.,.eve the dumb jews know tat! trump is a racst.
79603,1,its friday cunts lets get on the gas,its friday cnts lets get n the ga
26985,1,i just heard my girlfriend is pregnant,i just heard m girlfriend is regnan
14873,1,human dna found in ancient goat carcass scientists believe this is first proof muhammad existed,human dna oud in anient goat carcass sientits believeths is first prof muhammad exsted
54893,0,"old people at weddings always poke me and say ""you're next."" so, i started doing the same thing to them at funerals","old people at weddins alwas poe me nd say yure nex."" so, i tarted doing the ame thing to them at funerls"
48236,0,that blood you donated could be in someone's boner right now,thatbood you onated coul be isomeone's boner right now
74908,0,she is condemning shooting the gorilla,she is condemnig hooting the gorila
96472,1,white power!,white powr!
89430,0,when you know you don't have to jackoff tonight,when you knw you don't hveto jackoff toniht
