id,label,original,perturbed
08291,1,white people is this a shooting range,wht peope is ths a hooing rang
46971,1,bravery at its finest,braey atis finest
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,your rder com to$37.50and yourwhite rivlege discntbrg th ota to $37.50
83745,1,it is time.. to send these parasites back to the desert,i istme..  send tseparasitesbck to the dsert
80243,1,mississippi wind chime,missisppi wnd hime
05279,1,"knowing white people , that's probably the baby father","nwing hite peple ,thts prbably he baby fathr"
01796,1,life hack #23 how to get stoned with no weed,ife hack #23how to tstoedwth no weed
53046,1,"you've heard of elf on a shelf, now get ready for","you'head of ef ona shelf, now gt read or"
82301,1,cooooooooooooon!!!!,cooooooooooon!!!
31752,1,when you get to choose your own mental illness,whenyou gt o chose yor ow mentalillns
27635,1,dat ass ahmarbkrich*d,dat ass amabkricd
80597,1,look! it says it right here! we can fuck goats!,loo itsas it right hre! we ca ck oats!
45368,1,enough is enough children are more important than freaks,eugh is enoughhildren aremre imornt han freas
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,removesplishwih chemils noy bas an ye revs oishwithchemicals eveybodyloses his shit
53968,1,when you have an 80 point iq but it's the highest in your village,we ou have n 0pint ibut i's the highest inyor villge
10749,1,my sense of humor is so dark it picks cotton,m sense of hmor s s dar t pics ctton
25149,1,if this offends you you might be lack toes intolerant,ths ofens you you mghte lack oes intolerant
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","yes,we nowtrumpsaid ""mxicowilly or the wall"" t nw meicans re the w. thatboy good!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,ty don'twah te ass with waterand thy eat thei dughterass
09563,1,safe sex isis style,safe sexis style
72048,1,hurry up barack will be home soon,hurryup barack willbomesoon
49826,1,white people on cinco de mayo vs. every other day,whte peole on cinco d my vs. evry th day
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","aw2 jewis prisonertig to scae te auchschwitzhowers (943, colrize) wi jew capg hitler's ath"
12650,1,which one has tranny problems?,whihne as tranny rolems?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,whatthe differecebtwee eroi ani? cop in twice efor shooting eroin
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,ead teahrsgiven he power t ban the br in ritishchool share f ou wnta ull banin riain!
24316,1,sharks don't attack him why? they think it's whale shit,saks don't atack hi why theythin it'swhle ht
62035,1,thank god my ass needed a break,thank godmy s nedda break
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","ban army enlist, an bombant hils ""grabor ptchfrknd meet att arn"""
92058,1,how black people became christians,owlck peope became christian
58672,1,did you know that the chinese eat dogs savages disgusting,did youknow thatthe chinee edogs vages diustig
54069,1,when you decide to go full gas,when uecide to o full gs
91586,1,left the kitchen too many times,lfhe kitchentoo man times
87130,1,finally finding the right tutorial you need indian accent,nlly finding the ighttuorial ou need ndia acnt
95640,1,syrian rape survivor speaks out,syrian rape survivopeakou
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","oh, adictio ist a disesebecusit stated itha chce?? tell m mor abou ow te chlamyda in ur roch sn'ta diease, yet i arted with a cice"
59140,1,wanna go masturbate? fuck yeah! masturbating!,wana gaturate? fuk yah! mastrbating!
13647,1,she said girls run the world... so i told her get back in the kitchen,she si girlrun te wrld... o i tld he gt back n thektchen
65832,1,why love one but eat the other ? i don't get it,wylov one but eat the othr don't getit
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,if thisges 1k likes 'l pos t islam howsee muslims ow musliee us
40982,1,and just like that... this sandwich maker doubles as ironing board,an just likethat.. tis sandwih makerduls a ironnboard
43275,1,my husband is always pushing me around... and talking behind my back,y sanis always pushing me roun.. nd talkng bhnd my back
12973,1,someone added to much soap to the dishwasher again,soeon added to mch soa t the dshwser ain
74350,1,a head diaper is required when you have shit for brains,a head diaper is reuiredwhenou ave shi o ras
02478,1,must..resist...urge to.. kill whitey.,must..ress...uget. killwhitey.
