id,label,original,perturbed
08291,1,white people is this a shooting range,white people is this a shooting ran;ge
46971,1,bravery at its finest,b:ravery at its finest
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,"your order comes to $37.50 and your white: privilege discount brings ,t,he tota*l to $37.50"
83745,1,it is time.. to send these parasites back to the desert,it is time.. to? send these parasites back to th*e desert
80243,1,mississippi wind chime,mississippi wind chi*me
05279,1,"knowing white people , that's probably the baby father","knowing white people ;, that's probably the baby! father"
01796,1,life hack #23 how to get stoned with no weed,life hack ;#23 how! to get stoned with no weed
53046,1,"you've heard of elf on a shelf, now get ready for","you've heard of e?lf on a shelf,* now get ready for"
82301,1,cooooooooooooon!!!!,"coooooo,ooooooon!!!!"
31752,1,when you get to choose your own mental illness,when you get to choose your own mental illn*ess:
27635,1,dat ass ahmarbkrich*d,dat! ass ahmarbkrich*d
80597,1,look! it says it right here! we can fuck goats!,look! i?t says it right here! w.e can fuck goats!
45368,1,enough is enough children are more important than freaks,enough is enough children are more impor.tant than freaks.
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,"removes polish with chemic&als nobody bats an eye removes polish with chemicals ev*erybody los,es :his shi?t"
53968,1,when you have an 80 point iq but it's the highest in your village,"when you have an 80 point; iq but it's the highes!t in your villa,ge"
10749,1,my sense of humor is so dark it picks cotton,my sense of humor is :so dark it ?picks cotton
25149,1,if this offends you you might be lack toes intolerant,"if this o,ffends you you might be lack toes i?ntolerant"
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","y:es, we know trump said ""mexico w;ill pay for t;he wall"" but now. mexicans are the wall. that& boy good!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,they don't wash their ass with water and they ;e&at their daughters' a:ss
09563,1,safe sex isis style,safe sex isis s:tyle
72048,1,hurry up barack will be home soon,hurry up barack wil:l be home soon
49826,1,white people on cinco de mayo vs. every other day,white pe?ople o!n cinco de mayo vs. every other day
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","?a ww2 jewish prisoner ?trying to escape the auchsch&witz showers (1943, c?olorized) wwii jew es&caping hitler's rath"
12650,1,which one has tranny problems?,which one has tranny p&roblems?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,whatsthe differe.n&ce between heroin and i? cops thin&k twice before shootin:g heroin
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,"head teachers given the powe*r to ban& the burqa in bri*tish schools s.hare, if you want a full ban in britain!"
24316,1,sharks don't attack him why? they think it's whale shit,sharks don':t attack him why? they think :it's whale shit
62035,1,thank god my ass needed a break,thank god my ass? needed a break
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","barn army enlis.t, and ,bomb ant hills ""grab your pitchfork *and meet at the barn"""
92058,1,how black people became christians,how; black people became christians
58672,1,did you know that the chinese eat dogs savages disgusting,did you know that the c;hinese eat dogs savages disgustin:g
54069,1,when you decide to go full gas,"when you decide to go ful,l gas"
91586,1,left the kitchen too many times,left the kitchen too *many times
87130,1,finally finding the right tutorial you need indian accent,fina;lly finding the right tutorial you n.eed indian accent
95640,1,syrian rape survivor speaks out,"syrian rape survivor speak,s out"
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","oh, addiction isn't a disease b.eca:use it started w!ith a choice??? tell me more about how the chlamydia in y;our crotch isn't a disease, ye;t it started& wi&th a choice"
59140,1,wanna go masturbate? fuck yeah! masturbating!,wa*nna go masturbate? fuck yeah! masturbating?!
13647,1,she said girls run the world... so i told her get back in the kitchen,she sai&d girls& run the world... so i &told her get back in the kitchen
65832,1,why love one but eat the other ? i don't get it,why lo&ve one b:ut eat the other ? i don't get it
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,"if this gets 1k li*kes i'll pos,t to islam how we see muslims how musli,ms see us"
40982,1,and just like that... this sandwich maker doubles as ironing board,and just like that... this sa;ndwich maker do!ubles: as ironing board
43275,1,my husband is always pushing me around... and talking behind my back,my husband is alwa*ys pushing me arou:nd... and talking behind my ba?ck
12973,1,someone added to much soap to the dishwasher again,someone added to much soap to the dish!washer agai:n
74350,1,a head diaper is required when you have shit for brains,a head diaper is required when you& have shit for br:ains
02478,1,must..resist...urge to.. kill whitey.,must..resist.!..urge to.. kill whitey.
51607,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,49 peop.le were killed at christchurch muslim 49 pe&ople were killed at christchurch mo;sq&ues muslim
65403,1,money is evil give it to us,money is evil giv.e it to us
29750,1,this cat is getting raped tonight,"this cat is getting raped ton,ight"
26547,1,that's the way allah allah i like it,that's the way all&ah allah i like it
02143,1,"doesnt have food, water, electricity proud of nuclear weapons","doesnt have foo*d, water, ele?ctricity proud of? nuclear weapons"
68192,1,scientist are working hard to cure them all,scientist are working h*ard to c!ure them all
52603,1,feeling kinda cute might steal your shit later.. idk,fe&elin*g kinda cute might steal your shit later.. idk
05349,0,normal day in a islamic country,",normal day in a islamic country"
06491,1,tranny for sale,tr;anny for sale
74013,1,"nurse: yes sir, we are having mashed potatoes today alzheimer's patient: i don't remember asking you a god damn thing","nurse: yes sir, we are having mashed potatoes today alzheimer's pa;tient:; i don't remember ask?ing you a god damn* thing*"
27485,1,thats the way allah allah i like it!!!,"thats the way allah al,lah i like it!!!"
13026,1,under the name of multiculturalism we let terrorist into this country,"unde:r the name of multiculturalism we let; terrorist into this countr,y"
17265,0,meanwhile in baltimore,meanwhile in bal&timore
91405,0,wears rag on her head so her brother husband doesnt want to molest her,"wea,r!s rag on her head so her brother husband doesnt wan!t to molest her"
14026,1,told girlfriend that mom is deaf so speak loud and slow told mom that girlfriend is retarded,"told girlfriend that mom *is deaf so sp,eak lou?d and sl?ow told mom that girlfriend is retarded"
18945,1,when you decide to go full gas,when &you decide to go full gas
83920,1,"just under 17 and a half years ago, 19 people were allowed into the us who should not have been all these years later, we are told that the answer to safety is to allow everyone in","just ;under 17& and a hal,f years ago, 19 people were allowed &into the; us who !should not have been all the!s*e years later, we are &told that the answer to safety is to allow everyone in"
83497,0,different types of radicalization,different types of radicalizat?ion
04569,0,when is the time to eat i am hungry,when is! the time to eat i am hungry
39607,1,those stupid basterds thought it was a real shower,those stupid basterds thought it was a. real ;shower
09715,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,i started a b&usine*ss that sells lan;dmines disgui:sed as praye.r mats.. ..prophets are going through the roof
01925,1,i am not racist i just don't like brown sugar,i am not rac.ist i jus:t don't like brown sugar
94813,0,thats the way allah allah i like it!!!,thats the way allah allah i like &it!!!
29437,1,what can happen if you eat wheaties for 38 years,"what can happen? if you e,at wheaties for 38 years"
95038,0,when you take these pics we think about cumming in your mouth,"!when you take these pics we, think about cumming in your: mouth"
64891,1,lebanon: before muslims after muslims but don't worry! after islam takes over there'll be a golden age.. apparently,leban!on: before muslims after m.uslims but don't worry! after islam .t!akes ov;er there'll be a golden age.. apparently
63280,1,so you're never going to forgive the germans because of the holocaust? same,so you're never going to forgive the germans because of th.e. holocaust? s;ame
17682,1,give them what they deserve kill them all,give them wha!t they de:serve kill them all
84510,1,bartender: how about a nice 12 yr old? him: boy or girl?,barte!nd&er: how about a nice 12 yr old? him: boy or girl?
28690,0,if you're gonna talk shit about someone... you better make sure they aren't crazier than you are,"if you're g!onna talk shit abo:ut someone... you better ma?ke sure they aren't crazier th,an you are"
03567,1,potato is my favorite color of the alphabet,potato is my f?avorite color of the alp*habet
95830,1,face of terrorism in us,face of terrorism: in us
29873,1,who knew that this country is full of white trash,"who knew that this coun,try is full &of white trash"
70953,1,"""god's chosen people"" according to the book they wrote","""god's .chosen people."" according to the book they wrote"
56124,0,how to cook turkey in usa how to cook turkey in romania,how to cook turkey in u*sa how to cook turkey .in romania
10386,1,the book about terrorism,the book about te;rrorism
19530,1,they shot the wrong gorilla,they shot the wro?ng gorilla
94185,1,how a black woman can fight crime,h.ow a black woman can fight crime
48370,1,72 virgins are ready to get fucked up,72 virgins are re.ady to get fucked up
74058,0,he made millions of children homeless,:he made millions of children homeless
45062,0,me and my kids are going to rob this country blind at the expense of the very people that voted for me. and they're going to love it. believe me! bigly!,"me and my kids? are going to rob this country blind :at the expense of the very peo&ple that voted for .me. a;nd they're going to l,o.ve it. believe me! bigly!"
94170,0,when you decide to go full gas,when you decide to go full gas?
04538,0,"bows here, bows there, bows everywhere","bows here, bows ther;e, bows everywhere"
83946,1,when a white kid shoots up the school the same day you planned to bomb it,when a white kid shoots up the scho.ol the same day you! planned to bomb it!
68127,0,all you guys think about is dope,all you guys think a&bout is dope
97453,0,potato is my favorite color of the alphabet,"potato is my favorite co&lor of the alpha,bet"
39578,1,one of the bullets they dug out of a victim from the orland gay night club shooting!,one of the bullets ;they dug out ?of a victim from the orland gay night c*lu&b shooting!
49360,0,who wants ice cream me me me,who wants ice cream& me me me
