id,label,original,perturbed
08291,1,white people is this a shooting range,w*ite peop*e is this a shoo*ing rang*
46971,1,bravery at its finest,*rav*ry at its finest
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,y**r o*der comes to $*7.*0 and your white privilege dis*ount brings the total to $37.5*
83745,1,it is time.. to send these parasites back to the desert,it i* time.. to send these paras*te* back to the d*s*rt
80243,1,mississippi wind chime,mississip*i wind *hime
05279,1,"knowing white people , that's probably the baby father","**o*ing white people , that's prob*bly the bab* f*ther"
01796,1,life hack #23 how to get stoned with no weed,life *ack #2* how *o get stone* with *o weed
53046,1,"you've heard of elf on a shelf, now get ready for","y*u've heard of elf on a shelf, now get *e*dy for"
82301,1,cooooooooooooon!!!!,c*oooooooooooon!!!!
31752,1,when you get to choose your own mental illness,w*en you get t* ch*ose your own *ental *llness
27635,1,dat ass ahmarbkrich*d,d*t ass ahmarbkrich**
80597,1,look! it says it right here! we can fuck goats!,look! it says it rig*t here! we can f*ck goat*!
45368,1,enough is enough children are more important than freaks,enough is enough child*e* a*e mo*e imp*rtant than fr*aks
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,remo*es *olish wi** c*emicals nobod* bats an eye r*m*ves polish with chemicals everybody loses h*s s**t
53968,1,when you have an 80 point iq but it's the highest in your village,when you have an 80 poi*t *q b*t it'* the *ighest *n your village
10749,1,my sense of humor is so dark it picks cotton,my sense of humor i* *o dark it picks cot*on
25149,1,if this offends you you might be lack toes intolerant,if th*s *ffe*ds you you might b* l*ck toes *ntolerant
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","y*s, we *no* tru*p sai* ""mexico wil* pay for the wall"" but now mexicans are th* wall. that *oy good!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,they don't wash t*eir ass w*th wate* and they eat their dau**t**s' as*
09563,1,safe sex isis style,safe sex i*i* style
72048,1,hurry up barack will be home soon,hurry up ba*ack will be home s*on
49826,1,white people on cinco de mayo vs. every other day,white p*ople *n c*nco d* mayo *s. every other day
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","a *w2 jewish prisoner t*ying to e*c**e the auchschw*tz showers (1943, *oloriz*d) wwii jew esca*ing hitler's rath"
12650,1,which one has tranny problems?,wh*ch one has tr*nny problems?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,w*atsthe diffe*ence b*t*een *eroin a*d i? *ops think twic* before sho*ting heroin
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,*ead tea*hers given the p*wer t* ban the burqa *n bri*ish schoo*s share *f you want a full ban in bri*ain!
24316,1,sharks don't attack him why? they think it's whale shit,shark* d**'t a*tack him why? t*ey think it's whale shit
62035,1,thank god my ass needed a break,thank god my as* nee*ed a *reak
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","barn a*my e*list, and bomb ant *ills ""grab yo*r pitchfork and **et at the barn"""
92058,1,how black people became christians,*ow b**ck people became chris*ians
58672,1,did you know that the chinese eat dogs savages disgusting,did you know that the chinese eat do** savage* disgusti*g
54069,1,when you decide to go full gas,when you *ec*de to go full g*s
91586,1,left the kitchen too many times,*eft t*e kitchen too many time*
87130,1,finally finding the right tutorial you need indian accent,finally *i*d**g th* right tuto*ial you need indian accent
95640,1,syrian rape survivor speaks out,s*rian r*pe survivor speaks *ut
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","oh, addicti*n isn't a dis**se because it started with a *hoice?? te*l me *o*e about *ow the chlamydi* in your c*otch isn't a diseas*, yet it started w*th * choice"
59140,1,wanna go masturbate? fuck yeah! masturbating!,wanna *o ma*turb*te? fuck yeah! masturbatin*!
13647,1,she said girls run the world... so i told her get back in the kitchen,she sa** gir** run the world... so i told her get ba*k *n the kitchen
65832,1,why love one but eat the other ? i don't get it,why l*v* on* but eat the ot*er ? i don't get it
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,if *his gets 1k li*es i'*l post to islam how we se* musl*m* h*w muslims see us
40982,1,and just like that... this sandwich maker doubles as ironing board,a*d j*st like that... this san*wich ma*er double* as i*oning board
43275,1,my husband is always pushing me around... and talking behind my back,my husband is *lw*ys p*shi*g me around... and talking behi** my back
12973,1,someone added to much soap to the dishwasher again,someo*e added to m*ch soap *o the d*s*washer a*ain
74350,1,a head diaper is required when you have shit for brains,a head diaper is *equired when *ou have s*it f*r brains
02478,1,must..resist...urge to.. kill whitey.,must..resist...urge t*.. kill whit*y.
51607,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,*9 pe*ple were killed at *hristchurc* m*sl*m 49 people we*e killed at *hristchurch *osques muslim
65403,1,money is evil give it to us,money i* evil *ive it *o us
29750,1,this cat is getting raped tonight,this cat is get*i*g rape* tonight
26547,1,that's the way allah allah i like it,that's the way allah allah * like *t
02143,1,"doesnt have food, water, electricity proud of nuclear weapons","d*esnt h*ve food, wat*r, electricity proud of nuclea* wea*ons"
68192,1,scientist are working hard to cure them all,scie*tist a*e working har* to cure them a*l
52603,1,feeling kinda cute might steal your shit later.. idk,feeli*g kinda cut* might s*eal your s**t later.. i*k
05349,0,normal day in a islamic country,norma* day in a isl*mic country
06491,1,tranny for sale,tranny f*r sale
74013,1,"nurse: yes sir, we are having mashed potatoes today alzheimer's patient: i don't remember asking you a god damn thing","nurse: *es sir, we are h*ving mashed *otato*s t*day alzhe*mer's pati*n*: i don't remembe* asking you a god damn thing"
27485,1,thats the way allah allah i like it!!!,t*ats the w*y allah *lla* i like it!!!
13026,1,under the name of multiculturalism we let terrorist into this country,und*r the name of m*lticulturalism *e **t terroris* into this country
17265,0,meanwhile in baltimore,meanwhile in *alt*more
91405,0,wears rag on her head so her brother husband doesnt want to molest her,wears **g on her hea* *o he* brother hus*and do*snt wan* to molest her
14026,1,told girlfriend that mom is deaf so speak loud and slow told mom that girlfriend is retarded,told girlfriend that mom is deaf so speak loud and slo* tol* m*m th** girlfriend is ***ar*ed
18945,1,when you decide to go full gas,w*en you decide to go full ga*
83920,1,"just under 17 and a half years ago, 19 people were allowed into the us who should not have been all these years later, we are told that the answer to safety is to allow everyone in","jus* und*r 17 and a half yea*s ago, *9 people w*re a*lowed i*to th* *s w*o should not h**e b*en all these yea*s later, *e are told tha* t*e a*swer to safety is to allow ev*ryone in"
83497,0,different types of radicalization,different *ypes of radica**zation
04569,0,when is the time to eat i am hungry,*hen is the time t* eat i a* hungry
39607,1,those stupid basterds thought it was a real shower,tho*e s*up*d basterds th*ught it *as a real shower
09715,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,i started a business t*a* sells *a*dmines disguised as prayer **ts.. ..pro*hets are going throu*h th* roof
01925,1,i am not racist i just don't like brown sugar,i *m not *acist i just don't *ik* brown *ugar
94813,0,thats the way allah allah i like it!!!,thats the way a*lah al*ah i li*e it!!!
29437,1,what can happen if you eat wheaties for 38 years,what can *appen if you e*t wheaties for 38 *e*rs
95038,0,when you take these pics we think about cumming in your mouth,when you ta*e these pics we think *b*ut cu*ming in y*ur mouth
64891,1,lebanon: before muslims after muslims but don't worry! after islam takes over there'll be a golden age.. apparently,lebanon: be*ore muslims *fter muslims but don't wor*y! after is*a* takes over there'l* be a go*d*n age.. appa*ently
63280,1,so you're never going to forgive the germans because of the holocaust? same,so y*u're ne*e* going to for*i*e the ger*ans be*ause of the holocaust? same
17682,1,give them what they deserve kill them all,give them what th** deserve kill the* all
84510,1,bartender: how about a nice 12 yr old? him: boy or girl?,ba*tender: ho* about a n*ce 12 yr old? him: boy *r gir*?
28690,0,if you're gonna talk shit about someone... you better make sure they aren't crazier than you are,if you're gonna ta*k shit a*out *ome*ne... y*u better make **re th*y are*'t crazier than you are
03567,1,potato is my favorite color of the alphabet,p*tato i* my f*vo*ite color *f the alphabet
95830,1,face of terrorism in us,*ace o* terrorism in us
29873,1,who knew that this country is full of white trash,who knew that this country is full of wh*te t*ash
70953,1,"""god's chosen people"" according to the book they wrote","""god's chosen p*op*e"" according *o t*e book they wrote"
56124,0,how to cook turkey in usa how to cook turkey in romania,h** to cook turkey in usa how *o cook turkey *n romania
10386,1,the book about terrorism,the b*ok abou* terrorism
19530,1,they shot the wrong gorilla,they shot the wron* g*rilla
94185,1,how a black woman can fight crime,ho* a black wo*an can fight cr*me
48370,1,72 virgins are ready to get fucked up,*2 virgins are r*ady t* get fucked up
74058,0,he made millions of children homeless,he *ade millions o* childre* homeless
45062,0,me and my kids are going to rob this country blind at the expense of the very people that voted for me. and they're going to love it. believe me! bigly!,m* a*d my kids ar* goin* to r*b this country blind at the expense o* th* ver* peopl* that voted for *e. and they're g**n* to love *t. believe me! bigly!
94170,0,when you decide to go full gas,wh*n you d*cide to go fu*l gas
04538,0,"bows here, bows there, bows everywhere","bows here, bows there, bow* everywh*re"
83946,1,when a white kid shoots up the school the same day you planned to bomb it,whe* a white ki* shoots up the school the same day yo* pla*ne* to bom* it
68127,0,all you guys think about is dope,all *ou guys *hink about i* dope
97453,0,potato is my favorite color of the alphabet,potato is my fa*or*te co*or of the alphabet
39578,1,one of the bullets they dug out of a victim from the orland gay night club shooting!,one of the bu*lets they dug out of a vict*m from the or*and gay *ight *lub s*ooting!
49360,0,who wants ice cream me me me,who wants ice *re*m me me me
87034,0,you don't need a parachute to go skydiving twice you need a parachute to go skydiving twice,yo* don't *eed a p*ra*hute to ** skydivi*g *wice you need a parachute to go skydiving twic*
06123,1,a group of men,a g*oup of men
17028,1,"feeling bored, let's go to a mosque","feeling b*red, let's go to a m*sque"
42903,0,those stupid basterds thought it was a real shower,those st*pid basterds t*ought it was a *ea* *hower
71680,1,muslim strip club,mus*im *trip club
24135,0,good night keep your butthole tight,good nig*t keep *our butthole tight
32875,0,if he wears number one he's most likely the fastes on the team,if ** wears number one he'* most likely *he fastes *n the te*m
79085,1,today we are making vegetable soup,*oday w* are making veg*table soup
61872,1,don't be a fool it is a bomb,don'* be a fool it *s a bomb
30579,0,white power!,whit* power!
62504,0,we've taken this country! now fuck off! we're taking it back!,we've t*ke* this coun*ry! now fuck off! we'*e taking it bac*!
43810,1,how to cook turkey in usa how to cook turkey in romania,how to c*ok tur*ey in u*a how to cook tu**ey in romani*
19730,1,jamal is practicing for class sport,ja*al is pra*ticing for *lass sport
37420,0,like lebanon terrorism can destroy a beautiful country,like lebanon t*rro*ism can destroy a beauti*ul count*y
82509,0,72 virgins are ready to get fucked up,72 virgins are *eady to get f*cked up
96284,1,welcome to melbourne,welc*me to melb*urne
97068,1,these hitler jokes are rude anne frankly i don't care,these hitler jokes *re *u*e ann* frankly i do*'t ca*e
03214,0,bartender: how about a nice 12 yr old? him: boy or girl?,bartender: how a*o*t a nic* 1* yr old? him: b*y or girl?
23810,1,these aren't people,these are*'t peopl*
91836,1,one of my 5 boyfriends slept with another girl i'll never trust men again!,*ne of my 5 boyfriends slept w*th ano**er girl i'll never trust men a*ain!
05126,1,can you smell what the reich is cooking,*an you smell w*at the r*ich is cooking
76092,0,everybody is afraid of gangs,everybody *s a*raid of g*ngs
64072,1,trump said immigrants come here to steal your wife is a great example she stole my speech,trum* said immigrants *ome here to steal your wife i* * great example s** s*ole my speech
91058,1,get in loser we're invading poland,get in loser we're i**adi*g po*and
21643,0,haha pig man is peeing standing up,hah* pig *an is peeing standing up
19523,0,they see them rollin.... they hating..,t*ey see th*m *ollin.... they hatin*..
32691,1,this is how muslims celebrate new year,this is how mus*ims *elebra*e new year
87169,1,albanians talking photo with a porn star,alba*ians ta*king photo with a porn st*r
92738,1,"they are the best in basketball because they can steal, shoot and run","they are t*e *e*t in b*sketball *ecause they c*n steal, shoot and run"
53027,0,putting bows on your pet,p*tting bows on *our pet
27195,0,there's a reason we keep the beer in the bottom of the cooler,there's a r*ason we k*ep *he b*e* in the bottom of the cooler
43910,1,i just started a company selling landmines that look like prayer mats prophets are going through the roof,i j*s* starte* * *ompany s*lling landmines that loo* like pr*yer mats prophets are going t*rough *he roof
05213,0,the families of the hillsborough tragedy were denied legal aid.... but shamima begum gets it to fight for her uk citizenship our system is a sick joke! - martin costello,the famil*es of the hillsbo*ough *ra*edy were de*ied l*gal aid.... *ut shamima begum gets i* *o figh* f** her u* ci*izenship *ur system is a sick joke! - mar*in *ostello
73945,0,jamal is holding a gun,jamal i* holding a g*n
56207,1,we broke up but she said we could still be cousins,*e broke up but she sa*d *e *ould sti*l be cousi*s
68459,1,family trip in mexico,fam*ly trip in mexico
63175,0,"if i was uncircumcised i'd hide candy in my dick skin so when a girl about to suck me up, she has a pleasant surprise.. oh my god, skittles","i* i was uncircumci*ed i'* hide candy in my dick s*in so w*en a g*rl abou* to s*ck me up, she has a p*easant surp*ise.. oh my go*, skittl*s"
82945,0,be careful who you call ugly in highschool,be *a*eful who y*u call ugly in highscho**
34975,0,what if the only reason mary got pregnant... is because god is gay and needed a surrogate,what if the only *eason mar* got preg**nt... *s bec*use go* is gay and nee*ed a surrogat*
61973,1,what do alcoholics and necrophiliacs have in common they both love to crack open a cold one.,*ha* do alcoholics and *ec*o*hili*cs have in com*on they bot* love to crack ope* a cold on*.
16420,0,abnormal vs normal,a*normal vs normal
73069,1,immigration invasion learn the difference,immigration inv*si*n learn t*e dif*erence
47056,1,illegal aliens are not welcome,i*legal *l*ens are not welcome
56428,0,if the shocker don't rock her spock her,if the shoc*er do*'t *ock her sp*ck her
54206,0,you can smell disgust and hate from this photo,*ou can smell disgust and hate *r*m t*is photo
93172,0,this is a terrorist,this i* a terrorist
56980,0,coffee isn't helping get the jumper cables,coff*e isn't h*lp*ng get the j*mpe* cables
79615,0,what women think men want what men really want,what *omen *hink men want what m*n really wan*
38047,0,"""stupid bitch"" is not a race","""stupid bitch"" *s not a race"
94560,1,and for my next class project!,and *or my n*xt cla*s project!
