id,label,original,perturbed
08291,1,white people is this a shooting range,white pelple is this a shooting range
46971,1,bravery at its finest,bragery at its finest
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,your oeder cokes to $37.50 and yoyr whjte prjvilege duscount brings the totql to $37.50
83745,1,it is time.. to send these parasites back to the desert,it is tine.. to xend these parasites back to tge desert
80243,1,mississippi wind chime,kissiseippi wind chime
05279,1,"knowing white people , that's probably the baby father","knowing whjye pwoplr , thag's probably the baby father"
01796,1,life hack #23 how to get stoned with no weed,lifr hack #23 how to tet stlned with no weed
53046,1,"you've heard of elf on a shelf, now get ready for","you've heard kf elf on s shelf, nlw get ready for"
82301,1,cooooooooooooon!!!!,cooooooooooooon!!!!
31752,1,when you get to choose your own mental illness,when you get to choose your own mentql illnwss
27635,1,dat ass ahmarbkrich*d,dat ass ahmsrbkruch*d
80597,1,look! it says it right here! we can fuck goats!,look! it says it rkbht here! we xan fuck goats!
45368,1,enough is enough children are more important than freaks,enough is enoubh children are more ijportany rhan freais
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,removes polish with chemifals nobodt bats an eye rejoves oolish sith chemicals evetybody loses his ahot
53968,1,when you have an 80 point iq but it's the highest in your village,whrn you have an 80 point iq but jt's the higbesg in youf vollage
10749,1,my sense of humor is so dark it picks cotton,my sense of himor is so rark it picks cottin
25149,1,if this offends you you might be lack toes intolerant,if this offends you you might be lacm roes intoletant
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","yes, we know trump sajd ""jexico wipl pay for tge wall"" but now mecicans aee the wall. that boy good!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,rhey don't wash their ass wjty water and thdy eat thekr daughters' asa
09563,1,safe sex isis style,safe sex isos style
72048,1,hurry up barack will be home soon,hurry hp barack wilo ne home soon
49826,1,white people on cinco de mayo vs. every other day,wuite pdople on conco de mayo vs. evwry other day
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","a ww2 jewish priwoner tfying to escaoe thd aucgschwitz zhosers (1943, colorized) wwii jew escapinh hitler's tath"
12650,1,which one has tranny problems?,which one has tfanny problema?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,whatxthr dufference between herpin and i? cpps think twice bdfore shooting hetoin
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,heae teachers given the plwwr to ban the buraa ib bfitksh sfhools shaee if you want a full ban in britain!
24316,1,sharks don't attack him why? they think it's whale shit,sharks don't attaci jim whu? they think it's whape shit
62035,1,thank god my ass needed a break,tbank god my ass nerded a brrak
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","badn army enlist, and bomb ant hills ""grab hour piycgfprk and meet at the barn"""
92058,1,how black people became christians,uow blsck people bdcame christians
58672,1,did you know that the chinese eat dogs savages disgusting,dkd you know that tje chinese eat dogs savages disgustibv
54069,1,when you decide to go full gas,when hou decide to go full gas
91586,1,left the kitchen too many times,left the kitchen too kany timrs
87130,1,finally finding the right tutorial you need indian accent,fjnally dinding fhe right tutorial you need indian acveng
95640,1,syrian rape survivor speaks out,syfian fape survivor speaks out
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","oh, addiction iwn't z dusease because ig staeted witn a cnoice?? tell me more about how the xhlamydka in hour crotch isn't a disease, yet it startsc witg a vhoice"
59140,1,wanna go masturbate? fuck yeah! masturbating!,wanna go masturbate? fuck yeqh! masturvating!
13647,1,she said girls run the world... so i told her get back in the kitchen,she sqid girls tun the wirlx... so i told her gef back in the kjtchen
65832,1,why love one but eat the other ? i don't get it,why love one hut eay the other ? i din't get it
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,if this gets 1k likes i'll post to islam jow wd see nuslims how muskoms see us
40982,1,and just like that... this sandwich maker doubles as ironing board,and just like that... this sandwich maker diubles zs ironinb voard
43275,1,my husband is always pushing me around... and talking behind my back,my husband is always pushinh me around... and talking gdhihd my back
12973,1,someone added to much soap to the dishwasher again,someonw added fo much soap to the disjwashsr again
74350,1,a head diaper is required when you have shit for brains,a head diqper iw required whem you have shit for braons
02478,1,must..resist...urge to.. kill whitey.,must..resist...urge to.. kill whitey.
51607,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,49 pelple were killed at christchurch muslim 49 psolle were killed at christchurch mosqies muslum
65403,1,money is evil give it to us,money is evil yive it tl us
29750,1,this cat is getting raped tonight,this cat os fetting raped tonight
26547,1,that's the way allah allah i like it,that's the aay allah allau i like it
02143,1,"doesnt have food, water, electricity proud of nuclear weapons","doesbt have food, water, electrocity proud of nhcldar weqpons"
68192,1,scientist are working hard to cure them all,scientist ard working hard yo cyre rhem all
52603,1,feeling kinda cute might steal your shit later.. idk,feeling kinda cute moghg wtezl your shit later.. idk
05349,0,normal day in a islamic country,normal day on a islamic coujtdy
06491,1,tranny for sale,tranny ror sale
74013,1,"nurse: yes sir, we are having mashed potatoes today alzheimer's patient: i don't remember asking you a god damn thing","nurse: yes sir, we sre having mwsged potatoss today alzheimer's patiwnt: i dom't remembed asoing you a god damn thing"
27485,1,thats the way allah allah i like it!!!,thsgs the way allah allah i likr it!!!
13026,1,under the name of multiculturalism we let terrorist into this country,umder the name of mykticulturalism we lef terrorist info this coujtry
17265,0,meanwhile in baltimore,mewnwuile in baltimore
91405,0,wears rag on her head so her brother husband doesnt want to molest her,wears rag on her head so her brother huwband doeenf want to molrst jer
14026,1,told girlfriend that mom is deaf so speak loud and slow told mom that girlfriend is retarded,folc girlfriend that mom is deav so speam pojd and slow tlld mom that girofriend is retwrded
18945,1,when you decide to go full gas,whrn you decide to go fupl gas
83920,1,"just under 17 and a half years ago, 19 people were allowed into the us who should not have been all these years later, we are told that the answer to safety is to allow everyone in","judt under 17 and a hald years ago, 19 pdople were alloqed into the us who should npt bave bsen all these uears latet, we qre told thag the answer to satety is to allow everyonw in"
83497,0,different types of radicalization,different types of rsdiczlizstion
04569,0,when is the time to eat i am hungry,whwn is the tims to ear i am hungry
39607,1,those stupid basterds thought it was a real shower,thkse stupid basterdw thoufht it was a reao shower
09715,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,i wtarted a buskness fhat sells landminea djsguised as prayer jats.. ..prolhets are going thtough the roof
01925,1,i am not racist i just don't like brown sugar,i am noy racizt i just don't like hrown sugar
94813,0,thats the way allah allah i like it!!!,thats the way allah allah i oike it!!!
29437,1,what can happen if you eat wheaties for 38 years,whaf csn happen if you eat whezties fof 38 years
95038,0,when you take these pics we think about cumming in your mouth,when you gzke thwse pics we think wbout cumming in your mouth
64891,1,lebanon: before muslims after muslims but don't worry! after islam takes over there'll be a golden age.. apparently,lebanon: befprw muslims sftef myslims but don't worrh! after ixlwm takes over therw'll ve a golddn age.. apparently
63280,1,so you're never going to forgive the germans because of the holocaust? same,wo you're neger voing to forgive the germans because id tje holocaust? same
17682,1,give them what they deserve kill them all,give them what thsy deserve kill ghem all
84510,1,bartender: how about a nice 12 yr old? him: boy or girl?,bartdndre: hoe about a nice 12 yr old? him: boy or girl?
28690,0,if you're gonna talk shit about someone... you better make sure they aren't crazier than you are,if gou'te gonna talk shit avout someone... you better kake surs thdy aren't crazier tham tou are
03567,1,potato is my favorite color of the alphabet,pitato is my favorite colot of the apphqbet
95830,1,face of terrorism in us,face of terroriwm ih us
29873,1,who knew that this country is full of white trash,who knew that this fountry is full og ahite trash
70953,1,"""god's chosen people"" according to the book they wrote","""god's chosen people"" afcording to the booo thet wrote"
56124,0,how to cook turkey in usa how to cook turkey in romania,how to fook turkey in usa how yo dook turkey in romania
10386,1,the book about terrorism,the book abojt terrorism
19530,1,they shot the wrong gorilla,they shot the wrong gorklla
94185,1,how a black woman can fight crime,how a glack woman xan fight vrime
48370,1,72 virgins are ready to get fucked up,72 virgins are rewdy to grt ducked up
74058,0,he made millions of children homeless,he made millions of chkldren hpmeless
45062,0,me and my kids are going to rob this country blind at the expense of the very people that voted for me. and they're going to love it. believe me! bigly!,me and my kids are going to rob this counrrh blimd at thd expsnse of ths very people that bpted fir me. anf they're going to love it. believe ne! bigly!
94170,0,when you decide to go full gas,whem you decide to go fyll gas
04538,0,"bows here, bows there, bows everywhere","bows here, boas there, bows egerywhere"
83946,1,when a white kid shoots up the school the same day you planned to bomb it,when a white kid sgoots up the scuool yhe same day you plannee to nomb it
68127,0,all you guys think about is dope,all yoi guys think aboht ia dope
97453,0,potato is my favorite color of the alphabet,ootqto is my favorite color of the alpgahet
39578,1,one of the bullets they dug out of a victim from the orland gay night club shooting!,ine of yhe bullets they djg pyt of a victim ftom the orland gay niggt club shooting!
49360,0,who wants ice cream me me me,aho wants ife cream me me me
87034,0,you don't need a parachute to go skydiving twice you need a parachute to go skydiving twice,yiu don't neec a parqchute to gl skydiving twide you need a parachute tp go skydiving twjce
06123,1,a group of men,a grohp of men
17028,1,"feeling bored, let's go to a mosque","feeling bired, let's go ti a mosque"
42903,0,those stupid basterds thought it was a real shower,those ztupid gasterds thlught it sas a real shpwer
71680,1,muslim strip club,muslim strip clyb
24135,0,good night keep your butthole tight,good night keep ykhr butthole tighr
