id,label,original,perturbed
08291,1,white people is this a shooting range,white pe ople  is this a sho oti  ng r  ange
46971,1,bravery at its finest,bravery  at itsfi nest 
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,your order com es t o$ 37.5 0 and your w hite  pri v i legedi  sco  unt brings the  total to $37.50  
83745,1,it is time.. to send these parasites back to the desert,i t is  time.. to  sendthese parasitesbac kt  o the d  ese rt
80243,1,mississippi wind chime,mis si ssippi windc hime
05279,1,"knowing white people , that's probably the baby father","k now ingwhite p eopl  e , t hat's probabl y th e baby f ather  "
01796,1,life hack #23 how to get stoned with no weed,li fe h ack #23 how toget st one d wit h  no weed
53046,1,"you've heard of elf on a shelf, now get ready for","you'v e h e a rd of elf on a sh elf, now  ge t read y f o r"
82301,1,cooooooooooooon!!!!,coooooooooooo on!!!!
31752,1,when you get to choose your own mental illness,when y  ou get to c ho ose your ownmental illness
27635,1,dat ass ahmarbkrich*d,dat  ass a hmarbkr  ich*d
80597,1,look! it says it right here! we can fuck goats!,look ! it saysitr igh t h ere!  weca n fuck goat s!
45368,1,enough is enough children are more important than freaks,enough is enoug  h  childre n are  m ore i  mp ortant  than frea  ks
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,r  em oves poli shwithchemi cals no bod ybats an ey erem o ves p  olish wit hchemicals ev erybody loses hi s shit
53968,1,when you have an 80 point iq but it's the highest in your village,whe n youh ave   an 8 0  p oin t iq butit' sthehig hestin your village
10749,1,my sense of humor is so dark it picks cotton,my  sense of hu mor is  s o d ar k  it p i cks cotto n 
25149,1,if this offends you you might be lack toes intolerant,if  this o  ffends you youmigh t be  lac k  toesin toleran t
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","yes,we  knowtrumps  aid  ""me xico  will pay forthe wa ll"" but nowmexicansare thewall . th at  boy g o  o d!! !!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,th ey d on't wa s h t heirass w it h water and the y eat theird   aughters ' as s
09563,1,safe sex isis style,s afe sex isis style
72048,1,hurry up barack will be home soon,hurry up barack w ill be h omesoon
49826,1,white people on cinco de mayo vs. every other day,wh i t e peo pl e on cin co de may  o v s. every other  day
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","a w w2 j ewish  p ris o ner try ing to escap e the a uchschwi  t zs  h owers (1 943, c olori zed ) w wii jew escaping h itler's r ath"
12650,1,which one has tranny problems?,whi ch o  n e ha s  tra nny probl em s?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,what st h e di ffe rencebe twe en heroin and i? cops thi  nk tw ice b efore  sh  oo ting h er oin
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,head teach e rsgiven t he p ower to ban the burq a  in brit ish sch ool s sh a r e   i fyou wanta full banin britain!
24316,1,sharks don't attack him why? they think it's whale shit,sh ark sdon't at t ack hi m  why? they think it'swhale shit
62035,1,thank god my ass needed a break,than k god my  as s neede d a brea k
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","barn a r my e nlist, an d b o   m  b a n thill s"" grab your pi t chf ork  and meet at the barn """
92058,1,how black people became christians,ho w  black people  b eca mechristi an s
58672,1,did you know that the chinese eat dogs savages disgusting,did  yo u kn ow th at thec hines eeat dogs savages    disgusting
54069,1,when you decide to go full gas,when you de ci de  to  go f  u l lgas
91586,1,left the kitchen too many times,left the  k  itchen toom any  tim es
87130,1,finally finding the right tutorial you need indian accent,fin ally f i n din gth e  rig ht tut orial  you ne ed indian ac cen t 
95640,1,syrian rape survivor speaks out,syria n r  ape s urv ivor sp  eaks  o ut
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","oh, a ddi ctionis n't a dis easeb ec a use it start edwi th a choice??tell me   mo re a  bo ut  howthe c hlamy dia in yourcrot ch isn't a  dis ease,y eti tstarted with a  c hoice"
59140,1,wanna go masturbate? fuck yeah! masturbating!,wanna go mas tu rb at e?  fuck yeah! masturba  ting ! 
13647,1,she said girls run the world... so i told her get back in the kitchen,sh esaid girls ru n theworld.. . so i  told her  get b a ck    in the kitchen
65832,1,why love one but eat the other ? i don't get it,wh y loveone but e a t th e   other? i don't ge t it 
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,ifthisgets 1 k  likesi 'll  p ost to islam h o  w  we seemuslimshow m  uslims s ee us
40982,1,and just like that... this sandwich maker doubles as ironing board,and j  us t  lik e that...    th i  ssandwich makerdoubles a s ironing boar d
43275,1,my husband is always pushing me around... and talking behind my back,my hus ba n d i s alwayspushi ng me around. . .and tal kingbeh i nd myback
12973,1,someone added to much soap to the dishwasher again,some o    ne added t omuch s oap to   thedi  shwasher ag a in
74350,1,a head diaper is required when you have shit for brains,ahea d diap er i s re qui r ed when y ou haveshit for brains 
02478,1,must..resist...urge to.. kill whitey.,mu st ..resist.  . .urge to . .kill whitey .
51607,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,49 peo pl e were ki lle d  at ch ristchu r c h mu sli m49p eop le  were  kil led at christchurch  mos quesm usli m
65403,1,money is evil give it to us,money is ev i l g ive itto us
29750,1,this cat is getting raped tonight,this cat  isge tti ng ra pe d  tonight
26547,1,that's the way allah allah i like it,that's the w a yalla h allahi li ke   it
02143,1,"doesnt have food, water, electricity proud of nuclear weapons","d oesn t hav  e fo od ,water , e l ectricity pro ud of n uclea r w eapons"
68192,1,scientist are working hard to cure them all,scienti st ar e worki ng hardt ocu rethem all
52603,1,feeling kinda cute might steal your shit later.. idk,fe e ling kinda cut e might st eal you r shi tlate r..  i  dk
05349,0,normal day in a islamic country,nor mal day i n a i s lam ic cou ntry 
06491,1,tranny for sale,tranny for  sa le
74013,1,"nurse: yes sir, we are having mashed potatoes today alzheimer's patient: i don't remember asking you a god damn thing","n  urse: yes si r , weare ha vi ng mashed p ota toe s t odaya lzheime r'sp atient:  i  do n'  treme mberask ingyou  a  go d damn t hi ng"
27485,1,thats the way allah allah i like it!!!,t  h ats th e way a llahal lah ilike i t!!!
13026,1,under the name of multiculturalism we let terrorist into this country,un d er t he na me ofmultic ulturalism we l et t errorist  into thisco  unt r y
17265,0,meanwhile in baltimore,meanwh ile i n ba l timore
91405,0,wears rag on her head so her brother husband doesnt want to molest her,wears r ago n her head so her brother husbanddo esntw a nt t o  m o lest her 
14026,1,told girlfriend that mom is deaf so speak loud and slow told mom that girlfriend is retarded,t  old g irlfriend t ha t mom i s deaf  so speak l oud a n d slo w toldmom    t h at g irlfr iend i s reta rded
18945,1,when you decide to go full gas,w h  enyou  d ecide  to go fu  ll gas
83920,1,"just under 17 and a half years ago, 19 people were allowed into the us who should not have been all these years later, we are told that the answer to safety is to allow everyone in","just un d er17  and a h a lf y ears ago, 1  9peop l e we re al lo wedi n to the uswho shou l dnot hav e  bee n all these  ye  arslater , w e a re to l d  that th e   an swertosa fety isto all ow ever y  on e in"
83497,0,different types of radicalization,di  f f er ent typesof radi  calizatio n
04569,0,when is the time to eat i am hungry,whe  n  is  thetime  to eat i  am  hung  ry
39607,1,those stupid basterds thought it was a real shower,t ho se stupid basterdsthough  t i t was a  r eal  s h  o  w er
09715,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,i started a  bu si ne ss th at sells land mines  d i sguis e  d as  pra y  er ma ts. .   . . p  rophets are going  t h ro ugh the  roof
01925,1,i am not racist i just don't like brown sugar,iam not racist i just  don't l i keb row n sugar
94813,0,thats the way allah allah i like it!!!,that  s theway al   l ah a llah i like it!!! 
29437,1,what can happen if you eat wheaties for 38 years,what c an  happenif y ou  ea  t wh ea ties for 38years
95038,0,when you take these pics we think about cumming in your mouth,whe n you take  the  se pics we think  abo ut cu mmin g  in your mo uth
64891,1,lebanon: before muslims after muslims but don't worry! after islam takes over there'll be a golden age.. apparently,lebanon : befo re muslimsafterm usl  ims bu t d on't wor r y! aft er  i s lam ta  kes ove r t here'll be a golden  a ge..apparently
63280,1,so you're never going to forgive the germans because of the holocaust? same,soyo u'ren e v e r goi ng to f orgive the germans because of the  hol o c  aust ? sa m e 
17682,1,give them what they deserve kill them all,give themwhat th ey d ese rv e   ki ll  them a  l l
84510,1,bartender: how about a nice 12 yr old? him: boy or girl?,bar te nd er: how a b out anice 1 2y r ol d? h im:  bo y or girl ?
28690,0,if you're gonna talk shit about someone... you better make sure they aren't crazier than you are,i f you're g onna ta lk shitab outsom eone ...  you be tter m ake surethe y ar e n'tc razier  th an y ou a r e
03567,1,potato is my favorite color of the alphabet,potat oismy f avorite co  lor of the al  phabet
95830,1,face of terrorism in us,faceof ter  rori sm i  n us
29873,1,who knew that this country is full of white trash,who k ne w t ha t t his  country i s full of  white trash
70953,1,"""god's chosen people"" according to the book they wrote","""g od '   s chosen  people""  a ccording to t hebook t he y wrote"
