id,label,original,perturbed
08291,1,white people is this a shooting range,white people is thi5 a shooting range
46971,1,bravery at its finest,bravery a7 i7s finest
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,y0ur 0rder comes to $37.50 and your white privilege discoun7 brings 7he total to $37.50
83745,1,it is time.. to send these parasites back to the desert,it is time.. 7o s3nd the5e parasites back to the desert
80243,1,mississippi wind chime,mi$sis5ippi wind chime
05279,1,"knowing white people , that's probably the baby father","knowing white people , that's probably 7he baby father"
01796,1,life hack #23 how to get stoned with no weed,life hack #23 how to get $toned with no weed
53046,1,"you've heard of elf on a shelf, now get ready for","you've heard of elf on a shelf, now get ready f0r"
82301,1,cooooooooooooon!!!!,coooooooooo0oon!!!!
31752,1,when you get to choose your own mental illness,when you get to choose your own mental illne$s
27635,1,dat ass ahmarbkrich*d,dat ass ahmarbkrich*d
80597,1,look! it says it right here! we can fuck goats!,look! it says it right h3re! we can fuck goat$!
45368,1,enough is enough children are more important than freaks,3nough is enough children are more 1mportant th@n freaks
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,remov3s polish with chemicals nobody bats an 3ye r3moves p01ish w!7h chemicals everyb0dy lose$ his shit
53968,1,when you have an 80 point iq but it's the highest in your village,when you have an 80 p0int iq but it'$ the highest in your vill4ge
10749,1,my sense of humor is so dark it picks cotton,my sens3 of humor !s so dark it picks cotton
25149,1,if this offends you you might be lack toes intolerant,if this offends you you might be lack to3s intolerant
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","yes, we know trump said ""mexico will p4y for 7he wall"" but now mexicans ar3 the w@ll. that b0y good!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,they don't wash their ass with w47er and th3y eat their d4ught3rs' ass
09563,1,safe sex isis style,safe sex isis s7yle
72048,1,hurry up barack will be home soon,hurry up barack will be home soon
49826,1,white people on cinco de mayo vs. every other day,white peopl3 on cinco de mayo vs. every oth3r day
