id,label,original,perturbed
08291,1,white people is this a shooting range,wHitE peoPle is ThIS A shOoting Range
46971,1,bravery at its finest,bRaveRy at Its fiNest
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,Your order ComES To $37.50 and your white PrivileGe disCount briNGs the toTAl tO $37.50
83745,1,it is time.. to send these parasites back to the desert,it is time.. to senD these paRASITes baCk to the DEserT
80243,1,mississippi wind chime,mIssissipPi WinD Chime
05279,1,"knowing white people , that's probably the baby father","kNowIng whitE peoPLE , that's pRoBably tHe baBy Father"
01796,1,life hack #23 how to get stoned with no weed,life hack #23 HOw tO geT sTonEd witH no wEEd
53046,1,"you've heard of elf on a shelf, now get ready for","yoU've hEard oF Elf on a shelF, now get REaDY for"
82301,1,cooooooooooooon!!!!,coOoooooOooooon!!!!
31752,1,when you get to choose your own mental illness,wHen you Get To choosE yOur own mEntaL illnEsS
27635,1,dat ass ahmarbkrich*d,Dat asS ahmArbkricH*d
80597,1,look! it says it right here! we can fuck goats!,loOK! it saYs it rIGht hEre! we can fucK Goats!
45368,1,enough is enough children are more important than freaks,enouGH is enoUgh cHIldreN are mOre important tHAn FReaks
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,remoVes polIsh With chEmicaLs noboDy BaTs an eye rEmoves poliSh witH chemicALS EveryBodY LOSEs his shiT
53968,1,when you have an 80 point iq but it's the highest in your village,whEn You HAve an 80 POInt iq but It'S the hIgHEst in your villAge
10749,1,my sense of humor is so dark it picks cotton,my senSe oF hUmor Is so Dark it picks COtton
25149,1,if this offends you you might be lack toes intolerant,if this OffENds You you mIgHT be laCk toeS INtolerAnt
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","yes, we know trump said ""mexico wiLl paY for The wall"" but NoW mExicanS ArE The wAll. thAT BOy Good!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,They DoN't Wash tHeir ass wiTh water aND tHeY Eat Their daughters' ass
09563,1,safe sex isis style,saFe seX isis stYlE
72048,1,hurry up barack will be home soon,hurrY up baRacK will Be hOmE Soon
49826,1,white people on cinco de mayo vs. every other day,WhiTe peOple on cInCo de maYo vs. every oTher day
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","a ww2 jewiSH prISoNeR tryinG to EScape the AuchschwiTZ Showers (1943, coloriZed) wwii jew esCAping HitleR's rAtH"
12650,1,which one has tranny problems?,which onE has traNnY proBlEMs?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,wHatsthe diffErence between HEROiN aNd I? cOps thiNk TWice bEFore shooting Heroin
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,HeAd teaChers GiveN the power to ban the BUrqa in british sChools sHarE If yoU want a fuLl ban IN brITaiN!
24316,1,sharks don't attack him why? they think it's whale shit,sharks Don'T ATtack him why? they think IT's whAlE sHIt
62035,1,thank god my ass needed a break,ThaNk gOd my ass neEded a brEAk
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","baRn army enliSt, and bomB ant hilLs ""GrAB yoUr pItchfoRk and mEet at THe bArN"""
92058,1,how black people became christians,how BlaCk pEople becAMe chrIstiAns
58672,1,did you know that the chinese eat dogs savages disgusting,dId you knoW That The chinEsE eat dOGs Savages DisgUstInG
54069,1,when you decide to go full gas,wheN You DecIde to go full gaS
91586,1,left the kitchen too many times,lEFt the kitchEN Too manY timeS
87130,1,finally finding the right tutorial you need indian accent,fINaLly FiNdiNg tHe right tutoriaL yoU need iNdiAN aCcent
95640,1,syrian rape survivor speaks out,Syrian rApe sUrvivor SpEAks oUt
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","oh, adDictiOn isn't A disease becAuse it starTed wIth a choice?? teLl Me mORE aBoUt how thE chLamyDiA In Your cRoTCh ISn't a disease, Yet it sTartED WItH a choice"
59140,1,wanna go masturbate? fuck yeah! masturbating!,waNna go MastUrBate? fuCK yeaH! mAstuRbating!
13647,1,she said girls run the world... so i told her get back in the kitchen,She SaId girLs ruN the WOrld... So i toLD her gEt bAck In THe kitchen
65832,1,why love one but eat the other ? i don't get it,why lovE onE but eAt tHe otHEr ? i DoN't get iT
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,If this Gets 1k likes i'lL PosT To islam hoW we sEE musLImS hoW musLims see uS
40982,1,and just like that... this sandwich maker doubles as ironing board,and jUsT lIke ThaT... this sANDwich makEr doublEs As iroNInG bOard
43275,1,my husband is always pushing me around... and talking behind my back,My husbAnd IS alWays PushiNg mE arOund... and tALkiNG beHind my back
12973,1,someone added to much soap to the dishwasher again,sOmeOnE adDEd to mUch soap to The DiShwasheR again
74350,1,a head diaper is required when you have shit for brains,a HeAd DIaper is reQuireD WHen yoU Have Shit for brains
02478,1,must..resist...urge to.. kill whitey.,muSt..resIsT...URge tO.. Kill whitey.
51607,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,49 people were killED at chrIstcHURCh MuslIm 49 peOple were kilLed at ChRIStchUrCh MoSques musliM
65403,1,money is evil give it to us,Money iS Evil giVe iT to uS
29750,1,this cat is getting raped tonight,tHis Cat iS geTting raped tonigHt
26547,1,that's the way allah allah i like it,tHAt's THe wAy allah aLlaH i like it
02143,1,"doesnt have food, water, electricity proud of nuclear weapons","DOesnT hAve food, watEr, eleCtriCiTy prouD of nUcleaR weaPons"
68192,1,scientist are working hard to cure them all,sciEntist ArE working harD to CuRe tHem aLL
52603,1,feeling kinda cute might steal your shit later.. idk,FEElING kindA cute Might steaL Your shIt later.. idk
05349,0,normal day in a islamic country,NORmal Day iN a islaMic couNtry
06491,1,tranny for sale,TranNy foR sale
74013,1,"nurse: yes sir, we are having mashed potatoes today alzheimer's patient: i don't remember asking you a god damn thing","nurSE: YeS sir, we arE Having maSHed PoTatoes tOday aLzHEimer's Patient: i doN't REMember asking yoU a goD dAmN ThinG"
27485,1,thats the way allah allah i like it!!!,thaTs the Way allAh aLLah i LIke it!!!
13026,1,under the name of multiculturalism we let terrorist into this country,Under The nAME Of mUlticultUrAlism we Let tErroriSt iNto this country
17265,0,meanwhile in baltimore,mEaNWhilE in baltimOre
91405,0,wears rag on her head so her brother husband doesnt want to molest her,wears rag ON hEr heAD So Her bRother husband doeSnt want to moLest Her
14026,1,told girlfriend that mom is deaf so speak loud and slow told mom that girlfriend is retarded,told gIrlfriENd thAT moM iS dEaf sO speaK loud and slOw TolD mom thAt GirlFrIenD is RetardeD
18945,1,when you decide to go full gas,When you dEciDe to go full gAs
83920,1,"just under 17 and a half years ago, 19 people were allowed into the us who should not have been all these years later, we are told that the answer to safety is to allow everyone in","jusT undEr 17 anD A haLf yearS aGo, 19 people weRe ALloWeD Into The US who should not haVe bEen All THese yeaRs LaTer, we aRE told ThaT tHE answeR to SaFety iS tO AlloW everyoNe in"
83497,0,different types of radicalization,DiFfereNt types of raDiCalizatIoN
04569,0,when is the time to eat i am hungry,wHen Is thE timE tO eat i am hunGry
39607,1,those stupid basterds thought it was a real shower,tHosE stupid BasteRds ThouGht It was a ReAl shoWer
09715,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,i stARteD a buSinEss tHat selLS lanDMineS disGuISed as pRaYer Mats.. ..proPhETs are Going througH the rOoF
01925,1,i am not racist i just don't like brown sugar,i am noT raciST I JuSt dOn'T like brOwn sugar
94813,0,thats the way allah allah i like it!!!,thats thE way allAh AlLAh i Like iT!!!
29437,1,what can happen if you eat wheaties for 38 years,wHat cAn haPpen if yoU eat WHEaTies fOr 38 yEars
95038,0,when you take these pics we think about cumming in your mouth,whEn yOu tAKe these pics We think abOUt cUmMing in youR mouTh
64891,1,lebanon: before muslims after muslims but don't worry! after islam takes over there'll be a golden age.. apparently,LebanoN: befOre Muslims AftEr muslims bUt don't Worry! AfTER islam takes Over tHere'LL be a golDen AgE.. appaReNTly
63280,1,so you're never going to forgive the germans because of the holocaust? same,So You're neVeR GoiNG to forgIve The germaNs BeCauSE of The holocaust? same
17682,1,give them what they deserve kill them all,giVe tHem what THey deserVe Kill tHeM all
84510,1,bartender: how about a nice 12 yr old? him: boy or girl?,bartendeR: hOW abouT a NIce 12 yr old? hiM: bOy or girl?
28690,0,if you're gonna talk shit about someone... you better make sure they aren't crazier than you are,if yoU'rE GOnna talk shit about soMEoNe... YOu bettEr make SUre thEy arEn't crazier tHAn yOu ARe
03567,1,potato is my favorite color of the alphabet,PotatO Is my faVorite coLOR Of the alphaBet
95830,1,face of terrorism in us,fAce Of TerroRism in us
29873,1,who knew that this country is full of white trash,wHo KnEw That This CountrY Is full Of whiTe tRash
70953,1,"""god's chosen people"" according to the book they wrote","""God's choseN peoPle"" According to The bOok theY wrOTe"
56124,0,how to cook turkey in usa how to cook turkey in romania,how To cOok turKey in Usa How to cooK tUrkEy iN romAnia
10386,1,the book about terrorism,tHE booK about teRrorism
