id,label,original,perturbed
08291,1,white people is this a shooting range,whti epepole is this a shootin garnge
46971,1,bravery at its finest,braevr yat istf inset
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,yuor orde rcome sto $37.50a nd your whiet privilege discount brings the total to $37.50
83745,1,it is time.. to send these parasites back to the desert,ti is time.. ot send these paarsites abc kto the desert
80243,1,mississippi wind chime,misssisippiw nid chmie
05279,1,"knowing white people , that's probably the baby father","knowing whtie epople  ,that's porbably the baby fatehr"
01796,1,life hack #23 how to get stoned with no weed,ilfeh ack #23 how to ge tstoned iwth now eed
53046,1,"you've heard of elf on a shelf, now get ready for","you'v eheard of elf no a shlef, nwo get ready ofr"
82301,1,cooooooooooooon!!!!,ocoooooooooooon!!!!
31752,1,when you get to choose your own mental illness,whe nyou gett oc hoose your own emntal illenss
27635,1,dat ass ahmarbkrich*d,da tass ahmarkbirchd*
80597,1,look! it says it right here! we can fuck goats!,olok! it sasyi t rgiht here! we can fuck gaots!
45368,1,enough is enough children are more important than freaks,enouhg is enough childre nare more importnat htanf reaks
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,rmeoves polish with chemiclas nobody bats an eye removes ploish with chemicals eveyrbody lsoes his shit
53968,1,when you have an 80 point iq but it's the highest in your village,wehny ou have an8 0 piont i qbut it's the highest in your village
10749,1,my sense of humor is so dark it picks cotton,my sense of huomri  sos dark itp icks cotton
25149,1,if this offends you you might be lack toes intolerant,if this ofefnds you you might b elack otes inotelrant
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","yes, we know trump sai d""mexico will pay for teh wal""l but now mexicans are the wall. htat oby good!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,they don't wash thier ass with water nad they aet their dauhgter's ass
09563,1,safe sex isis style,saef esxi siss ytle
72048,1,hurry up barack will be home soon,hrury up barackw il lbe ohm esoon
49826,1,white people on cinco de mayo vs. every other day,hwiet peopl eon cinco ed mayo vs. eevry other day
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","a ww2 jewish prisoner tryingt o escape th eaucshchwitz showers (1943, coloirzed) wwii jew ecsaping hitler's rath"
12650,1,which one has tranny problems?,hwich oneh as trnayn rpoblems?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,whatsthe difefrence between hreoin and ?i cops thikn twic ebefore shooting heroin
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,head teachers gievn the power to ban the burqa ni british schoosl share i fyo uwant a full ban in britain!
24316,1,sharks don't attack him why? they think it's whale shit,sharksd on't tatcakh im why? they htink it's whale shit
62035,1,thank god my ass needed a break,htan kogd my ass needed a braek
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","barn armye nlits, and bobm ant hills ""grab your pitchfork and meet at teh bar""n"
92058,1,how black people became christians,how blac kpepoleb ceamec hristians
58672,1,did you know that the chinese eat dogs savages disgusting,idd you know htat the chinese eatd gos savage sdisgusting
54069,1,when you decide to go full gas,when yo udecdie ot go flulg as
91586,1,left the kitchen too many times,lef ttehk itchen too amny tmies
87130,1,finally finding the right tutorial you need indian accent,finall yfinding the right uttoria lyou nee didnian accent
95640,1,syrian rape survivor speaks out,sryina rape usrvivor spaesk out
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","oh, addiction isn't a diseaes because it started with a choice?? tell me more abuot how th echlamydai i nyour crotch isn't a disease, yet it started with a choice"
59140,1,wanna go masturbate? fuck yeah! masturbating!,wanna og masturbaet ?fuc kyaeh! masturbating!
13647,1,she said girls run the world... so i told her get back in the kitchen,she said gilrs run the worl.d.. so it old her getb ack in the kitcehn
65832,1,why love one but eat the other ? i don't get it,why lov eoneb ut eat hteo ther ?  idon't get it
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,if this gets 1k ilkes i'llp ost to islam howw es ee muslims how muslims seeu s
40982,1,and just like that... this sandwich maker doubles as ironing board,and ujst like that... thsi sandwichm ake rdoubles as rioning board
43275,1,my husband is always pushing me around... and talking behind my back,my husbnad is laways pushing em around... and talking behind myb cak
12973,1,someone added to much soap to the dishwasher again,somoene added to muhc soap to hte diswhasehr again
74350,1,a head diaper is required when you have shit for brains,a hea ddipaer is required when you hav eshi tfor rbains
02478,1,must..resist...urge to.. kill whitey.,umts..reisst...urge to.. kill white.y
51607,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,49 people were killed a tchristchurch msulim 94 people were killed at christcuhrhc mosques muslim
65403,1,money is evil give it to us,omney i sevil igevi t to us
29750,1,this cat is getting raped tonight,this cat is gettnig rpade tnoigth
26547,1,that's the way allah allah i like it,htats' the way allah lalha i ilke it
02143,1,"doesnt have food, water, electricity proud of nuclear weapons","doesn thvae food, water, electricity porud o fnuclear weapnos"
68192,1,scientist are working hard to cure them all,sicnetist aer wokring hard to cure the mall
52603,1,feeling kinda cute might steal your shit later.. idk,feeling knida cute might steal yuor shti altre.. idk
05349,0,normal day in a islamic country,nromald ay ni  aislamic counrty
06491,1,tranny for sale,trnan yofrs ael
74013,1,"nurse: yes sir, we are having mashed potatoes today alzheimer's patient: i don't remember asking you a god damn thing","nurse: yes si,r we are having msahe dpotatoes today alzheimer'sp atient: i don't remember asking you  agod damn thing"
