id,label,original,perturbed
08291,1,white people is this a shooting range,whit e people isthis a shootingran  ge
46971,1,bravery at its finest,bravery at  i ts  finest
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,you r order co mes to $37.50 and your white  privilegedisc ount  brin g s the t otalto$37.50
83745,1,it is time.. to send these parasites back to the desert,it is time.. tosend  t hese para sites back to the  d esert
80243,1,mississippi wind chime,m ississippi wind c hi me
05279,1,"knowing white people , that's probably the baby father","knowing  whi tepeopl e , that's pr obab ly t he baby fat her"
01796,1,life hack #23 how to get stoned with no weed,l  ife h ack #23 how to get stoned withn  o weed
53046,1,"you've heard of elf on a shelf, now get ready for","yo u 'v e h  eard of elf on  a shelf, no w get ready for"
82301,1,cooooooooooooon!!!!,cooooo oooo oooon!!!!
31752,1,when you get to choose your own mental illness,w hen  y ou get to choose  your own mentalill ness
27635,1,dat ass ahmarbkrich*d,dat ass ahm arbkrich*d
80597,1,look! it says it right here! we can fuck goats!,look! it says i t righ t  her e! we can  fuck go  ats!
45368,1,enough is enough children are more important than freaks,enough is  en oughchildrenare mor e import an t than fre aks
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,rem oves p olish w i th  chem  icals nobody bats an ey e removes polish with chemicals everybod y los es his shit 
53968,1,when you have an 80 point iq but it's the highest in your village,when you have an 80 point iqbut i t's the highes t in your village
10749,1,my sense of humor is so dark it picks cotton,my  sense of humo  r isso d ark it p icks cotton
25149,1,if this offends you you might be lack toes intolerant,if t his offends  you you might be lack to es intolerant
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","yes,we know trump s aid ""mexico wil l  pay forthe wall"" but no w me xicans are the w all. th at boygood! !!  !"
89071,1,they don't wash their ass with water and they eat their daughters' ass,the y don't  w as h their ass with wa ter and they eat  their dau ghte rs' ass
09563,1,safe sex isis style,safe sexisis st yle
72048,1,hurry up barack will be home soon,hurry up bara ck will be home  soon
49826,1,white people on cinco de mayo vs. every other day,whitepeop leon cinco de mayo v  s. every  oth er day
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","a ww2  jewish prison ertrying to escape the auchschwitz  showers (1943, col ori zed) wwii jew escapi ng h it ler 's rat  h"
12650,1,which one has tranny problems?,which o ne has tran ny pro blems? 
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,whatsthe dif fere nce  between h eroin  and i? cops  t hink twice b e fo re shootinghe roin
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,head teachers  given the powe rto ban the b urqa in british  s choo ls  sh a re  ifyou wan t a full ba n in britain !
24316,1,sharks don't attack him why? they think it's whale shit,shar ksdon't a ttack him why ? they think it'swhaleshit
62035,1,thank god my ass needed a break,tha nk go d my ass needed  a break 
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","barn army e nli st, an d bomb ant hill s ""grab  y ourpitchf ork and meet at the ba rn"""
92058,1,how black people became christians,how b lack p eople became  christians
58672,1,did you know that the chinese eat dogs savages disgusting,did yo u know that  the c hines e eat do gs savages di sg u sting
54069,1,when you decide to go full gas,w he n you decide to go ful l gas 
91586,1,left the kitchen too many times,left thekitch en  too ma ny times
87130,1,finally finding the right tutorial you need indian accent,fina lly  fi nd  ing the right tutorial you need indian accen t
95640,1,syrian rape survivor speaks out,syrian rape sur vivor sp eak s o ut
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","oh, a ddiction isn't a disease because it  started  wi th a ch oi  ce?? tel lme more about how the chlamyd ia in your crotch isn't ad is ease,y  et it started with a choice"
59140,1,wanna go masturbate? fuck yeah! masturbating!,w annago m asturbate?  fuck y eah! mas turbating!
13647,1,she said girls run the world... so i told her get back in the kitchen,she said girls run the wor ld ...  so i told h er g e t back in the  k itchen
65832,1,why love one but eat the other ? i don't get it,whylo v e  one bu t eat t he other ? i don'tget it
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,if this g ets 1k likes i'll post to islam how w e see  muslims how musl im s se eus
40982,1,and just like that... this sandwich maker doubles as ironing board,and jus tlike t h at. ..  this sand w ich m aker doubles as ironing board
43275,1,my husband is always pushing me around... and talking behind my back,myh usba nd  is always pus hing me  around.. . and ta lking behind my back
12973,1,someone added to much soap to the dishwasher again,someone added tomuch  so ap to  th e dishwa sher again 
74350,1,a head diaper is required when you have shit for brains,a h eaddiaper is  required wh enyou have shit for brain s
02478,1,must..resist...urge to.. kill whitey.,m ust..resist...urget o .. kill w hitey.
51607,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,49 peoplewere killed at christchurch muslim 49 pe ople were  k illedat christc hurch mosq ues musli m
65403,1,money is evil give it to us,money is evil give it  to u s
29750,1,this cat is getting raped tonight,this cat is g et ting raped tonight
26547,1,that's the way allah allah i like it,that's the way all ah allahi like it 
02143,1,"doesnt have food, water, electricity proud of nuclear weapons","doesnth ave foo d, water,  e lectri city proud of nuclearw eap ons"
68192,1,scientist are working hard to cure them all,scien tist are workin g hard  to cure t  h em all
52603,1,feeling kinda cute might steal your shit later.. idk,feeling ki nda cu te might  steal  your shit la ter.. idk
05349,0,normal day in a islamic country,normalday in a islam i c co untry
06491,1,tranny for sale,tran ny  for sale
74013,1,"nurse: yes sir, we are having mashed potatoes today alzheimer's patient: i don't remember asking you a god damn thing","nurse : yes si r, we are having mashe d potatoes today al zhei mer' s patient: i don't reme mber askin gyou a god damn thing"
27485,1,thats the way allah allah i like it!!!,th atstheway all ah allah i like it!! !
13026,1,under the name of multiculturalism we let terrorist into this country,und er the name of mu lt icult uralism we let te rrorist into  t his coun try
17265,0,meanwhile in baltimore,meanwhi le in  balt imore
91405,0,wears rag on her head so her brother husband doesnt want to molest her,wear s r ag on her head so her broth er  husband does nt wan t t o mol est her
14026,1,told girlfriend that mom is deaf so speak loud and slow told mom that girlfriend is retarded,told girlfri end that mom is  deaf so speak l oud and sl owtold m om  tha t girlfrien dis retarde d
18945,1,when you decide to go full gas,when you dec ide to go full gas 
83920,1,"just under 17 and a half years ago, 19 people were allowed into the us who should not have been all these years later, we are told that the answer to safety is to allow everyone in","just unde  r 17and a h alf  ye arsago, 19 people were allowed i nto the  us who shou ld not ha ve b een all these  y ears  later, we  are told that t he a nswer to sa fety is to all ow  everyone in"
83497,0,different types of radicalization,differen t typ e s of rad icalization
04569,0,when is the time to eat i am hungry,when is the time to  e at  i a m h ungry
39607,1,those stupid basterds thought it was a real shower,thos e stu pid basterds t ho u gh t it was a re al shower
09715,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,i star ted abusines sthat  sell s landminesdisguised  as praye r ma ts.. ..prophets  are going through the r  oof
01925,1,i am not racist i just don't like brown sugar,i am not raci sti j ust don't like br own sugar
94813,0,thats the way allah allah i like it!!!,thats the  way allah a l lah i like it!!!
29437,1,what can happen if you eat wheaties for 38 years,what can happen if yo ueat w  heaties for 38  years
95038,0,when you take these pics we think about cumming in your mouth,when  you take  th ese pics we think about  cummi ng in y our  mouth
64891,1,lebanon: before muslims after muslims but don't worry! after islam takes over there'll be a golden age.. apparently,lebano n: befo r e m uslims af ter muslims but don't worr y! afteris lam take s over th ere 'l lbe a golden age.. app  ar ent ly
63280,1,so you're never going to forgive the germans because of the holocaust? same,so  you're n ev  er going to forgive th e ge  rmans because   of the holoc au st? same
17682,1,give them what they deserve kill them all,give them wha t th ey  deserv e kill the m a ll
84510,1,bartender: how about a nice 12 yr old? him: boy or girl?,barten der: how ab out  a n ice 12  y r old? him: boy or girl?
28690,0,if you're gonna talk shit about someone... you better make sure they aren't crazier than you are,if you're gonna tal  k shit a bout som eone... y ou   be tter make sure  they a ren 't crazi er than you are
03567,1,potato is my favorite color of the alphabet,potat o is my f av orite  colorof the al phabet
95830,1,face of terrorism in us,face of t errorism in us
29873,1,who knew that this country is full of white trash,w ho knew that  this country is ful l of w h itetrash 
70953,1,"""god's chosen people"" according to the book they wrote","""g od's chosen p eople"" ac cording  to t he b o ok they wrote "
56124,0,how to cook turkey in usa how to cook turkey in romania,how to  cookt ur key in usahow to coo k turkeyin rom ania
10386,1,the book about terrorism,th e book about terrori sm 
19530,1,they shot the wrong gorilla,t hey  shot the wr ong gorilla 
94185,1,how a black woman can fight crime,h ow a bl ack woman canfigh t crime
48370,1,72 virgins are ready to get fucked up,72  vir ginsare ready to get  fuc ked up
74058,0,he made millions of children homeless,he  made m illionsof children hom ele ss
45062,0,me and my kids are going to rob this country blind at the expense of the very people that voted for me. and they're going to love it. believe me! bigly!,me and my kids are go ingto rob t his count ry bli nd at t hee xpense of the very peopl e that vote dfor me. an d th ey ' re g oi ngto love it. b el iev e  me! bigly!
94170,0,when you decide to go full gas,whenyou d ecide togo full  gas
04538,0,"bows here, bows there, bows everywhere","b ows here, bows there,  bows everywh ere"
