id,label,original,perturbed
08291,1,white people is this a shooting range,white people is thisa shooting range
46971,1,bravery at its finest,bravery at its fin est
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,your ordercomes to $37.50 and your whit e privile ge discount brings the total  to $37.50
83745,1,it is time.. to send these parasites back to the desert,it is  time.. to send these parasites back to the des ert
80243,1,mississippi wind chime,missi ssippi wind chime
05279,1,"knowing white people , that's probably the baby father","knowing white people , tha t's probably th e baby father"
01796,1,life hack #23 how to get stoned with no weed,life hac k #23 how to get ston ed with no weed
53046,1,"you've heard of elf on a shelf, now get ready for","you've heard  of elf on a shelf, now g et ready for"
82301,1,cooooooooooooon!!!!,coooo ooooooooon!!!!
31752,1,when you get to choose your own mental illness,when you get to choose yourown mental i llness
27635,1,dat ass ahmarbkrich*d,dat ass ahmarbk rich*d
80597,1,look! it says it right here! we can fuck goats!,look! it says it right h ere!  we can fuck goats!
45368,1,enough is enough children are more important than freaks,enough is enough chi ldren are m ore important than freaks
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,removespolish with chemicals nobody bats an eye   removes polish with chemicals everybodyloseshis shit
53968,1,when you have an 80 point iq but it's the highest in your village,whe  n you have an 80 point iq but it's the highest in y our village
10749,1,my sense of humor is so dark it picks cotton,my  sense of hu mor is so dark it picks cotton
25149,1,if this offends you you might be lack toes intolerant,i f this offends you y ou might be lack toes intolerant
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","yes, we know  trumpsaid ""mex ico will pay for  the wall"" but now mexicans are the wall. that boy goo d!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,they don't wash their ass with  w ater and they eat their daughters' as s
09563,1,safe sex isis style,s afe sex isis style
72048,1,hurry up barack will be home soon,hurry up bar ack will be home soon
49826,1,white people on cinco de mayo vs. every other day,whitepe ople on cinco de mayo vs. every other day
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","a ww2 jewishprisoner trying to escape the auchschwitz sh ow ers (1943, colorized) wwii jew escaping  hitl er's rath"
12650,1,which one has tranny problems?,which one has tra nny problems?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,whatsthe difference between heroin an di? cops think twice before shootin g her oin
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,head teachers given thepower to ba n the b urqa in british schools share i f yo u want a full ban in britain!
24316,1,sharks don't attack him why? they think it's whale shit,sharksdon'tattack him why? they think it's whale shit
62035,1,thank god my ass needed a break,thank  god my ass needed a break
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","barn army enli st, and bomb ant hills ""g rab your  pitchfork and meet at the barn"""
92058,1,how black people became christians,how black people be came christians
58672,1,did you know that the chinese eat dogs savages disgusting,did youknow that the chinese eat d ogs savages disgusting
54069,1,when you decide to go full gas,whenyou decide to go full gas
91586,1,left the kitchen too many times,left the kitchen too man y times
87130,1,finally finding the right tutorial you need indian accent,finally finding the righ t tutorial you need indian acce nt
95640,1,syrian rape survivor speaks out,syrian rape survivor speaks o ut
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","o h,addiction isn't a disease because it started with  a choice?? tell me more about how the chlamydia in your crotch isn't a dis ease, y et it  startedwith a  choice"
59140,1,wanna go masturbate? fuck yeah! masturbating!,wanna g o masturbate? fuck yeah! masturbating !
13647,1,she said girls run the world... so i told her get back in the kitchen,she said gi rl s r un the world... so i told her get back in the kitchen
65832,1,why love one but eat the other ? i don't get it,why love one but eat  the other ? i don' t get it
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,if this gets 1k likes i'll post to is lam how we seemus lims how muslims see us
40982,1,and just like that... this sandwich maker doubles as ironing board,and just l ikethat. .. this sandwich maker doubles as ironing board
43275,1,my husband is always pushing me around... and talking behind my back,my husband  is always pushing me around... and talking behind  m y back
12973,1,someone added to much soap to the dishwasher again,someon e ad ded to much soap to the dishwasher again
74350,1,a head diaper is required when you have shit for brains,a he ad diaper  is required when you have shit for brains
02478,1,must..resist...urge to.. kill whitey.,mus t..resist...urge to.. kill whitey.
51607,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,49 people were killed  at christchurch  musli m 49 people wer e killed at christchurch mosques muslim
65403,1,money is evil give it to us,mone y is evil give it to us
29750,1,this cat is getting raped tonight,this cat i s getting raped tonight
26547,1,that's the way allah allah i like it,that's the way  allah allah i like it
02143,1,"doesnt have food, water, electricity proud of nuclear weapons","doesnt have food, w ater, electricity proud  of nucl ear weapons"
68192,1,scientist are working hard to cure them all,scientist are working hard to cu re  them all
52603,1,feeling kinda cute might steal your shit later.. idk,feeling kinda cute mig ht steal your shit later. . idk
05349,0,normal day in a islamic country,normal day in a islamic cou ntry
06491,1,tranny for sale,tr anny for sale
74013,1,"nurse: yes sir, we are having mashed potatoes today alzheimer's patient: i don't remember asking you a god damn thing","nurse: yes sir,we are having mashed potato es today alzheimer's patient:  i don't remember as k ing you a god damn thing"
27485,1,thats the way allah allah i like it!!!,thats the way allah  allah i like it!!!
13026,1,under the name of multiculturalism we let terrorist into this country,u nder the nameof multiculturalism we  let terrorist into this country
17265,0,meanwhile in baltimore,mea nwhile in baltimore
91405,0,wears rag on her head so her brother husband doesnt want to molest her,wea rs rag on her head so her brother husband doesnt want to molest her
14026,1,told girlfriend that mom is deaf so speak loud and slow told mom that girlfriend is retarded,told girlfriend that mom is deaf  so speak  loud and slow tol d mom that girlfriend is retard ed
18945,1,when you decide to go full gas,when you dec ide to go full gas
83920,1,"just under 17 and a half years ago, 19 people were allowed into the us who should not have been all these years later, we are told that the answer to safety is to allow everyone in","just under 17 and a half ye ars ago, 19 people we re allowed into the us who should not  h ave been all the se yea rs later, we are toldthat the answer to safety is to al low everyonein"
83497,0,different types of radicalization,differenttypes of radicalization
04569,0,when is the time to eat i am hungry,when is the time to eat i am hun gry
39607,1,those stupid basterds thought it was a real shower,those stupid basterds thought it was a real sh ower 
09715,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,i started a business that sells la  ndmin es disguised as prayer mats.. ..prophetsare going t hrough the roof
01925,1,i am not racist i just don't like brown sugar,i a m not racist i just don't like  brown sugar
94813,0,thats the way allah allah i like it!!!,thats the way a llah allah i like it!!!
29437,1,what can happen if you eat wheaties for 38 years,what can happen i fyou eat wheaties for 38 years
95038,0,when you take these pics we think about cumming in your mouth,when  you take these pics we think abou t c umming in your mouth
64891,1,lebanon: before muslims after muslims but don't worry! after islam takes over there'll be a golden age.. apparently,lebanon: before m uslims aft er muslims but don't worr y! after islam takes over there'll  be a golden age.. apparent ly
63280,1,so you're never going to forgive the germans because of the holocaust? same,so y ou're never going to  forgive the germans because of the holocaust?same
17682,1,give them what they deserve kill them all,give th em what they deser ve kill them all
84510,1,bartender: how about a nice 12 yr old? him: boy or girl?,b artender: how about anice 12 yr old? him: boy or girl?
28690,0,if you're gonna talk shit about someone... you better make sure they aren't crazier than you are,if you'regonna talk shit about som eone.. . you better make sure they aren't crazier than youare
03567,1,potato is my favorite color of the alphabet,potato  is my favorit e color of the alphabet
95830,1,face of terrorism in us,face of terroris m in us
29873,1,who knew that this country is full of white trash,who knew that this count ry isfull of white trash
70953,1,"""god's chosen people"" according to the book they wrote","""god's chose n people"" according to th e book they wrote"
56124,0,how to cook turkey in usa how to cook turkey in romania,how to cook turkey i n usa how to cookturkey in romania
10386,1,the book about terrorism,the book abo ut terrorism
19530,1,they shot the wrong gorilla,they shot the wrong go rilla
94185,1,how a black woman can fight crime,how a black wom an can fight crime
48370,1,72 virgins are ready to get fucked up,72 virgins are ready t o get fucked up
74058,0,he made millions of children homeless,he  made millions of children homeless
45062,0,me and my kids are going to rob this country blind at the expense of the very people that voted for me. and they're going to love it. believe me! bigly!,me and my kids a re going to rob this country blind at the expense of t he very people thatv oted for me.  and they're going to love it . believe  me! bigly!
94170,0,when you decide to go full gas,when  you decide to go full gas
04538,0,"bows here, bows there, bows everywhere","bows here, bows there, bows everywhere "
83946,1,when a white kid shoots up the school the same day you planned to bomb it,whena white kid shoots up the school the same day you planned to bomb it
68127,0,all you guys think about is dope,all you guys think about i s dope
97453,0,potato is my favorite color of the alphabet,potat o is my favorite colorof the alphabet
39578,1,one of the bullets they dug out of a victim from the orland gay night club shooting!,oneo f the bullets  they dug out of a victi m from the orland gay night club shooting!
49360,0,who wants ice cream me me me,who w ants ice cream me me me
87034,0,you don't need a parachute to go skydiving twice you need a parachute to go skydiving twice,youdon't need a parachute to go skydivi  n g twice you need a parachute to go skydiving twice
06123,1,a group of men,a groupof men
17028,1,"feeling bored, let's go to a mosque","feeling bored, let's go to a mos que"
42903,0,those stupid basterds thought it was a real shower,those stupid basterds thoughtit was a real  shower
71680,1,muslim strip club,muslim st rip club
24135,0,good night keep your butthole tight,good night keep your butthole  tight
