id,label,original,perturbed
08291,1,white people is this a shooting range,whi7e peopl3 is this a sh0oting rang3
46971,1,bravery at its finest,bravery a7 its finest
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,y0ur 0rder come5 to $37.50 and your white priv!1ege discoun7 bring5 the total to $37.50
83745,1,it is time.. to send these parasites back to the desert,it is tim3.. to s3nd the5e para$ite$ b4ck to 7he des3rt
80243,1,mississippi wind chime,missis5ippi wind chime
05279,1,"knowing white people , that's probably the baby father","know!ng white pe0ple , that's probably the baby f47her"
01796,1,life hack #23 how to get stoned with no weed,lif3 h4ck #23 h0w 7o get ston3d with no we3d
53046,1,"you've heard of elf on a shelf, now get ready for","you've h3ard of elf on a sh3lf, now g3t ready for"
82301,1,cooooooooooooon!!!!,cooo0oooo0oooon!!!!
31752,1,when you get to choose your own mental illness,when y0u get 7o choose y0ur own m3ntal !llne5s
27635,1,dat ass ahmarbkrich*d,dat @ss ahmarbkrich*d
80597,1,look! it says it right here! we can fuck goats!,lo0k! it s@ys i7 right here! we can fuck g0ats!
45368,1,enough is enough children are more important than freaks,3nough !$ enough children ar3 mor3 imp0rt4n7 th4n freaks
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,rem0v3s po1i$h w!th chemic@l$ nobody bats an eye removes polish with ch3mical$ everybody los3s his sh!7
53968,1,when you have an 80 point iq but it's the highest in your village,when y0u have an 80 poin7 !q bu7 1t's th3 highest in y0ur villag3
10749,1,my sense of humor is so dark it picks cotton,my $3nse of humor !5 $o dark it picks cotton
25149,1,if this offends you you might be lack toes intolerant,!f this off3nds you you might be lack toe5 1n7ol3rant
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","yes, we know trump 5a!d ""mexic0 wi1l p4y for the wa1l"" bu7 now mexican$ are the w@l1. that b0y good!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,they don'7 wash their @5s with water and they eat their daughters' ass
09563,1,safe sex isis style,s@fe sex isis $tyl3
72048,1,hurry up barack will be home soon,hurry up b@r4ck will b3 home so0n
49826,1,white people on cinco de mayo vs. every other day,white p3op1e on c1nco de may0 vs. 3v3ry o7h3r day
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","a ww2 j3w!sh prison3r 7ry!ng t0 esc4pe the auchschw!7z show3rs (1943, co1orized) wwi! jew 3sc4ping hitler's rath"
12650,1,which one has tranny problems?,which on3 has tranny problems?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,what5th3 differ3nce b37ween her0in and 1? c0ps think 7wice b3f0re shooting hero1n
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,head t3ach3r$ giv3n the power 70 ban 7he burqa in br!tish sch0ols share if you want a fu1l ban in brit4in!
24316,1,sharks don't attack him why? they think it's whale shit,$harks don't 477ack him why? 7hey 7hink it's wha1e shit
62035,1,thank god my ass needed a break,thank g0d my @s5 needed 4 break
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","barn army en1ist, and bomb ant hills ""grab y0ur pitchfork and meet at 7h3 barn"""
92058,1,how black people became christians,how bl4ck p3ople b3came chri$7ians
58672,1,did you know that the chinese eat dogs savages disgusting,did you know 7hat 7h3 chine53 e4t d0gs $avages disgusting
54069,1,when you decide to go full gas,when you decide to go ful1 g@s
91586,1,left the kitchen too many times,l3ft 7he kitchen 7o0 many times
87130,1,finally finding the right tutorial you need indian accent,fin41ly find1ng the right tut0rial y0u need indi@n accent
95640,1,syrian rape survivor speaks out,syrian r4pe surv1vor spe@ks out
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","oh, addicti0n 1sn'7 @ di5eas3 becau$e it s7ar73d wi7h a cho1ce?? tell me mor3 about how the chlamydia in y0ur cr0tch isn't @ d1$ease, ye7 i7 $7arted wi7h a choice"
59140,1,wanna go masturbate? fuck yeah! masturbating!,wanna go masturb4t3? fuck y3ah! ma$turb@ting!
13647,1,she said girls run the world... so i told her get back in the kitchen,she said gir1$ run 7he world... so i t0ld her get back in 7he k!7chen
65832,1,why love one but eat the other ? i don't get it,why love one but 3a7 the other ? i don'7 g3t it
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,!f this gets 1k likes i'1l post to isl@m how we see mus1im5 how musl1ms s33 us
40982,1,and just like that... this sandwich maker doubles as ironing board,and just lik3 that... th!s s@ndwich mak3r d0ubl3s as ir0ning bo4rd
43275,1,my husband is always pushing me around... and talking behind my back,my husband is a1ways pushing m3 around... and talking behind my b4ck
12973,1,someone added to much soap to the dishwasher again,some0n3 added to much s0ap to the di$hw4sher again
74350,1,a head diaper is required when you have shit for brains,a h3ad d1ap3r is required when you hav3 5hi7 for brains
02478,1,must..resist...urge to.. kill whitey.,mu$t..res1st...urg3 7o.. k!l1 whitey.
51607,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,49 peop13 were kil1ed at christchurch muslim 49 pe0pl3 w3re killed at christchurch m0$qu3s muslim
65403,1,money is evil give it to us,mon3y is evil g1ve 17 to us
29750,1,this cat is getting raped tonight,this cat is get7ing r@ped tonight
26547,1,that's the way allah allah i like it,that'$ 7he way allah all4h i 1!k3 i7
02143,1,"doesnt have food, water, electricity proud of nuclear weapons","d0esnt have fo0d, wa7er, electr!city proud 0f nucle@r we4pons"
68192,1,scientist are working hard to cure them all,scientist ar3 working hard 70 cure them al1
52603,1,feeling kinda cute might steal your shit later.. idk,f3e1ing k1nda cute migh7 s73al your sh1t 1ater.. idk
05349,0,normal day in a islamic country,norma1 d4y in a is1amic coun7ry
06491,1,tranny for sale,tranny for sale
74013,1,"nurse: yes sir, we are having mashed potatoes today alzheimer's patient: i don't remember asking you a god damn thing","nurs3: y3s sir, we are having mashed p0t@to35 tod4y alzhe!mer'$ patien7: i don't rememb3r asking you @ g0d damn th1ng"
27485,1,thats the way allah allah i like it!!!,thats the w@y allah @ll@h ! l1ke it!!!
13026,1,under the name of multiculturalism we let terrorist into this country,under the name 0f mu1ticulturalism we let terroris7 !nt0 this country
17265,0,meanwhile in baltimore,me@nwhile in bal7imor3
91405,0,wears rag on her head so her brother husband doesnt want to molest her,we@rs r4g on h3r h3ad s0 h3r br0ther husband d0esnt want to moles7 her
