id,label,original,perturbed
08291,1,white people is this a shooting range,white people is this a shooting range
46971,1,bravery at its finest,bravery at its fin*st
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,your order comes to $37.50 and your w*i*e privilege discount brings the tot*l to $*7.50
83745,1,it is time.. to send these parasites back to the desert,it is time.. to *end these parasites back to the desert
80243,1,mississippi wind chime,mississippi wind ch*me
05279,1,"knowing white people , that's probably the baby father","knowing white people , that's prob*bly t*e baby father"
01796,1,life hack #23 how to get stoned with no weed,life ha*k #23 how to get stoned with no wee*
53046,1,"you've heard of elf on a shelf, now get ready for","you've heard of elf on a sh*lf, now get read* for"
82301,1,cooooooooooooon!!!!,co*ooooooooooon!!!!
31752,1,when you get to choose your own mental illness,when you get to choose your own mental ill**ss
27635,1,dat ass ahmarbkrich*d,dat *ss ahmarbkrich*d
80597,1,look! it says it right here! we can fuck goats!,look! *t says it right here! *e can fuck goats!
45368,1,enough is enough children are more important than freaks,enough is enough children are more imp*rtan* than freaks
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,removes polish with chemic*ls nobody bats an eye r*moves polish with chemical* everybody *oses his shit
53968,1,when you have an 80 point iq but it's the highest in your village,w*en you have an 80 point iq but it's the highest in your vi*lage
10749,1,my sense of humor is so dark it picks cotton,my sense of humo* is so dark it picks cott*n
25149,1,if this offends you you might be lack toes intolerant,if this offends you you mi*ht be lack toes intolerant
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","yes, we know trump sa*d ""mexico will pay for the wall"" but *ow mexicans are the wall. that boy good!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,they don't wash their ass with water and *hey eat their daughters' *ss
09563,1,safe sex isis style,safe sex isis styl*
72048,1,hurry up barack will be home soon,hurry up barac* will be home soon
49826,1,white people on cinco de mayo vs. every other day,white people on cinco de mayo vs. every other day
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","a ww2 jewish prisoner tryin* to escape the auc*schwitz showers (1*43, colorized) wwii jew *scapi*g hitler's rath"
12650,1,which one has tranny problems?,which o*e has tranny problems?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,whatsthe di*ference betw*en heroin and i? cops think twice bef*re shooting heroin
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,head teache*s given the po*er to ban t*e burqa in britis* schools share if you want a full ban in britain!
24316,1,sharks don't attack him why? they think it's whale shit,s*arks don't attack him why? they think it's whale shit
62035,1,thank god my ass needed a break,thank god my ass needed a break
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","barn army enlist, and bomb ant hills ""grab your pitch*ork and meet at th* barn"""
92058,1,how black people became christians,how black people became ch*istians
58672,1,did you know that the chinese eat dogs savages disgusting,did you k*ow that the chinese eat dogs sav*ges disgusting
54069,1,when you decide to go full gas,when you decide to go fu*l gas
91586,1,left the kitchen too many times,left the *itchen too many times
87130,1,finally finding the right tutorial you need indian accent,fin*lly find*ng the right tutorial you need indian accent
95640,1,syrian rape survivor speaks out,syrian rape survivor speaks o*t
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","oh, add*ction isn't a disease because it s*arted with a choice?? tell me more about how the chla*ydia in your crotch isn't a *i*ease, yet it star*ed with a choice"
59140,1,wanna go masturbate? fuck yeah! masturbating!,wanna go mastu*bate? fuck yeah! masturb*ting!
13647,1,she said girls run the world... so i told her get back in the kitchen,she said girls run the world... so i told her get back in the *itch*n
65832,1,why love one but eat the other ? i don't get it,why love one but e*t the other ? i don't get it
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,if this gets 1k *ikes i'll post t* islam how we see muslims how muslims see us
40982,1,and just like that... this sandwich maker doubles as ironing board,and just like that... this sandwich maker *oubles a* ironing board
43275,1,my husband is always pushing me around... and talking behind my back,my h*sband i* always pushing me around... and talking behind my back
12973,1,someone added to much soap to the dishwasher again,someone added t* much soap to the *ishwasher again
74350,1,a head diaper is required when you have shit for brains,a head diaper *s required when you have shit for brains
02478,1,must..resist...urge to.. kill whitey.,must..resist...urge to.. kill w*itey.
51607,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,49 people were kille* at christchu*ch muslim 49 people were killed at christchurch mosque* *uslim
65403,1,money is evil give it to us,money is evil give it to us
29750,1,this cat is getting raped tonight,this ca* is getting raped tonight
26547,1,that's the way allah allah i like it,that's the way allah allah i li*e it
02143,1,"doesnt have food, water, electricity proud of nuclear weapons","doesnt have food, water, electricity pro*d *f nuclear weapons"
68192,1,scientist are working hard to cure them all,scientist are working hard to cure th*m all
52603,1,feeling kinda cute might steal your shit later.. idk,feeling kinda cute might steal your shit *ate*.. idk
05349,0,normal day in a islamic country,normal day *n a islamic country
06491,1,tranny for sale,tranny for *ale
74013,1,"nurse: yes sir, we are having mashed potatoes today alzheimer's patient: i don't remember asking you a god damn thing","nurse: yes sir, we are having mashed potatoes *oday alz*eimer's pat*ent: i don't remember a*king you a god da*n thing"
27485,1,thats the way allah allah i like it!!!,thats the way allah allah i l*ke it!!!
13026,1,under the name of multiculturalism we let terrorist into this country,un*er th* n*me of multiculturalism we let terrorist into this country
17265,0,meanwhile in baltimore,mean*hile in baltimore
91405,0,wears rag on her head so her brother husband doesnt want to molest her,wears rag on her head so her brother husban* doesnt wa*t to molest her
14026,1,told girlfriend that mom is deaf so speak loud and slow told mom that girlfriend is retarded,told gi*lfriend that mom is deaf so spe*k loud and slow told mom th*t *irlfriend is retarded
18945,1,when you decide to go full gas,when you decide to go full gas
83920,1,"just under 17 and a half years ago, 19 people were allowed into the us who should not have been all these years later, we are told that the answer to safety is to allow everyone in","just *n*er 17 and a half years ago, 19 people were allowed into the us w*o should not have been all these years later, we are told that *he answe* t* safety is to *llow everyone in"
83497,0,different types of radicalization,differ*nt types of radicalization
04569,0,when is the time to eat i am hungry,when is the time to eat * am hungry
39607,1,those stupid basterds thought it was a real shower,those stupid basterds thought it was a rea* shower
09715,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,i star*ed a business that se*ls landmines disgui*ed as prayer m*ts.. ..prophets ar* going through the roof
01925,1,i am not racist i just don't like brown sugar,i am not r*cist i just don't like brown sugar
94813,0,thats the way allah allah i like it!!!,thats the way allah *llah i like it!!!
29437,1,what can happen if you eat wheaties for 38 years,what can happen if you e*t wheaties for 38 year*
95038,0,when you take these pics we think about cumming in your mouth,when you take these pics we t*ink *bout cumming in your mouth
64891,1,lebanon: before muslims after muslims but don't worry! after islam takes over there'll be a golden age.. apparently,lebanon: before muslims after muslim* but don't worry! after islam takes over there'l* be a golden age.. apparently
63280,1,so you're never going to forgive the germans because of the holocaust? same,so you're never going to f*rgive the german* because of the holocaust? same
17682,1,give them what they deserve kill them all,give them what they deserve kill th*m al*
84510,1,bartender: how about a nice 12 yr old? him: boy or girl?,b*rtender: how about a nice 12 yr old? hi*: boy or girl?
28690,0,if you're gonna talk shit about someone... you better make sure they aren't crazier than you are,if you'r* gonna talk shit about someon*... you *etter make sure they aren't crazier than you are
03567,1,potato is my favorite color of the alphabet,potato i* my f*vorite color of the alphabet
95830,1,face of terrorism in us,face of terroris* in us
29873,1,who knew that this country is full of white trash,who knew that this country is full o* white trash
70953,1,"""god's chosen people"" according to the book they wrote","""god's chosen *eople"" according to the book they wrote"
56124,0,how to cook turkey in usa how to cook turkey in romania,ho* to cook turkey in usa how to cook turkey in romania
10386,1,the book about terrorism,the book ab*ut terrorism
19530,1,they shot the wrong gorilla,t*ey shot the wrong gorilla
94185,1,how a black woman can fight crime,how a blac* woman can fight crime
48370,1,72 virgins are ready to get fucked up,72 virgins are rea*y to get fucked up
