id,label,original,perturbed
08291,1,white people is this a shooting range,wh1t3 p3op1e 1s 7h!$ a shoo7ing rang3
46971,1,bravery at its finest,br4v3ry a7 i7s fin3s7
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,y0ur ord3r c0m3s t0 $37.50 and your wh173 priv!1eg3 discount brings 7he to7al 70 $37.50
83745,1,it is time.. to send these parasites back to the desert,it is time.. t0 s3nd 7hese par@51t35 b@ck t0 7h3 des3r7
80243,1,mississippi wind chime,mi5si$sipp1 wind chim3
05279,1,"knowing white people , that's probably the baby father","knowing white p3op13 , 7ha7's prob@bly 7he b4by f4th3r"
01796,1,life hack #23 how to get stoned with no weed,lif3 hack #23 h0w 70 get s7on3d with n0 we3d
53046,1,"you've heard of elf on a shelf, now get ready for","y0u'v3 h34rd 0f 3lf on 4 5h3lf, now g37 re4dy f0r"
82301,1,cooooooooooooon!!!!,c00ooooo0000oon!!!!
31752,1,when you get to choose your own mental illness,when y0u g37 70 choose y0ur own m3n7a1 11ln35s
27635,1,dat ass ahmarbkrich*d,d47 a5s 4hmarbkrich*d
80597,1,look! it says it right here! we can fuck goats!,10ok! i7 say5 1t r!ght h3r3! we can fuck g0at5!
45368,1,enough is enough children are more important than freaks,enough i$ 3nough ch1ldren ar3 m0re impor7an7 7han fre@k5
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,removes poli5h wi7h ch3m!ca15 n0b0dy bats 4n 3ye r3mov3s p0lish wi7h ch3m!cals ev3ryb0dy 10$e$ his sh17
53968,1,when you have an 80 point iq but it's the highest in your village,wh3n you h4ve 4n 80 p0in7 iq bu7 !7'5 7he h1gh3$t in y0ur v!ll4g3
10749,1,my sense of humor is so dark it picks cotton,my sense 0f hum0r !$ s0 dark i7 pick5 c077on
25149,1,if this offends you you might be lack toes intolerant,!f th1s 0ffends y0u y0u might be lack toe5 1n701er@nt
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","y3s, w3 kn0w 7rump s@!d ""m3x!co w!1l p4y for the wa11"" but now mexican5 are the w4l1. tha7 b0y g0od!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,th3y d0n'7 w4$h th3!r as$ w!7h wa7er 4nd 7h3y ea7 7h3ir d4ugh7ers' ass
09563,1,safe sex isis style,s@f3 sex isi$ $7yl3
72048,1,hurry up barack will be home soon,hurry up bar@ck w111 be h0m3 s00n
49826,1,white people on cinco de mayo vs. every other day,whit3 p3ople 0n cinco d3 mayo vs. 3very o7her day
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","4 ww2 j3wi5h pris0ner 7rying 70 esc@p3 7he auch$chwit2 sh0w3rs (1943, c0l0r!zed) wwi1 jew esc@p!ng hi7l3r'$ r4th"
12650,1,which one has tranny problems?,wh1ch 0ne h@s tr@nny prob1em5?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,whats7h3 d1ffer3nce betwe3n h3ro1n 4nd i? c0p5 th1nk 7wic3 b3fore sh0oting h3r0!n
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,head 7each3rs g1v3n 7he power to ban th3 burqa !n brit1sh 5ch0015 shar3 1f you wan7 @ fu1l ban !n br17ain!
