id,label,original,perturbed
08291,1,white people is this a shooting range,white people ist his a shooting ragne
46971,1,bravery at its finest,braevry at it sfinest
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,your orde rcomes to $37.50 and your white privilege discount rbings the total to $37.50
83745,1,it is time.. to send these parasites back to the desert,ti is time.. to send these parasites back ot the desert
80243,1,mississippi wind chime,mississipip wnid chime
05279,1,"knowing white people , that's probably the baby father","knoiwng white people , that's porbably the baby father"
01796,1,life hack #23 how to get stoned with no weed,life hakc #2 3how to get stoned with no weed
53046,1,"you've heard of elf on a shelf, now get ready for","you've heard of elf on a shelf,n ow egt ready for"
82301,1,cooooooooooooon!!!!,coooooooooooono!!!!
31752,1,when you get to choose your own mental illness,wheny oug et to choose your own mental illness
27635,1,dat ass ahmarbkrich*d,dat ass ahmarbkirhc*d
80597,1,look! it says it right here! we can fuck goats!,look! it sasy it right here! we can fuck ogats!
45368,1,enough is enough children are more important than freaks,enough is enough children are morei moprtant than freaks
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,removes polish withc hemicals noboyd bats an eye removes polish with chemicals everybody loses his shit
53968,1,when you have an 80 point iq but it's the highest in your village,when you have an 80 point iq but it's the highets in your vlilage
10749,1,my sense of humor is so dark it picks cotton,my sense of humor is s odark it picks ctoton
25149,1,if this offends you you might be lack toes intolerant,if this offedns you you might be lack toes intolearnt
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!","yes, we know trump said ""mexico will pay for the wall"" but nwo mexicans are the wall .that boy good!!!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,tehy don't wash tehir ass with water and they eat their daughters' ass
09563,1,safe sex isis style,sfae sex issi style
72048,1,hurry up barack will be home soon,hurry up barack wlil be hom esoon
49826,1,white people on cinco de mayo vs. every other day,white peopl eo ncinco de mayo vs. every other day
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","a ww2 jewish prisoner trying to secape the auchschwitz showers (1934, colorized) wwii jew escaping hitler's rath"
12650,1,which one has tranny problems?,whihc one has tranny problesm?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,whtasthe difference between heroin andi ? cops think twice before shooting heroin
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,heda teachers given the power to ban the burqa in british schools share if you want a full ban in britani!
24316,1,sharks don't attack him why? they think it's whale shit,sharks don't attack him wyh? they think it's hwale shit
62035,1,thank god my ass needed a break,thank god my assn eeded a break
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""","barn ramy elnist, and bomb ant hills ""grab your pitchfork and meet at the barn"""
92058,1,how black people became christians,how black people bceame christinas
58672,1,did you know that the chinese eat dogs savages disgusting,did you know that th echinese eat dogs savage sdisgusting
54069,1,when you decide to go full gas,whe nyou decide to go full gsa
91586,1,left the kitchen too many times,left the kitchen too maynt imes
87130,1,finally finding the right tutorial you need indian accent,finally finding the right ttuorial you need indian accent
95640,1,syrian rape survivor speaks out,sryina rape survivor speaks out
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","oh, adidction isn't a idsease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice"
59140,1,wanna go masturbate? fuck yeah! masturbating!,wanna go masturbate? ufck yeah! masturabting!
13647,1,she said girls run the world... so i told her get back in the kitchen,she said girls run thew orld... so i told her egt back in the kitchen
65832,1,why love one but eat the other ? i don't get it,why loev one but eat the other ? i don't geti t
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,if this gets 1kl ikes i'll post to islam how we see muslims hwo muslims see us
40982,1,and just like that... this sandwich maker doubles as ironing board,and jsut like that... this sandwich maker doubles as ironnig board
43275,1,my husband is always pushing me around... and talking behind my back,my husband is always pushing me aroudn... and talkign behind my back
12973,1,someone added to much soap to the dishwasher again,someone added to much saop to the idshwasher again
74350,1,a head diaper is required when you have shit for brains,a head diaper is required when you haves hitf or brains
02478,1,must..resist...urge to.. kill whitey.,must..resist...ureg to.. kill whitey.
