id,label,original,perturbed
08291,1,white people is this a shooting range,w?hite people ;is! this .a sho:oti&ng* range
46971,1,bravery at its finest,bra:ve&ry at its fin*e!st
03745,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,"your o!rder .comes to :$37.&50 and :yo*ur white pr*iv&ilege disc,ount& brings *t*he to?ta.l !to $:37.:50"
83745,1,it is time.. to send these parasites back to the desert,*i:t is& time.. to se!nd the!se !parasit&es back .to *t.he: desert
80243,1,mississippi wind chime,"missi,ssippi w*ind* ;chime"
05279,1,"knowing white people , that's probably the baby father","?knowing w;hite pe:op;le ,. tha!t*'s* probab,ly the baby !father"
01796,1,life hack #23 how to get stoned with no weed,life. h;ack #*23 how !to ?g!et .stone;d with no weed
53046,1,"you've heard of elf on a shelf, now get ready for",".you've heard ,of e&lf. !on a she.lf!, no?w get r:eady for"
82301,1,cooooooooooooon!!!!,cooo&ooooooo&ooon?!!!!
31752,1,when you get to choose your own mental illness,"whe*n ,you get to c*ho?ose y&our ow,n. m*ental i*llness"
27635,1,dat ass ahmarbkrich*d,d:at ass ahmarbkr!i*ch*d*
80597,1,look! it says it right here! we can fuck goats!,?look! it says it! .ri&ght *here! we; can fuck! ;goats!.
45368,1,enough is enough children are more important than freaks,"eno?ugh ?is .eno,u?gh. !children are more& important !t!han fr;eaks"
17963,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,"remo!ves p?olish .with c.hem&icals* no?body b.at.s, an: eye remo.ves& polish &with chem!icals everybo;dy, loses* his ,shit!"
53968,1,when you have an 80 point iq but it's the highest in your village,"wh*en. ;you h,av!e an &80 ,point *iq :but it!'s. the highest in: your villa*ge"
10749,1,my sense of humor is so dark it picks cotton,my sense ?of. humor: is so dark it p.i;ck.s. cotto;n
25149,1,if this offends you you might be lack toes intolerant,"if :thi;s offend.s yo!u& you? might be ,lac,k toe;s intoler*ant"
87520,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!",":ye:s, we know? trump said* ""me:xico w,ill& pay f:o&r the wa!ll!"" !but now? !mexic:ans are ;th!e wall. tha*t boy good:!!*!!"
89071,1,they don't wash their ass with water and they eat their daughters' ass,"t!he!y !don't wash t;heir a*s;s wi;th wa;ter. and! they eat ,th?eir daughters' a,ss&"
09563,1,safe sex isis style,safe sex !is!is ;style
72048,1,hurry up barack will be home soon,"hu,rry, up bara:ck* wi!ll be? home soon"
49826,1,white people on cinco de mayo vs. every other day,"whit.e p,eople on? &cinco d:e mayo vs.; !ev!ery other d!ay"
26453,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath","a. ww2 jewish prisoner* tr*ying to esc,a?pe t?h&e au.chs&ch;witz show,ers &(.194*3, colori.zed)? wwii* j&ew escapin!g &hit.ler's rat:h"
12650,1,which one has tranny problems?,whi;c!h one ha*s !t:ranny! problems?
02568,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,w&hatsthe diffe*rence betwee*n her*oin and i??: cops t?h;in:k tw?i&ce b!efore; shooting .h?e*roin
83954,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,"head te&a.chers g:iv:en the? po.wer to ban ?the ?bur;qa in b:ritish sch.ools s:hare? &i;f y*o!u! want a full *b!an ,in britain!"
24316,1,sharks don't attack him why? they think it's whale shit,shark&s d:on't a?ttack* him why?: ?th?ey think :it.'s* wh!ale shit
62035,1,thank god my ass needed a break,t!h;ank g.od& my as;s needed a b:reak
65342,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""",",b*ar,n ar:my, e.nl&ist, and bomb ant :hills ""gr.a?b your pitchfor,k &and; m.eet; at the barn"""
92058,1,how black people became christians,?ho.w black pe!op&le ;became chri;stians
58672,1,did you know that the chinese eat dogs savages disgusting,did you know! that .the: c*h*inese eat dogs sa&vag!e&s? d;i?sgusting
54069,1,when you decide to go full gas,"w;hen& yo.u de;cid!e to go full, gas"
91586,1,left the kitchen too many times,left !the k;itchen ;too ma.ny ti.me;s
87130,1,finally finding the right tutorial you need indian accent,"f.ina;lly f&inding the righ;t, tutor&i;al, you need in,d?ian ac&cent"
95640,1,syrian rape survivor speaks out,"syrian: :rape su;r?vivor spe,ak?s out"
47819,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice","*o*h, addiction i.sn';t *a diseas:e beca.use it? ;star.ted with a? choice?;? tell. ?me& more about how; t:he chl*a;mydia in yo*ur crotc?h& isn'?t a di:sease, ;ye!t i!t: start:ed with a: choic!e!"
59140,1,wanna go masturbate? fuck yeah! masturbating!,"wan?na? g&o masturba&te? fuck* yeah! m.ast,ur,bating!&"
13647,1,she said girls run the world... so i told her get back in the kitchen,"she said girls. r!u*n th,e wo;rld... so, i .t,old; her ge:t b:ack in the k*i:tchen"
65832,1,why love one but eat the other ? i don't get it,"&wh.y lov:e o*n&e but eat the, o,t&her ? i don.'t get it"
57621,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,"if! thi?s gets 1k likes i'l.l? &post to islam ho.w we se:e muslims h,ow mu&s*l.im!s, *see u.s"
40982,1,and just like that... this sandwich maker doubles as ironing board,"and :j;ust like t,hat... th!is sandwich! m.aker !doubl&e&s as iro!n!in&g boa&rd"
43275,1,my husband is always pushing me around... and talking behind my back,"my h*u*sband &is alwa&ys pu&shing !m;e arou,nd...? &and tal:king *behi;nd my back"
12973,1,someone added to much soap to the dishwasher again,"some!one &added &t&o much soap to *th!e :di&shwash,er agai;n"
74350,1,a head diaper is required when you have shit for brains,a: he*ad di*ap.er is requir!ed &w&hen you* hav*e! shit! for brains
02478,1,must..resist...urge to.. kill whitey.,must...resist!.;...urge t!o.. kill w?hite;y.
51607,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,"4,9 p.eople: were ;k*i:lled &at christchurch &muslim 49! p.eopl:e were kill?ed: at christc.hu:rch mosque:s m.u:sli*m"
65403,1,money is evil give it to us,"m,o.ney is evil ?give i&t &to us"
29750,1,this cat is getting raped tonight,"this c!at *is get;t:in,g raped ;tonight"
26547,1,that's the way allah allah i like it,",that's &the way* ?allah allah i ,l,ike. it"
02143,1,"doesnt have food, water, electricity proud of nuclear weapons","do;esnt have fo;od, wat&er, el*ec&tricity. p*roud of nucl?ea*r, w!eapons!"
68192,1,scientist are working hard to cure them all,"?scientist ,a.re. work&i,ng hard to cure *them ?all"
52603,1,feeling kinda cute might steal your shit later.. idk,feelin:g k;inda c;ute .mig!ht; s*teal your shit late.r*.!. idk
05349,0,normal day in a islamic country,nor?m?al d*ay in a islamic *c&ou&ntry
06491,1,tranny for sale,tranny? fo!r s:ale
74013,1,"nurse: yes sir, we are having mashed potatoes today alzheimer's patient: i don't remember asking you a god damn thing","nur.se:& yes sir,,* we. ar.e having m;ashed pot,a:to:es today alzhe*ime!r&'s p&a,tient: ,i don't. remem*ber a:sking; yo.u ,a god damn :thing"
27485,1,thats the way allah allah i like it!!!,"t!hats the; way a&llah! a:llah ,i like it!!.!"
13026,1,under the name of multiculturalism we let terrorist into this country,under the. na?me of multic!ultura:l?i;sm? we le?t ter&ror.ist into :thi?s c?ountry
17265,0,meanwhile in baltimore,"meanwhile; ,in baltim:ore?"
91405,0,wears rag on her head so her brother husband doesnt want to molest her,"we?ars ra!g on h&er head &so her& br,o;ther h;u!sband doe.sn.t wan;t to mol:est ;her"
14026,1,told girlfriend that mom is deaf so speak loud and slow told mom that girlfriend is retarded,"to,ld girlf!ri?end that mom :i,s d?e!af so speak l:oud and slo;w* ?told mom, *that gi.rlfrie?nd is retar&d*ed!"
18945,1,when you decide to go full gas,"wh:en you deci?de t:o ,g*o full ga:s"
83920,1,"just under 17 and a half years ago, 19 people were allowed into the us who should not have been all these years later, we are told that the answer to safety is to allow everyone in","just. under 17 and a! ha,lf: y:ears ag!o, 19 pe!ople, ,were ?allowed i!nt,o the :us w*ho sh!oul:d no:t& hav;e been .all th:es:e! yea;rs l*ater?, we are; .t?o.l:d ;that the ans:wer ,to sa?fety is to allo.w everyone in"
83497,0,different types of radicalization,"different &types of ,r&adica;li;zation?"
04569,0,when is the time to eat i am hungry,"wh;en .is the time to; ,eat i ,am* h;ungry"
39607,1,those stupid basterds thought it was a real shower,"t&hose stupid! ba!s,ter*ds t,hought i!t& was a real sho,w!er"
09715,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,"i st.arted a ,business: &tha&t sells la:ndmi;nes disgu.i,se!d as :p&ray.er mats.. ..pro:phe;ts ar;e; going through the? :r:oof&"
01925,1,i am not racist i just don't like brown sugar,"*i am not; racist i& just don'!t lik,e brow;n *su&gar."
94813,0,thats the way allah allah i like it!!!,"tha?ts t:he way allah &al&lah? i li,ke it!!,!"
29437,1,what can happen if you eat wheaties for 38 years,&what !can! hap*pe!n! if you; eat* wheaties for 38 y!ears
